step,train/point_rel,train/depth_rel,train/depth_delta_1.01,train/depth_delta_1.25,train/boundary_f1,val/point_rel,val/depth_rel,val/depth_delta_1.01,val/depth_delta_1.25,val/boundary_f1
0,0.03665579420824846,0.03163445834070444,0.3963955705985427,0.9828542048732439,0.8699843138456345,0.08277704054489732,0.06997265294194221,0.1943766586482525,0.9367982521653175,0.8778845518827438
200,0.02991340367589146,0.0243040921826226,0.527761266566813,0.9850743636488914,0.8708001052339872,0.08409257140010595,0.07118151290342212,0.17599456617608666,0.9370837509632111,0.8755763918161392
400,0.02638533158460632,0.02097709777687366,0.591597255008916,0.9865154748161634,0.875026024878025,0.08259396348148584,0.0707548544742167,0.1726807551458478,0.9374536350369453,0.8771164938807487
600,0.02648511705532049,0.018727783230133355,0.6526189856231213,0.9876242727041245,0.8765342185894648,0.08876506425440311,0.07456386834383011,0.1413907720707357,0.9383432492613792,0.8718682453036308
800,0.02215684876622011,0.016885364127422992,0.6612799254556497,0.9893358051776886,0.880002406736215,0.08589670993387699,0.07191106490790844,0.15647776145488024,0.9369122013449669,0.8692857325077057
1000,0.028138267536026735,0.020701806371410687,0.5892050427695116,0.9863908613721529,0.8670542389154434,0.10157287865877151,0.08576464653015137,0.11166384862735868,0.915960282087326,0.8408754840493202
1200,0.020152702772368986,0.01323240301765812,0.7531964878241221,0.9912507856885592,0.8862287153800329,0.08838523644953966,0.07371349120512605,0.14967369008809328,0.9355237558484077,0.8613586723804474
1400,0.020358251155509304,0.0138412956148386,0.7061570112903913,0.9916398922602335,0.8858803237477938,0.09012012183666229,0.07526310998946428,0.1498162429779768,0.931185744702816,0.8491706773638725
1600,0.02147623912120859,0.01393051715179657,0.6940440932909647,0.9924791206916174,0.8828914687037468,0.09317322261631489,0.07726257666945457,0.14097914658486843,0.9277308136224747,0.8519811183214188
1800,0.019060865180411685,0.012397958935859302,0.7250575845440229,0.9927130863070488,0.8886306782563528,0.08813279587775469,0.07406031247228384,0.1570402728393674,0.9329063072800636,0.8602229580283165
2000,0.019116566613471758,0.012708006019238383,0.7263859398663044,0.9932666470607122,0.8843654071291288,0.08789357542991638,0.07361756777390838,0.15657661948353052,0.9342609196901321,0.8536691889166832
