id,split,scene,frame,fine_pixels,fine_fraction,selection_score,crop_x0,crop_y0,crop_x1,crop_y1
ai_036_002_cam_00_frame.0085,train,ai_036_002,85,9181,0.9962022569444444,9181.0,144,80,240,176
ai_018_003_cam_00_frame.0099,train,ai_018_003,99,8920,0.9678819444444444,8920.0,48,48,144,144
ai_036_002_cam_00_frame.0071,train,ai_036_002,71,8859,0.9612630208333334,8859.0,48,96,144,192
ai_001_001_cam_00_frame.0099,train,ai_001_001,99,8731,0.9473741319444444,8731.0,144,96,240,192
ai_036_002_cam_00_frame.0099,train,ai_036_002,99,8629,0.9363064236111112,8629.0,160,32,256,128
ai_036_002_cam_00_frame.0028,train,ai_036_002,28,8550,0.927734375,8550.0,112,0,208,96
ai_018_003_cam_00_frame.0000,train,ai_018_003,0,8517,0.9241536458333334,8517.0,32,96,128,192
ai_018_003_cam_00_frame.0071,train,ai_018_003,71,8253,0.8955078125,8253.0,160,64,256,160
ai_018_003_cam_00_frame.0042,train,ai_018_003,42,8021,0.8703342013888888,8021.0,144,96,240,192
ai_036_002_cam_00_frame.0042,train,ai_036_002,42,7898,0.8569878472222222,7898.0,80,16,176,112
ai_001_001_cam_00_frame.0014,train,ai_001_001,14,7852,0.8519965277777778,7852.0,0,48,96,144
ai_001_001_cam_00_frame.0043,train,ai_001_001,43,7795,0.8458116319444444,7795.0,160,96,256,192
ai_018_003_cam_00_frame.0057,train,ai_018_003,57,7713,0.8369140625,7713.0,64,96,160,192
ai_036_002_cam_00_frame.0057,train,ai_036_002,57,7679,0.8332248263888888,7679.0,128,0,224,96
ai_018_003_cam_00_frame.0028,train,ai_018_003,28,7526,0.8166232638888888,7526.0,128,96,224,192
ai_036_002_cam_00_frame.0014,train,ai_036_002,14,7383,0.8011067708333334,7383.0,48,0,144,96
ai_018_003_cam_00_frame.0085,train,ai_018_003,85,7077,0.7679036458333334,7077.0,96,64,192,160
ai_018_003_cam_00_frame.0014,train,ai_018_003,14,7027,0.7624782986111112,7027.0,48,96,144,192
ai_001_001_cam_00_frame.0028,train,ai_001_001,28,7021,0.7618272569444444,7021.0,0,80,96,176
ai_036_002_cam_00_frame.0000,train,ai_036_002,0,6847,0.7429470486111112,6847.0,32,96,128,192
ai_001_001_cam_00_frame.0085,train,ai_001_001,85,6431,0.6978081597222222,6431.0,160,64,256,160
ai_001_001_cam_00_frame.0056,train,ai_001_001,56,6224,0.6753472222222222,6224.0,0,64,96,160
ai_001_001_cam_00_frame.0071,train,ai_001_001,71,5286,0.5735677083333334,5286.0,160,0,256,96
ai_001_001_cam_00_frame.0000,train,ai_001_001,0,4524,0.4908854166666667,4524.0,160,0,256,96
ai_055_003_cam_00_frame.0057,val,ai_055_003,57,9216,1.0,9216.0,16,96,112,192
ai_055_003_cam_00_frame.0014,val,ai_055_003,14,9214,0.9997829861111112,9214.0,48,16,144,112
ai_055_003_cam_00_frame.0000,val,ai_055_003,0,9192,0.9973958333333334,9192.0,0,0,96,96
ai_055_003_cam_00_frame.0071,val,ai_055_003,71,9008,0.9774305555555556,9008.0,0,96,96,192
ai_055_003_cam_00_frame.0028,val,ai_055_003,28,8929,0.9688585069444444,8929.0,32,0,128,96
ai_055_003_cam_00_frame.0085,val,ai_055_003,85,8928,0.96875,8928.0,32,96,128,192
ai_055_003_cam_00_frame.0099,val,ai_055_003,99,8906,0.9663628472222222,8906.0,112,80,208,176
ai_055_003_cam_00_frame.0042,val,ai_055_003,42,8596,0.9327256944444444,8596.0,32,0,128,96
