order,id,scene,frame,description,crop_xyxy,display_mask_pixels,k0_point_rel,k3_point_rel,point_rel_delta,k0_depth_rel,k3_depth_rel,depth_rel_delta,gif,preview
1,ai_001_001_cam_00_frame.0000,ai_001_001,0,浴室毛巾环、窗框与相邻细长边缘,24 64 120 160,3226,0.016948962584137917,0.00625037495046854,-0.010698587633669376,0.015959471464157104,0.005270682275295258,-0.010688789188861847,items/01_ai_001_001_cam_00_frame.0000/train_rod_orbit.gif,items/01_ai_001_001_cam_00_frame.0000/train_rod_preview.png
2,ai_001_001_cam_00_frame.0014,ai_001_001,14,浴室暖气片的平行细杆,0 48 96 144,3226,0.07408896833658218,0.02676132321357727,-0.04732764512300491,0.06551489979028702,0.02478817291557789,-0.04072672687470913,items/02_ai_001_001_cam_00_frame.0014/train_rod_orbit.gif,items/02_ai_001_001_cam_00_frame.0014/train_rod_preview.png
3,ai_001_001_cam_00_frame.0028,ai_001_001,28,洗手台龙头、把手与柜体细边,0 80 96 176,3226,0.035543229430913925,0.0164304431527853,-0.019112786278128624,0.02897927351295948,0.014749724417924881,-0.0142295490950346,items/03_ai_001_001_cam_00_frame.0028/train_rod_orbit.gif,items/03_ai_001_001_cam_00_frame.0028/train_rod_preview.png
4,ai_001_001_cam_00_frame.0043,ai_001_001,43,浴室毛巾环与垂直毛巾边缘,160 96 256 192,3226,0.016854947432875633,0.00608044071123004,-0.010774506721645594,0.015374953858554363,0.005087957251816988,-0.010286996606737375,items/04_ai_001_001_cam_00_frame.0043/train_rod_orbit.gif,items/04_ai_001_001_cam_00_frame.0043/train_rod_preview.png
5,ai_001_001_cam_00_frame.0056,ai_001_001,56,浴室毛巾环与墙面细边界,0 64 96 160,3226,0.008659412153065205,0.006603199522942305,-0.0020562126301229,0.00756562314927578,0.004296726547181606,-0.0032688966020941734,items/05_ai_001_001_cam_00_frame.0056/train_rod_orbit.gif,items/05_ai_001_001_cam_00_frame.0056/train_rod_preview.png
6,ai_001_001_cam_00_frame.0071,ai_001_001,71,浴缸龙头、把手与细长金属结构,96 96 192 192,3226,0.008870095014572144,0.005333940032869577,-0.003536154981702566,0.006004877854138613,0.0047815158031880856,-0.0012233620509505272,items/06_ai_001_001_cam_00_frame.0071/train_rod_orbit.gif,items/06_ai_001_001_cam_00_frame.0071/train_rod_preview.png
7,ai_001_001_cam_00_frame.0085,ai_001_001,85,窗框、洗手台龙头与细小立物,160 64 256 160,3226,0.06163088232278824,0.018642880022525787,-0.04298800230026245,0.05647984519600868,0.013453063555061817,-0.043026781640946865,items/07_ai_001_001_cam_00_frame.0085/train_rod_orbit.gif,items/07_ai_001_001_cam_00_frame.0085/train_rod_preview.png
8,ai_001_001_cam_00_frame.0099,ai_001_001,99,窗框、龙头和洗手台细边,144 96 240 192,3226,0.10149972140789032,0.04133617877960205,-0.06016354262828827,0.06273932754993439,0.01981637068092823,-0.04292295686900616,items/08_ai_001_001_cam_00_frame.0099/train_rod_orbit.gif,items/08_ai_001_001_cam_00_frame.0099/train_rod_preview.png
9,ai_018_003_cam_00_frame.0000,ai_018_003,0,餐桌与椅子的细长支腿,32 96 128 192,3226,0.04504026845097542,0.027617471292614937,-0.01742279715836048,0.04172040522098541,0.024472150951623917,-0.017248254269361496,items/09_ai_018_003_cam_00_frame.0000/train_rod_orbit.gif,items/09_ai_018_003_cam_00_frame.0000/train_rod_preview.png
10,ai_018_003_cam_00_frame.0014,ai_018_003,14,餐桌边缘与椅子细腿,64 96 160 192,3226,0.028583485633134842,0.021708941087126732,-0.00687454454600811,0.020849887281656265,0.017723027616739273,-0.003126859664916992,items/10_ai_018_003_cam_00_frame.0014/train_rod_orbit.gif,items/10_ai_018_003_cam_00_frame.0014/train_rod_preview.png
11,ai_018_003_cam_00_frame.0028,ai_018_003,28,椅子支腿与桌面斜边,128 96 224 192,3226,0.06328856945037842,0.026858864352107048,-0.03642970509827137,0.055888593196868896,0.02330629527568817,-0.032582297921180725,items/11_ai_018_003_cam_00_frame.0028/train_rod_orbit.gif,items/11_ai_018_003_cam_00_frame.0028/train_rod_preview.png
12,ai_018_003_cam_00_frame.0042,ai_018_003,42,桌面斜边和多根椅腿,144 96 240 192,3226,0.10348658263683319,0.057004716247320175,-0.046481866389513016,0.0955732986330986,0.05298621580004692,-0.04258708283305168,items/12_ai_018_003_cam_00_frame.0042/train_rod_orbit.gif,items/12_ai_018_003_cam_00_frame.0042/train_rod_preview.png
13,ai_018_003_cam_00_frame.0057,ai_018_003,57,桌椅腿和桌面细边,64 96 160 192,3226,0.04672490805387497,0.020853344351053238,-0.02587156370282173,0.046029552817344666,0.017168041318655014,-0.02886151149868965,items/13_ai_018_003_cam_00_frame.0057/train_rod_orbit.gif,items/13_ai_018_003_cam_00_frame.0057/train_rod_preview.png
14,ai_018_003_cam_00_frame.0071,ai_018_003,71,窗格、椅背和桌面细边,160 64 256 160,3226,0.03326686471700668,0.013259672559797764,-0.02000719215720892,0.028884509578347206,0.010321426205337048,-0.01856308337301016,items/14_ai_018_003_cam_00_frame.0071/train_rod_orbit.gif,items/14_ai_018_003_cam_00_frame.0071/train_rod_preview.png
