id,split,scene,frame,selection_mode,selection_score,crop_x0,crop_y0,crop_x1,crop_y1,fine_pixels,k0_point_rel,k3_point_rel,k0_depth_rel,k3_depth_rel,point_rel_reduction,depth_rel_reduction
ai_001_001_cam_00_frame.0000,train,ai_001_001,0,improvement,2.800411905962571,144,0,240,96,3927,0.055697254836559296,0.011009198613464832,0.05112139508128166,0.008349211886525154,0.8023385776234259,0.8366787159612892
ai_001_001_cam_00_frame.0014,train,ai_001_001,14,improvement,3.709583203539775,0,0,96,96,7461,0.059621039777994156,0.01667465642094612,0.05341727286577225,0.01583382487297058,0.7203226162603649,0.7035823054322137
ai_001_001_cam_00_frame.0028,train,ai_001_001,28,improvement,1.0678062378241784,0,96,96,192,6744,0.025074860081076622,0.012072156183421612,0.02104027569293976,0.010637463070452213,0.5185553919588102,0.494423779151254
ai_001_001_cam_00_frame.0043,train,ai_001_001,43,improvement,1.0076282811078416,160,96,256,192,7795,0.016875989735126495,0.005463187582790852,0.015454367734491825,0.004258838482201099,0.6762745374619712,0.7244249292259293
ai_001_001_cam_00_frame.0056,train,ai_001_001,56,improvement,1.5987321750982837,160,96,256,192,5145,0.03443353623151779,0.012144924141466618,0.030878104269504547,0.00813235156238079,0.6472937295836001,0.7366304779787805
ai_001_001_cam_00_frame.0071,train,ai_001_001,71,improvement,2.6344342128992677,160,0,256,96,5286,0.04914359003305435,0.012908964417874813,0.04280263930559158,0.009021851234138012,0.7373215019661334,0.7892220811495746
ai_001_001_cam_00_frame.0085,train,ai_001_001,85,improvement,2.06226286031688,160,48,256,144,6204,0.04128945618867874,0.015107136219739914,0.03780471906065941,0.012115412391722202,0.6341163673673624,0.6795264535022079
ai_001_001_cam_00_frame.0099,train,ai_001_001,99,improvement,4.43029061887116,160,96,256,192,8660,0.08288168162107468,0.03527441248297691,0.05446523800492287,0.02092595584690571,0.574400376620646,0.6157924464588899
ai_018_003_cam_00_frame.0000,train,ai_018_003,0,improvement,1.5040371808156001,48,96,144,192,8430,0.03992565721273422,0.023544492200016975,0.037784039974212646,0.021373005583882332,0.41029168099686286,0.43433773629105665
ai_018_003_cam_00_frame.0014,train,ai_018_003,14,improvement,1.8223807991422283,48,32,144,128,4209,0.045716315507888794,0.017626449465751648,0.04370684176683426,0.016692787408828735,0.6144385375345913,0.6180738132972216
ai_018_003_cam_00_frame.0028,train,ai_018_003,28,improvement,3.9168104187330806,0,48,96,144,2722,0.12686850130558014,0.051794685423374176,0.11558595299720764,0.044899143278598785,0.5917451148995636,0.6115519047571163
ai_018_003_cam_00_frame.0042,train,ai_018_003,42,improvement,2.7345876981104067,128,96,224,192,7821,0.0626106932759285,0.03168918192386627,0.05756931006908417,0.028984207659959793,0.4938694931198023,0.49653369781263246
ai_018_003_cam_00_frame.0057,train,ai_018_003,57,improvement,1.9922924113384288,80,96,176,192,7670,0.05373081564903259,0.030982177704572678,0.05269546061754227,0.028859714046120644,0.42338158596089537,0.45233016833117357
ai_018_003_cam_00_frame.0071,train,ai_018_003,71,improvement,1.5515863324236219,160,96,256,192,7683,0.031167423352599144,0.013465904630720615,0.02505211904644966,0.011260585859417915,0.5679493784782933,0.5505136376472015
ai_018_003_cam_00_frame.0085,train,ai_018_003,85,improvement,1.638243347867231,160,96,256,192,6568,0.04127716273069382,0.021062716841697693,0.034427158534526825,0.015522054396569729,0.4897246940367973,0.5491334441382161
ai_018_003_cam_00_frame.0099,train,ai_018_003,99,improvement,2.065662257590128,48,32,144,128,8413,0.0379544161260128,0.01543361321091652,0.036753080785274506,0.012920942157506943,0.5933644938793093,0.6484392088653463
ai_036_002_cam_00_frame.0000,train,ai_036_002,0,improvement,6.490511790422918,0,64,96,160,4520,0.20247003436088562,0.10592949390411377,0.17070604860782623,0.08457747101783752,0.47681396786201236,0.5045432091739017
ai_036_002_cam_00_frame.0014,train,ai_036_002,14,improvement,17.26352711255536,0,96,96,192,6719,0.4315960705280304,0.22098693251609802,0.17337307333946228,0.10362846404314041,0.48797742239466046,0.4022805153817791
ai_036_002_cam_00_frame.0028,train,ai_036_002,28,improvement,2.8025765831658696,160,0,256,96,8024,0.059784211218357086,0.028497347608208656,0.05700113996863365,0.018449103459715843,0.5233298720940825,0.676337991312666
ai_036_002_cam_00_frame.0042,train,ai_036_002,42,improvement,3.019172155531977,48,0,144,96,6998,0.0637439414858818,0.02765277586877346,0.061964891850948334,0.016093218699097633,0.5661897393825563,0.7402848900663201
ai_036_002_cam_00_frame.0057,train,ai_036_002,57,improvement,1.8669649987410177,160,96,256,192,2819,0.08930540829896927,0.05414218828082085,0.082667775452137,0.03191862255334854,0.3937412155424216,0.6138928091535645
ai_036_002_cam_00_frame.0071,train,ai_036_002,71,improvement,2.985992993024446,16,96,112,192,7436,0.07608915120363235,0.04146181419491768,0.0681932345032692,0.028352702036499977,0.45508901677775093,0.5842299864051654
ai_036_002_cam_00_frame.0085,train,ai_036_002,85,improvement,3.5578250152917623,0,96,96,192,4462,0.14949829876422882,0.09623601287603378,0.1103944256901741,0.055793046951293945,0.3562735250398673,0.49460267941536173
ai_036_002_cam_00_frame.0099,train,ai_036_002,99,improvement,1.7105826615263853,160,0,256,96,7636,0.05868210271000862,0.03910668194293976,0.05067860335111618,0.0308833047747612,0.3335841741016916,0.39060465891704566
ai_055_003_cam_00_frame.0000,val,ai_055_003,0,structure,9192.0,0,0,96,96,9192,0.10740090161561966,0.10818640142679214,0.09882773458957672,0.10051759332418442,-0.007313717104384665,-0.017099033400143515
ai_055_003_cam_00_frame.0014,val,ai_055_003,14,structure,9214.0,48,16,144,112,9214,0.1601363867521286,0.16368368268013,0.15194813907146454,0.15688422322273254,-0.022151717045372,-0.03248532151451
ai_055_003_cam_00_frame.0028,val,ai_055_003,28,structure,8929.0,32,0,128,96,8929,0.10577691346406937,0.1053180992603302,0.09834457188844681,0.09983114898204803,0.00433756467941393,-0.015116005541083277
ai_055_003_cam_00_frame.0042,val,ai_055_003,42,structure,8596.0,32,0,128,96,8596,0.06315525621175766,0.05644628033041954,0.05512784421443939,0.05124061927199364,0.10622988938312794,0.07051291407886384
ai_055_003_cam_00_frame.0057,val,ai_055_003,57,structure,9216.0,16,96,112,192,9216,0.09390192478895187,0.09874212741851807,0.07319870591163635,0.06889292597770691,-0.05154529729230495,0.05882317016816219
ai_055_003_cam_00_frame.0071,val,ai_055_003,71,structure,9008.0,0,96,96,192,9008,0.07626480609178543,0.07946575433015823,0.06987641751766205,0.0725960060954094,-0.041971499075476926,-0.03891997721634688
ai_055_003_cam_00_frame.0085,val,ai_055_003,85,structure,8928.0,32,96,128,192,8928,0.10838377475738525,0.12893468141555786,0.08967792987823486,0.1060967966914177,-0.18961239082303027,-0.1830870408747889
ai_055_003_cam_00_frame.0099,val,ai_055_003,99,structure,8906.0,112,80,208,176,8906,0.08109302818775177,0.08704452216625214,0.07578102499246597,0.08102772384881973,-0.07339094508495947,-0.06923499460287563
