id,split,scene,frame,fine_pixels,fine_fraction,selection_score,crop_x0,crop_y0,crop_x1,crop_y1
ai_046_001_cam_00_frame.0013,test,ai_046_001,13,16384,1.0,16384.0,0,0,128,128
ai_046_001_cam_00_frame.0020,test,ai_046_001,20,16384,1.0,16384.0,304,0,432,128
ai_046_001_cam_00_frame.0059,test,ai_046_001,59,16384,1.0,16384.0,384,0,512,128
ai_046_001_cam_00_frame.0066,test,ai_046_001,66,16384,1.0,16384.0,224,0,352,128
ai_046_001_cam_00_frame.0073,test,ai_046_001,73,16384,1.0,16384.0,144,0,272,128
ai_046_001_cam_00_frame.0079,test,ai_046_001,79,16384,1.0,16384.0,192,0,320,128
ai_046_001_cam_00_frame.0086,test,ai_046_001,86,16384,1.0,16384.0,256,0,384,128
ai_046_001_cam_00_frame.0053,test,ai_046_001,53,16383,0.99993896484375,16383.0,304,0,432,128
ai_048_001_cam_00_frame.0046,test,ai_048_001,46,16380,0.999755859375,16380.0,256,144,384,272
ai_048_001_cam_00_frame.0033,test,ai_048_001,33,16339,0.99725341796875,16339.0,48,224,176,352
ai_052_001_cam_00_frame.0033,test,ai_052_001,33,16307,0.99530029296875,16307.0,320,240,448,368
ai_046_001_cam_00_frame.0092,test,ai_046_001,92,16232,0.99072265625,16232.0,160,16,288,144
ai_044_001_cam_00_frame.0033,test,ai_044_001,33,16175,0.98724365234375,16175.0,384,192,512,320
ai_046_001_cam_00_frame.0099,test,ai_046_001,99,16172,0.987060546875,16172.0,192,176,320,304
ai_048_001_cam_00_frame.0007,test,ai_048_001,7,16159,0.98626708984375,16159.0,112,176,240,304
ai_046_001_cam_00_frame.0000,test,ai_046_001,0,15982,0.9754638671875,15982.0,304,192,432,320
ai_052_001_cam_00_frame.0026,test,ai_052_001,26,15868,0.968505859375,15868.0,240,80,368,208
ai_048_001_cam_00_frame.0066,test,ai_048_001,66,15844,0.967041015625,15844.0,384,112,512,240
ai_048_001_cam_00_frame.0059,test,ai_048_001,59,15767,0.96234130859375,15767.0,352,48,480,176
ai_044_001_cam_00_frame.0099,test,ai_044_001,99,15693,0.95782470703125,15693.0,256,240,384,368
ai_046_001_cam_00_frame.0007,test,ai_046_001,7,15670,0.9564208984375,15670.0,256,208,384,336
ai_044_001_cam_00_frame.0007,test,ai_044_001,7,15634,0.9542236328125,15634.0,208,144,336,272
ai_052_001_cam_00_frame.0046,test,ai_052_001,46,15610,0.9527587890625,15610.0,224,208,352,336
ai_048_001_cam_00_frame.0040,test,ai_048_001,40,15600,0.9521484375,15600.0,368,32,496,160
ai_044_001_cam_00_frame.0085,test,ai_044_001,85,15547,0.94891357421875,15547.0,384,224,512,352
ai_048_001_cam_00_frame.0053,test,ai_048_001,53,15522,0.9473876953125,15522.0,368,256,496,384
