id,split,scene,frame,fine_pixels,fine_fraction,selection_score,crop_x0,crop_y0,crop_x1,crop_y1
ai_046_001_cam_00_frame.0079,test,ai_046_001,79,36864,1.0,36864.0,192,0,384,192
ai_046_001_cam_00_frame.0066,test,ai_046_001,66,36788,0.9979383680555556,36788.0,224,0,416,192
ai_046_001_cam_00_frame.0059,test,ai_046_001,59,36783,0.997802734375,36783.0,320,96,512,288
ai_046_001_cam_00_frame.0013,test,ai_046_001,13,36780,0.9977213541666666,36780.0,0,192,192,384
ai_046_001_cam_00_frame.0086,test,ai_046_001,86,36723,0.9961751302083334,36723.0,288,0,480,192
ai_046_001_cam_00_frame.0020,test,ai_046_001,20,36399,0.9873860677083334,36399.0,320,0,512,192
ai_046_001_cam_00_frame.0073,test,ai_046_001,73,36281,0.9841851128472222,36281.0,160,0,352,192
ai_046_001_cam_00_frame.0053,test,ai_046_001,53,36098,0.9792209201388888,36098.0,288,0,480,192
ai_048_001_cam_00_frame.0046,test,ai_048_001,46,35036,0.9504123263888888,35036.0,256,128,448,320
ai_048_001_cam_00_frame.0007,test,ai_048_001,7,34487,0.9355197482638888,34487.0,32,0,224,192
ai_048_001_cam_00_frame.0040,test,ai_048_001,40,34295,0.9303114149305556,34295.0,320,0,512,192
ai_052_001_cam_00_frame.0026,test,ai_052_001,26,34281,0.929931640625,34281.0,96,192,288,384
ai_046_001_cam_00_frame.0000,test,ai_046_001,0,33926,0.9203016493055556,33926.0,224,128,416,320
ai_052_001_cam_00_frame.0033,test,ai_052_001,33,32872,0.8917100694444444,32872.0,320,0,512,192
ai_044_001_cam_00_frame.0099,test,ai_044_001,99,32582,0.8838433159722222,32582.0,192,192,384,384
ai_052_001_cam_00_frame.0020,test,ai_052_001,20,32572,0.8835720486111112,32572.0,0,192,192,384
ai_052_001_cam_00_frame.0013,test,ai_052_001,13,32439,0.8799641927083334,32439.0,192,192,384,384
ai_046_001_cam_00_frame.0007,test,ai_046_001,7,32299,0.8761664496527778,32299.0,224,128,416,320
ai_046_001_cam_00_frame.0092,test,ai_046_001,92,31715,0.8603244357638888,31715.0,160,128,352,320
ai_052_001_cam_00_frame.0079,test,ai_052_001,79,31641,0.8583170572916666,31641.0,320,192,512,384
ai_048_001_cam_00_frame.0066,test,ai_048_001,66,31592,0.8569878472222222,31592.0,320,128,512,320
ai_048_001_cam_00_frame.0059,test,ai_048_001,59,31559,0.8560926649305556,31559.0,320,0,512,192
ai_048_001_cam_00_frame.0053,test,ai_048_001,53,31072,0.8428819444444444,31072.0,64,192,256,384
ai_048_001_cam_00_frame.0000,test,ai_048_001,0,30989,0.8406304253472222,30989.0,128,32,320,224
ai_048_001_cam_00_frame.0013,test,ai_048_001,13,30735,0.833740234375,30735.0,64,128,256,320
ai_046_001_cam_00_frame.0046,test,ai_046_001,46,30647,0.8313530815972222,30647.0,320,192,512,384
ai_052_001_cam_00_frame.0073,test,ai_052_001,73,30623,0.8307020399305556,30623.0,128,192,320,384
ai_044_001_cam_00_frame.0020,test,ai_044_001,20,30218,0.8197157118055556,30218.0,64,128,256,320
ai_052_001_cam_00_frame.0059,test,ai_052_001,59,30110,0.8167860243055556,30110.0,224,192,416,384
ai_052_001_cam_00_frame.0046,test,ai_052_001,46,29968,0.8129340277777778,29968.0,160,192,352,384
ai_046_001_cam_00_frame.0099,test,ai_046_001,99,29956,0.8126085069444444,29956.0,128,96,320,288
ai_048_001_cam_00_frame.0033,test,ai_048_001,33,29899,0.8110622829861112,29899.0,0,192,192,384
ai_052_001_cam_00_frame.0040,test,ai_052_001,40,29655,0.804443359375,29655.0,160,192,352,384
ai_044_001_cam_00_frame.0026,test,ai_044_001,26,29148,0.7906901041666666,29148.0,64,160,256,352
ai_052_001_cam_00_frame.0092,test,ai_052_001,92,29112,0.7897135416666666,29112.0,32,192,224,384
ai_046_001_cam_00_frame.0026,test,ai_046_001,26,29051,0.7880588107638888,29051.0,64,192,256,384
ai_044_001_cam_00_frame.0033,test,ai_044_001,33,28900,0.7839626736111112,28900.0,320,128,512,320
ai_052_001_cam_00_frame.0066,test,ai_052_001,66,28759,0.7801378038194444,28759.0,160,192,352,384
ai_052_001_cam_00_frame.0007,test,ai_052_001,7,28502,0.7731662326388888,28502.0,288,192,480,384
ai_052_001_cam_00_frame.0000,test,ai_052_001,0,28292,0.7674696180555556,28292.0,160,192,352,384
ai_044_001_cam_00_frame.0085,test,ai_044_001,85,28152,0.763671875,28152.0,320,192,512,384
ai_044_001_cam_00_frame.0007,test,ai_044_001,7,28083,0.7618001302083334,28083.0,224,96,416,288
ai_044_001_cam_00_frame.0000,test,ai_044_001,0,27835,0.7550726996527778,27835.0,96,96,288,288
ai_044_001_cam_00_frame.0039,test,ai_044_001,39,27590,0.7484266493055556,27590.0,64,128,256,320
ai_044_001_cam_00_frame.0052,test,ai_044_001,52,27472,0.7452256944444444,27472.0,256,192,448,384
ai_044_001_cam_00_frame.0078,test,ai_044_001,78,27470,0.7451714409722222,27470.0,256,160,448,352
ai_052_001_cam_00_frame.0053,test,ai_052_001,53,27451,0.7446560329861112,27451.0,160,192,352,384
ai_044_001_cam_00_frame.0013,test,ai_044_001,13,27443,0.7444390190972222,27443.0,96,96,288,288
ai_048_001_cam_00_frame.0079,test,ai_048_001,79,26788,0.7266710069444444,26788.0,32,192,224,384
ai_044_001_cam_00_frame.0046,test,ai_044_001,46,26335,0.7143825954861112,26335.0,224,128,416,320
ai_046_001_cam_00_frame.0040,test,ai_046_001,40,26273,0.7127007378472222,26273.0,288,96,480,288
ai_048_001_cam_00_frame.0026,test,ai_048_001,26,25768,0.6990017361111112,25768.0,320,96,512,288
ai_044_001_cam_00_frame.0065,test,ai_044_001,65,25661,0.6960991753472222,25661.0,128,192,320,384
ai_052_001_cam_00_frame.0086,test,ai_052_001,86,24869,0.6746148003472222,24869.0,320,192,512,384
ai_052_001_cam_00_frame.0099,test,ai_052_001,99,24867,0.674560546875,24867.0,64,160,256,352
ai_048_001_cam_00_frame.0099,test,ai_048_001,99,24692,0.6698133680555556,24692.0,32,0,224,192
ai_048_001_cam_00_frame.0073,test,ai_048_001,73,23927,0.6490614149305556,23927.0,320,192,512,384
ai_046_001_cam_00_frame.0033,test,ai_046_001,33,23615,0.6405978732638888,23615.0,96,96,288,288
ai_044_001_cam_00_frame.0059,test,ai_044_001,59,23350,0.6334092881944444,23350.0,160,192,352,384
ai_048_001_cam_00_frame.0020,test,ai_048_001,20,23273,0.6313205295138888,23273.0,288,160,480,352
ai_044_001_cam_00_frame.0091,test,ai_044_001,91,23271,0.6312662760416666,23271.0,96,192,288,384
ai_048_001_cam_00_frame.0086,test,ai_048_001,86,22856,0.6200086805555556,22856.0,128,192,320,384
ai_044_001_cam_00_frame.0072,test,ai_044_001,72,22658,0.6146375868055556,22658.0,224,192,416,384
