step,train/point_rel,train/depth_rel,train/depth_delta_1.01,train/depth_delta_1.25,train/boundary_f1,val/point_rel,val/depth_rel,val/depth_delta_1.01,val/depth_delta_1.25,val/boundary_f1
0,0.06090342369861901,0.05411726098100189,0.34023498857277445,0.942622453905642,0.8085876451805234,0.06414470527670346,0.05565687808848452,0.3344591731438413,0.945982662960887,0.8234827499836683
500,0.06009241827996448,0.053272444565664046,0.34970300395798404,0.9428233932703733,0.8075778149068356,0.0644304042798467,0.05592248203174677,0.3224942713859491,0.9465451091527939,0.8227707976475358
1000,0.059540986228967085,0.052580840594600886,0.3578815632354235,0.9439352294430137,0.8016844503581524,0.06510338910447899,0.05642214647377841,0.3094885686878115,0.9461676022037864,0.8113849228248
1500,0.05882390117039904,0.05173408148402814,0.35393453993310686,0.9434021229390055,0.8073284737765789,0.06621415198605973,0.0574554716295097,0.29040451903711073,0.9456616397947073,0.8189455009996891
2000,0.0589789453370031,0.051790223180432804,0.343329192881356,0.9456495689228177,0.8021200243383646,0.06702956101798918,0.058332200584118254,0.2585779147048015,0.9454068718478084,0.8131445795297623
2500,0.058073434222023934,0.05095358149264939,0.34605559885676485,0.9448354081250727,0.8037522742524743,0.0696086789102992,0.06039810804941226,0.2512443166342564,0.9444209840148687,0.8066305108368397
3000,0.056311348322196864,0.0497441545012407,0.3988533680967521,0.9455495430156589,0.8005760246887803,0.06707586522679776,0.058290428743930534,0.28916344669414684,0.9438632810488343,0.8052560463547707
3500,0.058397302782395855,0.05119022158032749,0.31090626494551543,0.9459633610676974,0.7830463536083698,0.07283128562266938,0.06326905706373509,0.20495275550638326,0.9421581160277128,0.7911833366379142
4000,0.059380626131314784,0.05175094117294066,0.35227161888906267,0.944490201305598,0.7142727649770677,0.07366183589329012,0.06399553826486226,0.2069931988371536,0.9398431554436684,0.7631988013163209
4500,0.05466981131758075,0.04811953152238857,0.3965693659702083,0.9475468471646309,0.7981120273470879,0.06905967542843428,0.059842127535375766,0.2681316815142054,0.9435865562409163,0.8008620021864772
5000,0.05448527369298972,0.04778124463337008,0.3743352984456578,0.9482115008868277,0.7978138141334057,0.07063890836434439,0.06126015956397168,0.23203424917301163,0.9435472786426544,0.7947553070262074
5500,0.0562484727561241,0.049492949692648835,0.36121628746332135,0.9470503651537001,0.7883195299655199,0.06852336265728809,0.059427725384011865,0.25333844852866605,0.9427409647032619,0.8033375404775143
6000,0.05306613790162373,0.046655935992021114,0.4116473803878762,0.9483096678741276,0.80595338717103,0.06765753164654598,0.058538853423669934,0.26661514345323667,0.9440823951736093,0.8069670824334025
6500,0.0530484283081023,0.04685779084684327,0.41370526171522215,0.948757286183536,0.8006527023389935,0.06651241616054904,0.05757652001193492,0.28866192867280915,0.9453730378299952,0.8001018660143018
7000,0.05328402419399936,0.04677274737332482,0.39311790218926035,0.9482499491423368,0.7958944300189614,0.06985893251840025,0.06023764428391587,0.24080759502248839,0.944849256426096,0.8002396412193775
7500,0.051858494654879905,0.045663636781682726,0.43516587316116784,0.9491637926548719,0.805435897782445,0.0671527285448974,0.05806546877283836,0.2816938804462552,0.9444274231791496,0.8039326453581452
8000,0.053092635789653286,0.04693019893602468,0.4281892925646389,0.9486257769167423,0.7981373611837626,0.06627899373415858,0.05737241220776923,0.30267497833119705,0.9461655570194125,0.7956355269998312
