id,split,scene,frame,k0_point_rel,k0_depth_rel,k0_depth_delta_1.01,k0_depth_delta_1.25,k0_boundary_f1,k1_point_rel,k1_depth_rel,k1_depth_delta_1.01,k1_depth_delta_1.25,k1_boundary_f1,k3_point_rel,k3_depth_rel,k3_depth_delta_1.01,k3_depth_delta_1.25,k3_boundary_f1,k5_point_rel,k5_depth_rel,k5_depth_delta_1.01,k5_depth_delta_1.25,k5_boundary_f1
ai_001_001_cam_00_frame.0000,train,ai_001_001,0,0.019033344462513924,0.01733360067009926,0.5545603632926941,0.9998931884765625,0.8451493382453918,0.01463136076927185,0.013327723369002342,0.5339711904525757,0.9999186396598816,0.8338422179222107,0.02050158381462097,0.01818731427192688,0.4182027280330658,0.9995371699333191,0.792103111743927,0.032166674733161926,0.028574787080287933,0.3067067563533783,0.9960836172103882,0.7600541710853577
ai_001_001_cam_00_frame.0006,train,ai_001_001,6,0.022681696340441704,0.018773343414068222,0.4241587519645691,0.9996083974838257,0.8874740600585938,0.024697070941329002,0.020613551139831543,0.3719533383846283,0.9995931386947632,0.884394645690918,0.035928599536418915,0.031156107783317566,0.2114054411649704,0.9995168447494507,0.8657770156860352,0.04929962754249573,0.04353926703333855,0.1395924985408783,0.9994456171989441,0.8326945900917053
ai_001_001_cam_00_frame.0013,train,ai_001_001,13,0.010531919077038765,0.009407821111381054,0.69219970703125,0.9989980459213257,0.856866180896759,0.011880988255143166,0.010290702804923058,0.6228536367416382,0.9989878535270691,0.8293375968933105,0.024329176172614098,0.020851146429777145,0.2726237177848816,0.9989522695541382,0.6729528307914734,0.03869365155696869,0.0319901779294014,0.1053619384765625,0.998931884765625,0.6038384437561035
ai_001_001_cam_00_frame.0019,train,ai_001_001,19,0.01250222697854042,0.011619525030255318,0.6942495107650757,0.9992574453353882,0.8980407118797302,0.01423984207212925,0.01314504723995924,0.6008046865463257,0.9993896484375,0.8984313607215881,0.021438157185912132,0.019372057169675827,0.321868896484375,0.9994863271713257,0.8998280167579651,0.031044933944940567,0.02789153717458248,0.1985931396484375,0.999542236328125,0.8908348083496094
ai_001_001_cam_00_frame.0026,train,ai_001_001,26,0.013128489255905151,0.011580700986087322,0.6790924072265625,0.9925944209098816,0.899315595626831,0.010730618610978127,0.009604934602975845,0.8032023310661316,0.9993489980697632,0.8927072286605835,0.015565323643386364,0.014053044840693474,0.5266774892807007,0.9996694326400757,0.873147189617157,0.02303817681968212,0.020850710570812225,0.3322245478630066,0.9997965693473816,0.8600135445594788
ai_001_001_cam_00_frame.0032,train,ai_001_001,32,0.043592147529125214,0.03140924498438835,0.2020518034696579,0.9853414297103882,0.9159255623817444,0.049554284662008286,0.03355133533477783,0.125396728515625,0.9852956533432007,0.9164355397224426,0.0648217648267746,0.04304911941289902,0.1225026473402977,0.9882761836051941,0.9055237770080566,0.08282478153705597,0.056388985365629196,0.1044057235121727,0.9812469482421875,0.8839744329452515
ai_001_001_cam_00_frame.0040,train,ai_001_001,40,0.024814099073410034,0.020638488233089447,0.4336954951286316,0.9977671504020691,0.7952151298522949,0.021738823503255844,0.012232407927513123,0.5481211543083191,0.9977061152458191,0.814488410949707,0.04155609756708145,0.02683553658425808,0.3737386167049408,0.9976400136947632,0.8193442821502686,0.06675238907337189,0.05012021213769913,0.2931925654411316,0.9898630976676941,0.669596254825592
ai_001_001_cam_00_frame.0046,train,ai_001_001,46,0.01680442877113819,0.013806235045194626,0.6461029052734375,0.9971262812614441,0.8222308158874512,0.022259067744016647,0.017278781160712242,0.5563405752182007,0.9962717890739441,0.8451886773109436,0.042125117033720016,0.032160837203264236,0.1837209165096283,0.9935709834098816,0.8538409471511841,0.0636311024427414,0.04790176451206207,0.1194864958524704,0.9879710078239441,0.8481582403182983
ai_001_001_cam_00_frame.0053,train,ai_001_001,53,0.00888412818312645,0.007884174585342407,0.7574310302734375,0.9993947744369507,0.9059992432594299,0.00767273036763072,0.006668626796454191,0.815826416015625,0.999359130859375,0.906389057636261,0.013433724641799927,0.01198873296380043,0.5074412226676941,0.99932861328125,0.8864772319793701,0.02150067314505577,0.019533192738890648,0.29278564453125,0.9993184804916382,0.8529015779495239
ai_001_001_cam_00_frame.0059,train,ai_001_001,59,0.015483522787690163,0.01252042781561613,0.583709716796875,0.9997609853744507,0.7671406269073486,0.01548505388200283,0.012453499250113964,0.5465494990348816,0.999755859375,0.7776459455490112,0.020409969612956047,0.016392212361097336,0.434356689453125,0.9997762441635132,0.7816596627235413,0.028317809104919434,0.023167148232460022,0.245025634765625,0.9997813105583191,0.7783007025718689
