id,split,scene,frame,k0_point_rel,k0_depth_rel,k0_depth_delta_1.01,k0_depth_delta_1.25,k0_boundary_f1,k1_point_rel,k1_depth_rel,k1_depth_delta_1.01,k1_depth_delta_1.25,k1_boundary_f1,k3_point_rel,k3_depth_rel,k3_depth_delta_1.01,k3_depth_delta_1.25,k3_boundary_f1,k5_point_rel,k5_depth_rel,k5_depth_delta_1.01,k5_depth_delta_1.25,k5_boundary_f1
ai_001_001_cam_00_frame.0000,train,ai_001_001,0,0.019033344462513924,0.01733360067009926,0.5545603632926941,0.9998931884765625,0.8451493382453918,0.01694488897919655,0.015470809303224087,0.5577749013900757,0.9999135732650757,0.8436582088470459,0.015047851018607616,0.013565080240368843,0.4819183349609375,0.9998779296875,0.8321248888969421,0.017474189400672913,0.015627646818757057,0.4316660761833191,0.9997100830078125,0.817504346370697
ai_001_001_cam_00_frame.0006,train,ai_001_001,6,0.022681696340441704,0.018773343414068222,0.4241587519645691,0.9996083974838257,0.8874740600585938,0.022702254354953766,0.01868884079158306,0.4260355830192566,0.9996083974838257,0.8837862610816956,0.024877753108739853,0.020696070045232773,0.336151123046875,0.9996185302734375,0.8639898896217346,0.02823682129383087,0.023455245420336723,0.303985595703125,0.9996134638786316,0.8345311284065247
ai_001_001_cam_00_frame.0013,train,ai_001_001,13,0.010531919077038765,0.009407821111381054,0.69219970703125,0.9989980459213257,0.856866180896759,0.010381393134593964,0.009151202626526356,0.6978251338005066,0.9989827871322632,0.8442406058311462,0.01225259155035019,0.01057914923876524,0.6251322627067566,0.9989573359489441,0.8193076848983765,0.015564370900392532,0.013129159808158875,0.5116729736328125,0.998931884765625,0.7976065874099731
ai_001_001_cam_00_frame.0019,train,ai_001_001,19,0.01250222697854042,0.011619525030255318,0.6942495107650757,0.9992574453353882,0.8980407118797302,0.012587971054017544,0.011636845767498016,0.6755880117416382,0.9993235468864441,0.8999499678611755,0.014129411429166794,0.013005985878407955,0.6003469228744507,0.9994100332260132,0.9064309000968933,0.015837252140045166,0.014427535235881805,0.5408782958984375,0.9995066523551941,0.90143221616745
ai_001_001_cam_00_frame.0026,train,ai_001_001,26,0.013128489255905151,0.011580700986087322,0.6790924072265625,0.9925944209098816,0.899315595626831,0.011826618574559689,0.010519157163798809,0.7394053339958191,0.996551513671875,0.905326247215271,0.011677270755171776,0.010536536574363708,0.7164663076400757,0.9995676875114441,0.9082610607147217,0.012325047515332699,0.011218197643756866,0.6631317138671875,0.9996846914291382,0.9120551347732544
ai_001_001_cam_00_frame.0032,train,ai_001_001,32,0.043592147529125214,0.03140924498438835,0.2020518034696579,0.9853414297103882,0.9159255623817444,0.0463276132941246,0.0328487865626812,0.1467234343290329,0.9854380488395691,0.9193395972251892,0.05271442234516144,0.034810058772563934,0.1648966521024704,0.9857330322265625,0.917129635810852,0.059760503470897675,0.03738528490066528,0.1904195249080658,0.9868978261947632,0.915891170501709
ai_001_001_cam_00_frame.0040,train,ai_001_001,40,0.024814099073410034,0.020638488233089447,0.4336954951286316,0.9977671504020691,0.7952151298522949,0.022580016404390335,0.0155499167740345,0.4731292724609375,0.9977315664291382,0.8251397013664246,0.02787857875227928,0.015441134572029114,0.4243418574333191,0.9976603388786316,0.8353885412216187,0.040876854211091995,0.021362436935305595,0.3346506953239441,0.9976603388786316,0.8375383019447327
ai_001_001_cam_00_frame.0046,train,ai_001_001,46,0.01680442877113819,0.013806235045194626,0.6461029052734375,0.9971262812614441,0.8222308158874512,0.017451025545597076,0.013803072273731232,0.6416575312614441,0.9967498779296875,0.841453492641449,0.02166922390460968,0.016514819115400314,0.5625407099723816,0.9962921142578125,0.8547781109809875,0.027837803587317467,0.020566867664456367,0.3719838559627533,0.9961649775505066,0.8669829964637756
ai_001_001_cam_00_frame.0053,train,ai_001_001,53,0.00888412818312645,0.007884174585342407,0.7574310302734375,0.9993947744369507,0.9059992432594299,0.008194632828235626,0.0072307828813791275,0.7823130488395691,0.9993743896484375,0.9105275869369507,0.008654334582388401,0.007570676505565643,0.7592824697494507,0.9993438720703125,0.9238536357879639,0.010824146680533886,0.009430404752492905,0.6669210195541382,0.99932861328125,0.9089303612709045
ai_001_001_cam_00_frame.0059,train,ai_001_001,59,0.015483522787690163,0.01252042781561613,0.583709716796875,0.9997609853744507,0.7671406269073486,0.01580117642879486,0.01275885384529829,0.542724609375,0.999755859375,0.771826982498169,0.016653629019856453,0.013521017506718636,0.4922739863395691,0.9997762441635132,0.7912833094596863,0.01841781660914421,0.014958702027797699,0.4428812861442566,0.9997813105583191,0.8052741885185242
ai_001_001_cam_00_frame.0067,train,ai_001_001,67,0.010961605235934258,0.009847636334598064,0.6380056142807007,1.0,0.8628117442131042,0.00965174287557602,0.00863739475607872,0.6977030634880066,1.0,0.8341819643974304,0.009555745869874954,0.008529096841812134,0.6980642080307007,1.0,0.8029813766479492,0.011862097308039665,0.010682834312319756,0.5326385498046875,1.0,0.7801105380058289
ai_001_001_cam_00_frame.0073,train,ai_001_001,73,0.020545732229948044,0.019696304574608803,0.3399607539176941,0.9995473623275757,0.843585193157196,0.014976873993873596,0.014360751025378704,0.4558817744255066,0.9995015859603882,0.8349458575248718,0.01245424710214138,0.010639212094247341,0.6004893183708191,0.9994863271713257,0.8083298206329346,0.018517103046178818,0.015653084963560104,0.407073974609375,0.9994863271713257,0.7658565640449524
ai_001_001_cam_00_frame.0080,train,ai_001_001,80,0.006878545042127371,0.005801163613796234,0.8506927490234375,0.9992879629135132,0.9047551155090332,0.0055811405181884766,0.00461955089122057,0.893280029296875,0.9993082880973816,0.9108731746673584,0.006713265087455511,0.005874061957001686,0.8486989736557007,0.9993540644645691,0.9227103590965271,0.009780477732419968,0.008770119398832321,0.722991943359375,0.9993795156478882,0.9213759303092957
ai_001_001_cam_00_frame.0086,train,ai_001_001,86,0.009127134457230568,0.008047282695770264,0.88525390625,0.9989420771598816,0.8047142028808594,0.0091648418456316,0.008075511083006859,0.8650156855583191,0.9991048574447632,0.8141586780548096,0.01099137868732214,0.009836819022893906,0.7596334218978882,0.9988149404525757,0.8484965562820435,0.013062919490039349,0.011718007735908031,0.6239166259765625,0.9949849843978882,0.8608658313751221
ai_001_001_cam_00_frame.0093,train,ai_001_001,93,0.012035000137984753,0.010780148208141327,0.5559896230697632,0.9997915029525757,0.8334853649139404,0.014305433258414268,0.01299562118947506,0.4181010127067566,0.9997813105583191,0.8349282145500183,0.018879525363445282,0.017347469925880432,0.2934417724609375,0.999755859375,0.8349623084068298,0.023174216970801353,0.021372100338339806,0.243743896484375,0.9997507929801941,0.8292603492736816
ai_001_001_cam_00_frame.0099,train,ai_001_001,99,0.02054808847606182,0.013925053179264069,0.7536367177963257,0.9960429072380066,0.9147796630859375,0.020120959728956223,0.012737806886434555,0.76556396484375,0.996063232421875,0.9105128645896912,0.02266601286828518,0.01383960247039795,0.6272430419921875,0.9961090087890625,0.9147571325302124,0.027568385004997253,0.01692681387066841,0.5104879140853882,0.99560546875,0.9171106815338135
ai_003_001_cam_00_frame.0000,train,ai_003_001,0,0.18639355897903442,0.16978880763053894,0.0357666015625,0.67822265625,1.0,0.18903040885925293,0.17218813300132751,0.0349222831428051,0.6691996455192566,1.0,0.19238749146461487,0.175191268324852,0.0347391776740551,0.6608073115348816,1.0,0.19674870371818542,0.1789427250623703,0.0335642509162426,0.6521098017692566,1.0
ai_003_001_cam_00_frame.0007,train,ai_003_001,7,0.689443051815033,0.6247484683990479,0.012552897445857525,0.2216644287109375,0.0,0.6997227072715759,0.6342071890830994,0.0120391845703125,0.227447509765625,0.0,0.7032575607299805,0.6373971700668335,0.0118560791015625,0.2276865690946579,0.0,0.7051564455032349,0.6385452747344971,0.01198323629796505,0.2263590544462204,0.0
ai_003_001_cam_00_frame.0013,train,ai_003_001,13,0.45032331347465515,0.42331790924072266,0.014826457016170025,0.3052317500114441,0.0,0.451812744140625,0.4245975911617279,0.014597575180232525,0.30426025390625,0.0,0.45499706268310547,0.42737555503845215,0.014246623031795025,0.3024851679801941,0.0,0.45862889289855957,0.43052202463150024,0.01393636129796505,0.2989044189453125,0.0
ai_003_001_cam_00_frame.0020,train,ai_003_001,20,0.12611860036849976,0.1128983348608017,0.0539093017578125,0.862335205078125,1.0,0.12119205296039581,0.10819251835346222,0.0608266219496727,0.8713786005973816,1.0,0.11565222591161728,0.10305771231651306,0.0696258544921875,0.872283935546875,1.0,0.11079975217580795,0.09858759492635727,0.0694936141371727,0.8812205195426941,1.0
ai_003_001_cam_00_frame.0026,train,ai_003_001,26,0.3901267647743225,0.35621342062950134,0.015619914047420025,0.3463033139705658,0.0,0.3871285319328308,0.35338908433914185,0.01649983786046505,0.350799560546875,0.0,0.38393181562423706,0.3503561019897461,0.0167236328125,0.3566233515739441,0.0,0.38112539052963257,0.3476855158805847,0.01634724996984005,0.3600311279296875,0.0
