step,train/k0_point_rel,train/k0_depth_rel,train/k0_depth_delta_1.01,train/k0_depth_delta_1.25,train/k0_boundary_f1,train/k3_point_rel,train/k3_depth_rel,train/k3_depth_delta_1.01,train/k3_depth_delta_1.25,train/k3_boundary_f1,val/k0_point_rel,val/k0_depth_rel,val/k0_depth_delta_1.01,val/k0_depth_delta_1.25,val/k0_boundary_f1,val/k3_point_rel,val/k3_depth_rel,val/k3_depth_delta_1.01,val/k3_depth_delta_1.25,val/k3_boundary_f1
0,0.0598281105235219,0.05035241882316768,0.3155754686892033,0.9572477692365646,0.799968535900116,0.0598281105235219,0.05035241882316768,0.3155754686892033,0.9572477692365646,0.799968535900116,0.08901209192117676,0.07071346754673868,0.21510937623679638,0.945804838091135,0.8566750511527061,0.08901209192117676,0.07071346754673868,0.21510937623679638,0.945804838091135,0.8566750511527061
250,0.05590122482739389,0.047155085359700026,0.35212262254208326,0.959427507519722,0.7998853540420532,0.05589939348399639,0.047149972920306024,0.35233238644897935,0.959416269659996,0.7999283143877983,0.08824463875498623,0.06922173872590065,0.19005030812695622,0.9519620686769485,0.8545129410922527,0.08823525195475668,0.0692197282332927,0.19013772904872894,0.951963022351265,0.8545630089938641
500,0.05432649522088468,0.045809204429388045,0.37031691025942565,0.9603167378902435,0.7993189895153046,0.05432543277274817,0.045811440865509215,0.3702101679891348,0.9603275895118714,0.7993883952498436,0.08743173745460808,0.06818086956627667,0.1919879037886858,0.9539949893951416,0.8542664907872677,0.08741281891707331,0.0681765903136693,0.19219802971929312,0.9540054760873318,0.8543315939605236
750,0.05284924844745546,0.044530235286802056,0.38348881784826516,0.9611131584644318,0.8026732397079468,0.05284413739107549,0.044523415598087014,0.38380227630957964,0.9611157894134521,0.8027788504958153,0.08651610987726599,0.0672267772606574,0.1981995888054371,0.9562030769884586,0.8569504618644714,0.08647643448784947,0.06721074046799913,0.1986316021066159,0.9562297761440277,0.8571009300649166
1000,0.05175720113329589,0.04355997600592673,0.40029404290020465,0.9616978043317794,0.7981409057974815,0.05175034788902849,0.043552709482610225,0.40059647791087627,0.961644115447998,0.798329735994339,0.0861285743303597,0.06642198545159772,0.2036806889809668,0.957069955766201,0.8524087518453598,0.08608392131282017,0.06641258363379166,0.2041088929399848,0.957101121544838,0.8526747934520245
1250,0.04848752620629966,0.040698152121622116,0.43320843257009983,0.9638595885038376,0.7999943506717682,0.04847510732710361,0.04068999156123027,0.4335404770821333,0.9638648444414138,0.800272224843502,0.08581512066302821,0.0658847521408461,0.2095795664936304,0.9581552445888519,0.8539705313742161,0.08575632655993104,0.06587525532813743,0.21020009508356452,0.9581854529678822,0.8544851616024971
1500,0.04326885112561286,0.03596525306813419,0.49556826330721376,0.9675806677341461,0.807584066092968,0.043260122505016624,0.03595476303016767,0.4961097851395607,0.967578930258751,0.8079546937346458,0.08565817336784676,0.06620139954611659,0.21367599489167333,0.9577270485460758,0.8609584458172321,0.08561406232183799,0.06619266059715301,0.21409561252221465,0.9577928557991982,0.8612882345914841
1750,0.039572723284363745,0.03253976134117693,0.5509513752162456,0.9690009862184524,0.8049123024940491,0.039567216914147135,0.032534651551395656,0.5515533271431923,0.9690025907754898,0.8052731877565384,0.0855013545951806,0.06616665091132745,0.2154533201828599,0.9582941681146622,0.8578261956572533,0.08545032393885776,0.06615125050302595,0.2157101770862937,0.9583361260592937,0.8582354597747326
2000,0.037031126304063945,0.03007242607884109,0.6029843236505985,0.9699405741691589,0.8071903139352798,0.03702949718106538,0.030068653584457934,0.6033115248382092,0.9699436217546463,0.8075871217250824,0.08691045129671693,0.06684025935828686,0.21289460570551455,0.9589245393872261,0.8591697216033936,0.08687788690440357,0.0668304274440743,0.211853779386729,0.9589289873838425,0.8595594353973866
2250,0.035090405486989766,0.02826860695844516,0.6358756378293038,0.9714932584762573,0.809100384414196,0.03508737603668124,0.02826549016870558,0.6363372302055359,0.9714966320991516,0.8096094727516174,0.08964646863751113,0.06793153512990102,0.20861094049178064,0.9593336619436741,0.8600616119801998,0.08961954724509269,0.06793658679816872,0.20805972325615585,0.9593238048255444,0.8604112528264523
