id,split,scene,frame,k0_point_rel,k0_depth_rel,k0_depth_delta_1.01,k0_depth_delta_1.25,k0_boundary_f1,k1_point_rel,k1_depth_rel,k1_depth_delta_1.01,k1_depth_delta_1.25,k1_boundary_f1,k3_point_rel,k3_depth_rel,k3_depth_delta_1.01,k3_depth_delta_1.25,k3_boundary_f1,k5_point_rel,k5_depth_rel,k5_depth_delta_1.01,k5_depth_delta_1.25,k5_boundary_f1
ai_001_001_cam_00_frame.0000,train,ai_001_001,0,0.0058192722499370575,0.005010496824979782,0.8997802734375,0.9998677968978882,0.8540881276130676,0.0057023316621780396,0.004890596028417349,0.901031494140625,0.9998626708984375,0.8534826040267944,0.0057784151285886765,0.004960262216627598,0.9011179804801941,0.9998576045036316,0.8546808958053589,0.0060431091114878654,0.005218415521085262,0.894195556640625,0.9998576045036316,0.8539608120918274
ai_001_001_cam_00_frame.0014,train,ai_001_001,14,0.006160731427371502,0.005015998147428036,0.9224192500114441,0.9991862177848816,0.9113523960113525,0.0060689402744174,0.00495873810723424,0.9239756464958191,0.9991912841796875,0.9128482937812805,0.006053732708096504,0.0049960073083639145,0.9161428213119507,0.9991912841796875,0.914301335811615,0.006218358874320984,0.005201656371355057,0.9014078974723816,0.9991862177848816,0.9147807359695435
ai_001_001_cam_00_frame.0028,train,ai_001_001,28,0.005012683570384979,0.004441735800355673,0.9354146718978882,0.9998321533203125,0.897323727607727,0.0048964242450892925,0.004325184039771557,0.936798095703125,0.9998321533203125,0.8980738520622253,0.004821529146283865,0.004245582967996597,0.936553955078125,0.9998372793197632,0.9002072215080261,0.004928902722895145,0.004340054467320442,0.9317881464958191,0.9998423457145691,0.8985925912857056
ai_001_001_cam_00_frame.0043,train,ai_001_001,43,0.0036826112773269415,0.0030447496101260185,0.9618327021598816,0.9999135732650757,0.9103581309318542,0.0036304984241724014,0.0030119246803224087,0.9632924795150757,0.9999135732650757,0.9092110395431519,0.003773421747609973,0.0031808577477931976,0.9628957509994507,0.9999186396598816,0.9105685353279114,0.004140589851886034,0.0035599903203547,0.9525146484375,0.9999186396598816,0.9106518030166626
ai_001_001_cam_00_frame.0056,train,ai_001_001,56,0.0035473816096782684,0.0028325258754193783,0.9746602773666382,0.9999847412109375,0.9110609889030457,0.003477653954178095,0.002762422664090991,0.9751739501953125,0.9999847412109375,0.912148654460907,0.003535810625180602,0.002822699723765254,0.9732259511947632,0.9999847412109375,0.9168909192085266,0.003795785363763571,0.0030850328039377928,0.9679006338119507,0.9999847412109375,0.9210041761398315
ai_001_001_cam_00_frame.0071,train,ai_001_001,71,0.006124994717538357,0.005458846688270569,0.9009959101676941,0.9996490478515625,0.8852989077568054,0.005998226813971996,0.005343591794371605,0.9062296748161316,0.9996490478515625,0.885696291923523,0.005916501395404339,0.005257039330899715,0.907318115234375,0.9996490478515625,0.8860839605331421,0.006039208732545376,0.00533464178442955,0.8958231806755066,0.9996490478515625,0.8862819671630859
ai_001_001_cam_00_frame.0085,train,ai_001_001,85,0.005214621778577566,0.004605171270668507,0.9182993769645691,0.9993540644645691,0.9560237526893616,0.005165450274944305,0.004550508223474026,0.9202932119369507,0.9993489980697632,0.9563382267951965,0.00521376496180892,0.004588206298649311,0.9183146357536316,0.9993540644645691,0.9564070105552673,0.005409603472799063,0.004771784879267216,0.9102987051010132,0.9993642568588257,0.9561165571212769
ai_001_001_cam_00_frame.0099,train,ai_001_001,99,0.00979045033454895,0.008644040673971176,0.8022207021713257,0.9970245361328125,0.9467670917510986,0.009676963090896606,0.008563302457332611,0.800140380859375,0.9970245361328125,0.9464601278305054,0.009558524936437607,0.008481813594698906,0.7989858388900757,0.9970296621322632,0.9465975761413574,0.00952402874827385,0.008467982523143291,0.7948405146598816,0.9970042109489441,0.9484773874282837
ai_018_003_cam_00_frame.0000,train,ai_018_003,0,0.00979059748351574,0.008771075867116451,0.8564300537109375,0.9955291748046875,0.9150162935256958,0.009678713977336884,0.00866524875164032,0.8599497675895691,0.9955393671989441,0.9153558015823364,0.009595349431037903,0.008602108806371689,0.8610941767692566,0.9955393671989441,0.9151380658149719,0.00965171493589878,0.008676692843437195,0.861053466796875,0.9955393671989441,0.9142389893531799
ai_018_003_cam_00_frame.0014,train,ai_018_003,14,0.008585238829255104,0.007681865245103836,0.86676025390625,0.9966024160385132,0.8472856879234314,0.008484438061714172,0.0075848884880542755,0.8714854121208191,0.9966024160385132,0.848357617855072,0.008362550288438797,0.007461848668754101,0.8749898672103882,0.996612548828125,0.8502939343452454,0.008348481729626656,0.00745311938226223,0.8743998408317566,0.9966176748275757,0.8506577014923096
