id,split,scene,frame,fine_pixels,fine_fraction,selection_score,crop_x0,crop_y0,crop_x1,crop_y1
ai_046_001_cam_00_frame.0085,test,ai_046_001,85,36777,0.9976399739583334,36777.0,288,0,480,192
ai_046_001_cam_00_frame.0071,test,ai_046_001,71,36580,0.9922960069444444,36580.0,96,32,288,224
ai_046_001_cam_00_frame.0057,test,ai_046_001,57,36550,0.9914822048611112,36550.0,192,0,384,192
ai_046_001_cam_00_frame.0014,test,ai_046_001,14,34226,0.9284396701388888,34226.0,0,64,192,256
ai_046_001_cam_00_frame.0000,test,ai_046_001,0,33926,0.9203016493055556,33926.0,224,128,416,320
ai_046_001_cam_00_frame.0042,test,ai_046_001,42,31267,0.8481716579861112,31267.0,320,128,512,320
ai_050_001_cam_00_frame.0000,test,ai_050_001,0,31012,0.8412543402777778,31012.0,224,192,416,384
ai_050_001_cam_00_frame.0042,test,ai_050_001,42,30070,0.8157009548611112,30070.0,96,192,288,384
ai_046_001_cam_00_frame.0099,test,ai_046_001,99,29956,0.8126085069444444,29956.0,128,96,320,288
ai_050_001_cam_00_frame.0028,test,ai_050_001,28,29301,0.7948404947916666,29301.0,0,192,192,384
ai_050_001_cam_00_frame.0071,test,ai_050_001,71,29276,0.7941623263888888,29276.0,224,192,416,384
ai_050_001_cam_00_frame.0014,test,ai_050_001,14,28963,0.7856716579861112,28963.0,0,192,192,384
ai_050_001_cam_00_frame.0057,test,ai_050_001,57,28370,0.7695855034722222,28370.0,320,192,512,384
ai_050_001_cam_00_frame.0099,test,ai_050_001,99,27559,0.7475857204861112,27559.0,320,192,512,384
ai_046_001_cam_00_frame.0028,test,ai_046_001,28,25467,0.6908365885416666,25467.0,0,192,192,384
ai_050_001_cam_00_frame.0085,test,ai_050_001,85,24428,0.6626519097222222,24428.0,160,192,352,384
ai_019_007_cam_00_frame.0000,train,ai_019_007,0,36864,1.0,36864.0,0,0,192,192
ai_052_008_cam_01_frame.0099,train,ai_052_008,99,36837,0.999267578125,36837.0,0,160,192,352
ai_052_005_cam_01_frame.0099,train,ai_052_005,99,36831,0.9991048177083334,36831.0,320,0,512,192
ai_044_009_cam_00_frame.0000,train,ai_044_009,0,36758,0.9971245659722222,36758.0,32,32,224,224
ai_024_018_cam_00_frame.0099,train,ai_024_018,99,36752,0.9969618055555556,36752.0,320,0,512,192
ai_028_001_cam_00_frame.0099,train,ai_028_001,99,36726,0.9962565104166666,36726.0,320,32,512,224
ai_011_009_cam_01_frame.0099,train,ai_011_009,99,36691,0.9953070746527778,36691.0,192,0,384,192
ai_048_007_cam_00_frame.0001,train,ai_048_007,1,36525,0.9908040364583334,36525.0,64,128,256,320
ai_038_002_cam_00_frame.0099,train,ai_038_002,99,36471,0.9893391927083334,36471.0,0,96,192,288
ai_001_001_cam_00_frame.0099,train,ai_001_001,99,36431,0.9882541232638888,36431.0,320,192,512,384
ai_041_001_cam_00_frame.0000,train,ai_041_001,0,36394,0.9872504340277778,36394.0,320,64,512,256
ai_008_004_cam_00_frame.0000,train,ai_008_004,0,36238,0.9830186631944444,36238.0,96,128,288,320
ai_044_002_cam_01_frame.0099,train,ai_044_002,99,36195,0.9818522135416666,36195.0,320,0,512,192
