step,stage,loss,grad_norm,lr_ssr,lr_heads,lr_backbone,base/k1/edge,base/k1/global,base/k1/local,refined/k1/edge,refined/k1/global,refined/k1/local,refined/k2/edge,refined/k2/global,refined/k2/local,refined/k3/edge,refined/k3/global,refined/k3/local,ssr_max_abs_log_depth_residual,ssr_max_depth_span
1,refiner_only,0.12479069642722607,0.6199098825454712,2e-05,0.0,0.0,0.0006325665726762963,0.018368317978456616,0.022080972732510418,0.0006325665726762963,0.018368317978456616,0.023216010187752545,0.0006325665726762963,0.018368317978456616,0.022068593825679272,0.0006325665726762963,0.018368317978456616,0.022503435786347836,0.0,564.0
2,refiner_only,0.1577164784539491,0.3086009919643402,2e-05,0.0,0.0,0.0005233390584180597,0.02564439771231264,0.03169120298116468,0.0005242180468485458,0.025641375192208216,0.03001201100414619,0.0005265769250399899,0.02563849469879642,0.03014185233041644,0.0005300353332131635,0.025635570578742772,0.019066344248130918,0.0005505658336915076,564.0
3,refiner_only,0.20875101163983345,0.3043328821659088,2e-05,0.0,0.0,0.0006078175647417083,0.03549303533509374,0.016764190862886608,0.0006089874368626624,0.0354927231092006,0.041699531488120556,0.0006117558841651771,0.035493587027303874,0.04140898853074759,0.0006155207265692297,0.035494487383402884,0.017325428663752973,0.0007696076645515859,501.0
4,refiner_only,0.20599783677607775,0.5515128970146179,2e-05,0.0,0.0,0.0007222991916933097,0.035428044851869345,0.03421819058712572,0.0007238216639962047,0.03541570040397346,0.033157114405184984,0.0007271739013958722,0.035403446992859244,0.031848501530475914,0.0007314950198633596,0.03539108484983444,0.03259950096253306,0.0010454527800902724,455.0
5,refiner_only,0.14727155677974224,0.3126991093158722,2e-05,0.0,0.0,0.0005336773174349219,0.029653559671714902,0.018356771674007177,0.0005353841916075908,0.029643869143910706,0.019657528609968722,0.0005390711958170868,0.02963219187222421,0.017715634661726654,0.0005439202104753349,0.029621102148666978,0.019382853875868022,0.0012106383219361305,634.0
6,refiner_only,0.1592657845467329,0.40017780661582947,2e-05,0.0,0.0,0.0006088053924031556,0.02553686103783548,0.027818646864034235,0.0006109062960604206,0.025519688613712788,0.028209198266267776,0.0006151503730507102,0.025502658099867404,0.026418133173137903,0.0006208805207279511,0.02548579906579107,0.026283370330929756,0.001252581481821835,481.0
7,refiner_only,0.22124283760786057,0.47018855810165405,2e-05,0.0,0.0,0.0007041740100248717,0.04022211558185518,0.027999936952255666,0.0007072981970850378,0.04022802272811532,0.02672489150427282,0.0007129379519028589,0.04023402649909258,0.02912918315269053,0.0007195148427854292,0.040240078466013074,0.04254688753280789,0.002021492226049304,815.0
8,refiner_only,0.10064136399887502,0.24514789879322052,2e-05,0.0,0.0,0.0004846218362217769,0.017291044758167118,0.015546293987426907,0.0004901344618701842,0.017274051206186414,0.016860254807397723,0.0005000711062166374,0.017257670522667468,0.015265306574292481,0.0005117615764902439,0.017241731577087194,0.01524038246134296,0.0013871564297005534,557.0
9,refiner_only,0.14574516844004393,0.3709511458873749,2e-05,0.0,0.0,0.0005466852999234106,0.028711303137242794,0.018278031959198415,0.0005506829074874986,0.028705964796245098,0.019507177115883678,0.0005575138275162317,0.028700779424980283,0.01975672272965312,0.0005654551969200838,0.028696364839561284,0.018704505870118737,0.0018580396426841617,502.0
10,refiner_only,0.20082458201795816,0.30609190464019775,2e-05,0.0,0.0,0.0006980853904678952,0.03702392126433551,0.030965853249654174,0.0007035859453026205,0.03700706106610596,0.025270154466852546,0.0007114978652680293,0.03699068236164749,0.028091448009945452,0.0007206349873740692,0.03697481215931475,0.03435471164993942,0.0028347268234938383,792.0
11,refiner_only,0.2049700180068612,0.2662044167518616,2e-05,0.0,0.0,0.0006533410232805181,0.03297649510204792,0.03404338227119297,0.000657179862173507,0.03296740027144551,0.0351527095772326,0.0006638113991357386,0.03295831894502044,0.03389212675392628,0.0006718381191603839,0.03295254486147314,0.035054087871685624,0.0017655163537710905,733.0
12,refiner_only,0.1612989162094891,0.24253077805042267,2e-05,0.0,0.0,0.0005410581106843892,0.02602170530008152,0.040135543211363256,0.0005457545412355103,0.026006403903011233,0.019729977124370635,0.0005536755743378308,0.025992851878982037,0.040782808035146445,0.0005628180479106959,0.025979944097343832,0.021144681435544044,0.0022100203204900026,593.0
13,refiner_only,0.10803217208012938,0.23928110301494598,2e-05,0.0,0.0,0.0005377962661441416,0.019064714782871306,0.015409458370413631,0.000543091486179037,0.01904694951372221,0.014983006229158491,0.0005519759979506489,0.019029585469979793,0.0173228433704935,0.0005619339463009965,0.019013285578694195,0.016979499254375696,0.0023229944054037333,499.0
14,refiner_only,0.1799386776983738,0.22704260051250458,2e-05,0.0,0.0,0.0006763940618839115,0.02759093709755689,0.031139924773015082,0.0006799886396038346,0.02758509828709066,0.03102445718832314,0.0006860808571218513,0.027579687302932143,0.030902995145879686,0.0006930990930413827,0.027574597974307835,0.03321267291903496,0.002524574985727668,815.0
15,refiner_only,0.1662532864138484,0.20200838148593903,2e-05,0.0,0.0,0.0006661565785179846,0.024518991354852915,0.030975138768553734,0.0006695644842693582,0.024502139422111213,0.030430861632339656,0.0006749981439497788,0.02448219887446612,0.03125318232923746,0.0006812107531004585,0.024463830864988267,0.02909530163742602,0.0023742446210235357,601.0
16,refiner_only,0.13023499073460698,0.36249375343322754,2e-05,0.0,0.0,0.0005627227619697805,0.021624453831464052,0.02380459348205477,0.0005665558710461482,0.021600360749289393,0.02361481258412823,0.0005731766068493016,0.021576596656814218,0.01972731517162174,0.0005808163114124909,0.021553583210334182,0.020441776316147298,0.0028141227085143328,593.0
17,refiner_only,0.11268828064203262,0.43978211283683777,2e-05,0.0,0.0,0.0004825005780730862,0.019382357713766396,0.015619474463164806,0.00048797573617775925,0.019354530842974782,0.01821928471326828,0.0004957876335538458,0.019327718066051602,0.018375979736447334,0.0005044042227382306,0.019302047905512154,0.016620553913526237,0.002883357461541891,593.0
18,refiner_only,0.16050958912819624,0.20753511786460876,2e-05,0.0,0.0,0.0005291460693115368,0.033506864216178656,0.02048191596986726,0.0005345273893908598,0.033485066844150424,0.01948281968361698,0.0005434140075522009,0.03346419509034604,0.019429062405833974,0.000553694804693805,0.033445021079387516,0.01957179163582623,0.0018204590305685997,607.0
19,refiner_only,0.26480377838015556,0.34157896041870117,2e-05,0.0,0.0,0.000654824441880919,0.0377132308203727,0.040177330549340695,0.0006592893405468203,0.03769847413059324,0.04370267124613747,0.0006664536922471598,0.03768665820825845,0.06433822173858061,0.0006747653387719765,0.03767599514685571,0.04170125344535336,0.0022203715052455664,733.0
20,refiner_only,0.21232479624450207,0.39630597829818726,2e-05,0.0,0.0,0.0006611224525840953,0.03746692289132625,0.03653663053410128,0.0006666843073617201,0.037460317835211754,0.036120292090345174,0.0006749287895218004,0.03745489357970655,0.03555056836921722,0.0006838889421487693,0.0374503304483369,0.026262893108651042,0.003037867369130254,792.0
21,refiner_only,0.1279333778657019,0.6534880995750427,2e-05,0.0,0.0,0.0004896328227914637,0.024894110450986773,0.026700720540247858,0.0004977772441634443,0.02489712304668501,0.02623889411916025,0.0005095866836200003,0.02490865034633316,0.012622099311556667,0.0005212695068621542,0.024911272863391787,0.012826702208258212,0.0028678621165454388,634.0
22,refiner_only,0.08552524377591908,0.34556084871292114,2e-05,0.0,0.0,0.0004150421627855394,0.015494546736590564,0.01302462792955339,0.00042168669460806996,0.015462996205314994,0.012001895462162793,0.00043137133252457716,0.01543273200513795,0.013564025575760752,0.00044158921809867024,0.01540399412624538,0.012364950438495725,0.0025408549699932337,502.0
23,refiner_only,0.15413045790046453,0.3492669463157654,2e-05,0.0,0.0,0.000612088344496442,0.026853743474930525,0.023921990708913654,0.0006169660373416264,0.0268354830914177,0.023686712025664747,0.0006238324313017074,0.026818578888196498,0.024361476593185216,0.0006308274532784708,0.02680391608737409,0.023752665263600647,0.0022399055305868387,733.0
24,refiner_only,0.18356363009661436,0.42368000745773315,2e-05,0.0,0.0,0.0005464000532811042,0.03352423006435856,0.030924442398827523,0.0005508582980837673,0.03350532311014831,0.017607767484150827,0.0005571386063820682,0.033486986823845655,0.03181909362319857,0.000563889967452269,0.03346958226757124,0.03200299252057448,0.00319996802136302,607.0
25,refiner_only,0.19945396482944489,0.17783179879188538,2e-05,0.0,0.0,0.0006922376014699694,0.03193983098026365,0.024765131121966988,0.000695555816491833,0.03192953474353999,0.033464179607108235,0.0007006856394582428,0.0319203888066113,0.033844573772512376,0.0007063439552439377,0.03191289969254285,0.03427980549167842,0.00304531492292881,792.0
26,refiner_only,0.1617901809513569,0.34389179944992065,2e-05,0.0,0.0,0.0006079808008507825,0.029400974162854254,0.022796030854806304,0.0006119259269325994,0.02937472576741129,0.02424986904952675,0.000618159188888967,0.02934977598488331,0.024092545034363866,0.0006248047793633305,0.02932615322060883,0.023542219074442983,0.0020677950233221054,815.0
27,refiner_only,0.11459673568606377,0.37340953946113586,2e-05,0.0,0.0,0.0005402270653576124,0.02209491445682943,0.01556603895733133,0.0005450844182632864,0.022063096286728978,0.014874963089823723,0.0005519925362023059,0.02203250356251374,0.016174399643205106,0.0005593106179730967,0.022001876030117273,0.015793508442584425,0.0024570804089307785,698.0
