stage,k,split,scope,point_rel,depth_rel,depth_delta_1.01,depth_delta_1.25,boundary_f1
warm_start,0,train,full,0.0598281105235219,0.05035241882316768,0.3155754686892033,0.9572477692365646,0.799968535900116
warm_start,0,train,crop,0.09048213739440127,0.07898599670251023,0.22574651954730726,0.9131698091075106,0.7876548812074481
warm_start,0,train,structure,0.06862061990881865,0.05723424025653106,0.23100598234648131,0.9641781539287207,0.6125142346575575
warm_start,0,val,full,0.08901209192117676,0.07071346754673868,0.21510937623679638,0.945804838091135,0.8566750511527061
warm_start,0,val,crop,0.07674074918031693,0.07548853754997253,0.08447265625,0.9775661826133728,0.8538501858711243
warm_start,0,val,structure,0.09502572566270828,0.09340620785951614,0.0367838554084301,0.978515625,0.7524452805519104
warm_start,0,test,full,0.07319074589759111,0.06708174338564277,0.22704156814143062,0.9506225809454918,0.8263390772044659
warm_start,0,test,crop,0.08620058000087738,0.08351409435272217,0.070068359375,0.9149848222732544,0.9143094420433044
warm_start,0,test,structure,0.09325913339853287,0.09003586322069168,0.1139865443110466,0.8893229365348816,0.8501006960868835
warm_start,1,train,full,0.04930797502398491,0.040317204175516964,0.46147956620901825,0.9615672266483307,0.8002771210670471
warm_start,1,train,crop,0.07957799644824469,0.0683906300450271,0.3637185923333438,0.9180867851905103,0.7858033790340964
warm_start,1,train,structure,0.05607846936316423,0.04537333547190394,0.3803139449764957,0.9673690638452206,0.6117585766709076
warm_start,1,val,full,0.08825494430493563,0.06945151655236259,0.21293559297919273,0.9491922967135906,0.8510689437389374
warm_start,1,val,crop,0.0734681487083435,0.0721801295876503,0.063232421875,0.9801432490348816,0.8493009805679321
warm_start,1,val,structure,0.09164000302553177,0.09001346677541733,0.0440538190305233,0.9794379472732544,0.748092532157898
warm_start,1,test,full,0.0734317124588415,0.06729724595788866,0.2194293427746743,0.9532804638147354,0.8173891790211201
warm_start,1,test,crop,0.088407002389431,0.08566291630268097,0.0801595076918602,0.9065212607383728,0.9044252634048462
warm_start,1,test,structure,0.09476562589406967,0.0914633646607399,0.1490342915058136,0.873155415058136,0.8453331589698792
warm_start,3,train,full,0.04724655502475798,0.03750689649023116,0.4323420981317759,0.9640225428342819,0.7894393187761307
warm_start,3,train,crop,0.0779956158356003,0.06660140314543585,0.34218353468854473,0.9200765794178225,0.7729651562447818
warm_start,3,train,structure,0.05305516588027185,0.04195191305271297,0.3803530312231127,0.9682814625074279,0.5995636638605369
warm_start,3,val,full,0.0904365535825491,0.0694842665689066,0.1855823309160769,0.9520161300897598,0.8351772055029869
warm_start,3,val,crop,0.06749018281698227,0.06598959863185883,0.0770128071308136,0.9810112714767456,0.847133457660675
warm_start,3,val,structure,0.08347725868225098,0.08186415582895279,0.0671115443110466,0.9809027910232544,0.7627243995666504
warm_start,3,test,full,0.07598241267260164,0.0694859029026702,0.19418748814496212,0.9537579417228699,0.8036614432930946
warm_start,3,test,crop,0.08885619789361954,0.08601701259613037,0.0884331613779068,0.9043239951133728,0.8876439332962036
warm_start,3,test,structure,0.09782864153385162,0.09435685724020004,0.1507161408662796,0.8694661259651184,0.8280792832374573
warm_start,5,train,full,0.05132715484127402,0.040439539831131695,0.343435959815979,0.9655575066804886,0.7761070033907891
warm_start,5,train,crop,0.08229992754827693,0.0706951513640442,0.26338769284621727,0.91917318555544,0.7609817815839119
warm_start,5,train,structure,0.05754182786452321,0.04583183709391445,0.29423521220121746,0.9681780619441338,0.5853861396745691
warm_start,5,val,full,0.09735771338455379,0.07322723546531051,0.1583561691804789,0.9430522248148918,0.8022767640650272
warm_start,5,val,crop,0.06350549310445786,0.06184517592191696,0.0709092915058136,0.9804145097732544,0.8270434737205505
warm_start,5,val,structure,0.0758177861571312,0.07416543364524841,0.0536566860973835,0.9806315302848816,0.7509344816207886
warm_start,5,test,full,0.07981984596699476,0.07275255350396037,0.16164589580148458,0.9549401812255383,0.7895038761198521
warm_start,5,test,crop,0.09183380007743835,0.08887752890586853,0.0752224400639534,0.9023166298866272,0.8680592179298401
warm_start,5,test,structure,0.10489004105329514,0.10118120163679123,0.1185980886220932,0.8658854365348816,0.7963861227035522
final,0,train,full,0.056503830389119686,0.04780485688708722,0.34279533337801693,0.9593320941925049,0.811882555782795
final,0,train,crop,0.08773170394014637,0.07670930581483638,0.2510461212258856,0.9146939437344389,0.7941782974971915
final,0,train,structure,0.06500400892757582,0.054048804144533176,0.25888201607751465,0.9674182590448631,0.6221303932790486
final,0,val,full,0.08758896589279175,0.06888250098563731,0.19703003007452935,0.9519938603043556,0.8671100214123726
final,0,val,crop,0.06858653575181961,0.06753679364919662,0.0314670130610466,0.9806857705116272,0.8644960522651672
final,0,val,structure,0.0836334228515625,0.08223848789930344,0.0439453125,0.9821506142616272,0.7565681338310242
final,0,test,full,0.07136391149833798,0.06567358039319515,0.2316354170179693,0.957251250743866,0.8344274088740349
final,0,test,crop,0.08236898481845856,0.07966667413711548,0.0987955704331398,0.9156901240348816,0.9142277836799622
final,0,test,structure,0.09043139219284058,0.08720193058252335,0.1322157084941864,0.8914930820465088,0.8575609922409058
final,1,train,full,0.050677312244661155,0.04226364217698574,0.39735698282718657,0.9625626683235169,0.8073518443107605
final,1,train,crop,0.0819379755840549,0.07124507219864512,0.28999275686043613,0.9182926652566442,0.7879529963686781
final,1,train,structure,0.057882535025336836,0.047410557380402986,0.3044971061435546,0.9694905191097619,0.6232217323948752
final,1,val,full,0.08635829645209014,0.06840436428319663,0.20277711935341358,0.9519248940050602,0.8582225926220417
final,1,val,crop,0.07006464153528214,0.06890950351953506,0.02888997457921505,0.9813368320465088,0.8520342111587524
final,1,val,structure,0.08860138058662415,0.08706109970808029,0.0423177070915699,0.9799262285232544,0.7660053968429565
final,1,test,full,0.07139698707032949,0.06568043399602175,0.22641945273790043,0.9567442126572132,0.8233675137162209
final,1,test,crop,0.08439884334802628,0.081642746925354,0.1027018204331398,0.9132758378982544,0.9136723279953003
final,1,test,structure,0.09275321662425995,0.08941793441772461,0.13232421875,0.8859049677848816,0.8550696969032288
final,3,train,full,0.047453603018075226,0.03877719652839005,0.40496337585151193,0.9649620348215103,0.7877710241079331
final,3,train,crop,0.07852191349737486,0.06817220615328483,0.29548651401726705,0.9208604097366333,0.7677960100601304
final,3,train,structure,0.05373620190921257,0.043797040463618514,0.31039791111395043,0.9701703719373019,0.6096615029393502
final,3,val,full,0.09093658899655566,0.07195776060689241,0.20199314912315458,0.9466726817190647,0.8128445185720921
final,3,val,crop,0.07271022349596024,0.07128281146287918,0.0551215298473835,0.9805229902267456,0.842011570930481
final,3,val,structure,0.09016495943069458,0.08848749846220016,0.0621744804084301,0.9782986044883728,0.7764129638671875
final,3,test,full,0.07311255251988769,0.06724631297402084,0.2095152583788149,0.9580094255506992,0.8026713505387306
final,3,test,crop,0.090348981320858,0.08750780671834946,0.116102434694767,0.9136555790901184,0.902499794960022
final,3,test,structure,0.09771348536014557,0.09428643435239792,0.1667209267616272,0.88427734375,0.8494537472724915
final,5,train,full,0.05090682100504637,0.041650052908807994,0.34613624021410944,0.9646195727586746,0.7720775601267814
final,5,train,crop,0.08241864536309017,0.07188527778072178,0.25377754810846076,0.9191625444394238,0.7518385367573432
final,5,train,structure,0.05813386240306328,0.047918420548568354,0.2632810544433459,0.9688032202000888,0.59148240300282
final,5,val,full,0.10243868734687567,0.09302030852995813,0.16533280350267887,0.9122434500604868,0.7815506029874086
final,5,val,crop,0.07632996141910553,0.07482580095529556,0.0294053815305233,0.9799533486366272,0.827424168586731
final,5,val,structure,0.0882403776049614,0.08646688610315323,0.0412868931889534,0.9805229902267456,0.7842634916305542
final,5,test,full,0.07586245331913233,0.06952956574968994,0.18643951852573082,0.9584621042013168,0.7815326862037182
final,5,test,crop,0.09712379425764084,0.09421461820602417,0.110107421875,0.909532368183136,0.8879426121711731
final,5,test,structure,0.1055673137307167,0.10197165608406067,0.1586371511220932,0.8674587607383728,0.8301458358764648
