stage,k,split,scope,point_rel,depth_rel,depth_delta_1.01,boundary_f1
initial,0,train,full,0.0598281105235219,0.05035241882316768,0.3155754686892033,0.799968535900116
final,0,train,full,0.052725183544680476,0.04442902552429587,0.3868109165877104,0.8005988436937332
final,1,train,full,0.047672180272638795,0.03970886131748557,0.4421117780357599,0.8032469233870506
final,3,train,full,0.04520800509955734,0.037431043917313216,0.4442422440648079,0.7948782768845558
final,5,train,full,0.04805712084285915,0.040077965948730705,0.3712059812806547,0.7841246697306633
initial,0,train,crop,0.09048213739440127,0.07898599670251023,0.22574651954730726,0.7876548812074481
final,0,train,crop,0.08538843601731197,0.07473643396471469,0.2796048211320391,0.7796665629688299
final,1,train,crop,0.07874829596224821,0.06836213837465588,0.3471041077853374,0.7813816911207055
final,3,train,crop,0.07593685580101216,0.06571441746475,0.3486004497082728,0.7764793839657081
final,5,train,crop,0.07972206243858584,0.06915723658957572,0.2953457788757558,0.7711210889074037
initial,0,train,structure,0.06862061990881865,0.05723424025653106,0.23100598234648131,0.6125142346575575
final,0,train,structure,0.062340739411565496,0.051756549951673114,0.29063231585863625,0.6073361179738674
final,1,train,structure,0.05445395464534467,0.04431188817329283,0.3682750542120973,0.608991987440946
final,3,train,structure,0.05124292803822823,0.0415772246899751,0.35393619551411215,0.6096965507516321
final,5,train,structure,0.05528017736198205,0.04512418500797929,0.30904420254365456,0.6004908829927444
initial,0,val,full,0.08901209192117676,0.07071346754673868,0.21510937623679638,0.8566750511527061
final,0,val,full,0.08653977431822568,0.06673888675868511,0.1996227849740535,0.8550957553088665
final,1,val,full,0.0862872411380522,0.06690450123278424,0.19076572079211473,0.8524944446980953
final,3,val,full,0.08904973394237459,0.06960652983980253,0.17883693624753505,0.8400810807943344
final,5,val,full,0.09378162259235978,0.07368200086057186,0.17186005599796772,0.8189494870603085
initial,0,val,crop,0.07674074918031693,0.07548853754997253,0.08447265625,0.8538501858711243
final,0,val,crop,0.06728290021419525,0.06628545373678207,0.037353515625,0.8538358211517334
final,1,val,crop,0.06705289334058762,0.0659482404589653,0.0296766497194767,0.8492188453674316
final,3,val,crop,0.07221730798482895,0.07087375223636627,0.051025390625,0.8378044962882996
final,5,val,crop,0.0786171704530716,0.07715442776679993,0.0786675363779068,0.8249520659446716
initial,0,val,structure,0.09502572566270828,0.09340620785951614,0.0367838554084301,0.7524452805519104
final,0,val,structure,0.08108149468898773,0.07978402823209763,0.0464952252805233,0.7584583163261414
final,1,val,structure,0.0821564719080925,0.08075816929340363,0.03955078125,0.7713162302970886
final,3,val,structure,0.08746694028377533,0.08600497245788574,0.0332573801279068,0.7944186329841614
final,5,val,structure,0.09102743864059448,0.08939234167337418,0.0348849818110466,0.7905930280685425
initial,0,test,full,0.07319074589759111,0.06708174338564277,0.22704156814143062,0.8263390772044659
final,0,test,full,0.06858487625140697,0.06311582308262587,0.22454198624473065,0.8232436254620552
final,1,test,full,0.06822379701770842,0.06287280633114278,0.21788216526329052,0.8198419362306595
final,3,test,full,0.06893044814933091,0.06335141125600785,0.19570605612534564,0.8104375004768372
final,5,test,full,0.07085986412130296,0.06478625489398837,0.17722766181395855,0.7934826351702213
initial,0,test,crop,0.08620058000087738,0.08351409435272217,0.070068359375,0.9143094420433044
final,0,test,crop,0.08117280155420303,0.07850915938615799,0.1107855886220932,0.9078150987625122
final,1,test,crop,0.08315200358629227,0.0804915726184845,0.1012912318110466,0.909134566783905
final,3,test,crop,0.08603128045797348,0.08334730565547943,0.1067165806889534,0.9074109196662903
final,5,test,crop,0.09203051030635834,0.08924504369497299,0.0792100727558136,0.8997664451599121
initial,0,test,structure,0.09325913339853287,0.09003586322069168,0.1139865443110466,0.8501006960868835
final,0,test,structure,0.09067538380622864,0.0874801054596901,0.1553819477558136,0.8518447875976562
final,1,test,structure,0.09063271433115005,0.08744016289710999,0.1853841096162796,0.8530897498130798
final,3,test,structure,0.0933237373828888,0.09002532064914703,0.183865025639534,0.856654703617096
final,5,test,structure,0.09919365495443344,0.0957360789179802,0.1256510466337204,0.8481099605560303
