step,stage,loss,grad_norm,lr_ssr,lr_heads,lr_backbone,base/k1/edge,base/k1/global,base/k1/local,refined/k1/edge,refined/k1/global,refined/k1/local,refined/k2/edge,refined/k2/global,refined/k2/local,refined/k3/edge,refined/k3/global,refined/k3/local,ssr_max_abs_log_depth_residual,ssr_max_depth_span
1,detached_warmup,0.2241385644301772,0.35899612307548523,2e-05,1e-06,0.0,0.0005816541888634674,0.026640994590707123,0.026344797341153026,0.0005816541888634674,0.026640994590707123,0.027977229678072035,0.0005816541888634674,0.026640994590707123,0.03040230425540358,0.0005816541888634674,0.026640994590707123,0.030523639055900276,0.0,709.0
2,detached_warmup,0.2560637313872576,0.6121200919151306,2e-05,1e-06,0.0,0.0005439276101242285,0.04342684370931238,0.01914729585405439,0.0005446492796181701,0.043425502750324085,0.017751817649696022,0.0005466023503686301,0.04342418917804025,0.021012805722421035,0.0005494602446560748,0.04342295802780427,0.022267678810749203,0.0007549948641099036,600.0
3,detached_warmup,0.20112827140837908,0.34990501403808594,2e-05,1e-06,0.0,0.0005623919496429153,0.02737546182470396,0.022104341886006296,0.0005632325737678912,0.027372404874768108,0.024306112085469067,0.000565525988349691,0.027369570219889283,0.02328364725690335,0.0005688440505764447,0.02736673306208104,0.01969000493409112,0.0005225586355663836,903.0
4,detached_warmup,0.2098785424605012,1.0234427452087402,2e-05,1e-06,0.0,0.0005624689474643674,0.03024167602416128,0.02263219910673797,0.0005635632551275194,0.030246136942878366,0.02075287397019565,0.00056639899048605,0.030250641284510493,0.021434027119539678,0.0005705382245650981,0.030255633406341076,0.021802385221235454,0.0006962766055949032,634.0
5,detached_warmup,0.18453503772616386,0.588043749332428,2e-05,1e-06,0.0,0.0005505420595000032,0.02424133848398924,0.021835441060829908,0.0005516577584785409,0.024240675731562078,0.019272750156233087,0.0005544274499698076,0.024240177124738693,0.021645241824444383,0.0005583035781455692,0.024239769554696977,0.02260471021872945,0.0007999880472198129,701.0
6,detached_warmup,0.19752400275319815,0.678308367729187,2e-05,1e-06,0.0,0.0005258083874650765,0.026328539475798607,0.02009955409448594,0.0005268528002488893,0.026325970131438226,0.02377098484430462,0.000529260010807775,0.02632362354779616,0.02276323758997023,0.0005324738995113876,0.026321309502236545,0.02347638685023412,0.0007749622454866767,565.0
7,detached_warmup,0.2732572425156832,0.8381419777870178,2e-05,1e-06,0.0,0.0007223886532301549,0.03204381471732631,0.04180303690372966,0.0007234487420646474,0.032039532670751214,0.029064698872389272,0.0007259679769049399,0.032035427109804004,0.031423804932273924,0.0007292704976862296,0.0320314850541763,0.039914370368933305,0.0012102015316486359,789.0
8,detached_warmup,0.158733069896698,0.8868589997291565,2e-05,1e-06,0.0,0.000576304901187541,0.021252462407574058,0.018397145555354655,0.0005785993780591525,0.021239501307718456,0.01779555290704593,0.000582975731958868,0.02122658456210047,0.017785184958484024,0.0005882021905563306,0.02121369622182101,0.017496855463832617,0.0011962502030655742,743.0
9,detached_warmup,0.3140594472642988,0.6434307098388672,2e-05,1e-06,0.0,0.000636617047348409,0.03827608303981833,0.03135576282511465,0.0006393339172063861,0.03826483810553327,0.05447044729953632,0.0006445072322094347,0.038254303159192204,0.04008956620236859,0.0006504892080556601,0.03824392409296706,0.03253357941866852,0.001397081883624196,490.0
10,detached_warmup,0.2134970696642995,0.7907389402389526,2e-05,1e-06,0.0,0.000580492996959947,0.028699186979793012,0.022094557178206742,0.0005840414632984903,0.028673667460680008,0.024697316344827414,0.0005902405537199229,0.028648696141317487,0.025052249373402447,0.0005970935235382058,0.028624437982216477,0.024655085580889136,0.001576259732246399,452.0
11,detached_warmup,0.18151376862078905,0.6471120119094849,2e-05,1e-06,0.0,0.0005471903568832204,0.02608816500287503,0.020675061270594597,0.0005536721837415826,0.026078496302943677,0.016972334153251722,0.0005636669120576698,0.026069324696436524,0.02067686087684706,0.0005736303246521857,0.026060870965011418,0.01665449538268149,0.0017313775606453419,495.0
12,detached_warmup,0.12168448651209474,0.8305473923683167,2e-05,1e-06,0.0,0.000494647854793584,0.01476458739489317,0.015133819135371596,0.000500011483381968,0.014777266536839306,0.01617779996013269,0.0005090079284855165,0.014790770830586553,0.01437178993364796,0.0005184955080039799,0.01480502390768379,0.014841267140582204,0.0018742845859378576,457.0
13,detached_warmup,0.1117161673028022,0.5464679598808289,2e-05,1e-06,0.0,0.0004666095810534898,0.013620496785733849,0.013754145620623603,0.00047381807235069573,0.013608992710942402,0.013867832807591185,0.00048468650493305176,0.013599223806522787,0.014105061709415168,0.0004950613147229888,0.013590527989435941,0.013649712142068893,0.0017613591626286507,691.0
14,detached_warmup,0.177714123390615,0.48316285014152527,2e-05,1e-06,0.0,0.0005617920978693292,0.02608725056052208,0.01742212742101401,0.0005659538874169812,0.0260868031764403,0.017018559738062322,0.0005728123942390084,0.026086841127835214,0.01742874039337039,0.0005799704231321812,0.026087345788255334,0.019215923501178622,0.0023849159479141235,578.0
15,detached_warmup,0.15184035478159785,0.6357383728027344,2e-05,1e-06,0.0,0.0006292844846029766,0.01910245220642537,0.01700530160451308,0.0006343758650473319,0.019076654221862555,0.019132595043629408,0.000641674967482686,0.01905131945386529,0.017111536057200283,0.0006486184029199649,0.019026533351279795,0.01978000672534108,0.0016518081538379192,501.0
16,detached_warmup,0.1858748449012637,0.48427316546440125,2e-05,1e-06,0.0,0.0005820442929689307,0.025826424243859947,0.019903971813619137,0.0005865055900358129,0.025816679117269814,0.021367835579439998,0.0005931912855885457,0.025807623518630862,0.018924690084531903,0.0005997037769702729,0.02579912089277059,0.02006705233361572,0.0018057359848171473,735.0
17,detached_warmup,0.18692277581430972,0.4577729105949402,2e-05,1e-06,0.0,0.0005441339599201456,0.025451179913943633,0.02153467875905335,0.0005485898618644569,0.025451051944401115,0.018828662927262485,0.0005545748099393677,0.02545202840701677,0.02067233037087135,0.0005605309488601051,0.025453798851231113,0.021871212346013635,0.0021051422227174044,576.0
18,detached_warmup,0.1328152238857001,0.6945605278015137,2e-05,1e-06,0.0,0.0004694001836469397,0.016307195968693122,0.015972127206623554,0.000474418826343026,0.016317397385137156,0.01672513983794488,0.00048132775555131957,0.016328095691278577,0.017175248969579116,0.0004881160566583276,0.016339103662176058,0.015737650595838204,0.001501861377619207,487.0
19,detached_warmup,0.3092698957771063,0.47584328055381775,2e-05,1e-06,0.0,0.0007698464251006953,0.03918567195069045,0.046030146069824696,0.0007724262904957868,0.03917927446309477,0.03213470766786486,0.0007761178530927282,0.039173660217784345,0.030421421630308032,0.0007800247949489858,0.039167906157672405,0.040878700267057866,0.0023111137561500072,882.0
20,detached_warmup,0.1821342594921589,0.7634176015853882,2e-05,1e-06,0.0,0.0005491495794558432,0.02293933497276157,0.023437056777765974,0.0005516090241144411,0.022952996951062232,0.023388172674458474,0.0005554703711823095,0.02296698885038495,0.01907463333918713,0.0005593225032498594,0.02298128214897588,0.022178243729285896,0.001495719887316227,690.0
21,detached_warmup,0.24756291136145592,0.6254183650016785,2e-05,1e-06,0.0,0.000716783179086633,0.03021818248089403,0.031549013569019735,0.0007185695722000673,0.03022956696804613,0.032499324646778405,0.0007210875555756502,0.03024202713277191,0.030790090677328408,0.0007235392404254526,0.030252822558395565,0.02890190004836768,0.0014706077054142952,805.0
