id,split,scene,frame,k0_point_rel,k0_depth_rel,k0_depth_delta_1.01,k0_depth_delta_1.25,k0_boundary_f1,k1_point_rel,k1_depth_rel,k1_depth_delta_1.01,k1_depth_delta_1.25,k1_boundary_f1,k3_point_rel,k3_depth_rel,k3_depth_delta_1.01,k3_depth_delta_1.25,k3_boundary_f1,k5_point_rel,k5_depth_rel,k5_depth_delta_1.01,k5_depth_delta_1.25,k5_boundary_f1
ai_001_001_cam_00_frame.0000,train,ai_001_001,0,0.024212375283241272,0.021272927522659302,0.3365325927734375,0.9947662353515625,0.6272180676460266,0.022667139768600464,0.01980474218726158,0.3697052001953125,0.9945628046989441,0.641082763671875,0.02225813828408718,0.01945202425122261,0.3851216733455658,0.9928690791130066,0.6623162031173706,0.024835994467139244,0.02195299230515957,0.3194580078125,0.991973876953125,0.6579421758651733
ai_001_001_cam_00_frame.0006,train,ai_001_001,6,0.03840501606464386,0.029440639540553093,0.203155517578125,0.99969482421875,0.7919831275939941,0.03518111631274223,0.027104541659355164,0.222869873046875,0.9997050166130066,0.8037630915641785,0.031045373529195786,0.024982720613479614,0.2428131103515625,0.99969482421875,0.8183868527412415,0.029324527829885483,0.024785824120044708,0.244354248046875,0.9996744990348816,0.7568657398223877
ai_001_001_cam_00_frame.0013,train,ai_001_001,13,0.023816203698515892,0.01659546047449112,0.4309794306755066,0.998748779296875,0.8371670246124268,0.02170511707663536,0.01531222090125084,0.47906494140625,0.9987437129020691,0.854494571685791,0.020191803574562073,0.015572888776659966,0.4692789912223816,0.9987691640853882,0.8605064153671265,0.021887755021452904,0.018318507820367813,0.3749288022518158,0.9987691640853882,0.8490899205207825
ai_001_001_cam_00_frame.0019,train,ai_001_001,19,0.02581070177257061,0.023244649171829224,0.21722412109375,0.9996337890625,0.7800010442733765,0.025408390909433365,0.022988049313426018,0.2178090512752533,0.9996287226676941,0.838679850101471,0.026971008628606796,0.02460516057908535,0.2062174528837204,0.9995829463005066,0.875765860080719,0.030012764036655426,0.027425875887274742,0.191253662109375,0.9995574951171875,0.8869994282722473
ai_001_001_cam_00_frame.0026,train,ai_001_001,26,0.025046251714229584,0.02275795489549637,0.2615000605583191,0.9998067617416382,0.7468499541282654,0.02464601770043373,0.02244989201426506,0.2652944028377533,0.9998576045036316,0.7547500133514404,0.026719525456428528,0.02454611286520958,0.2448832243680954,0.9998525381088257,0.7618491649627686,0.031000366434454918,0.028620077297091484,0.2336018979549408,0.9998016357421875,0.7558889389038086
ai_001_001_cam_00_frame.0032,train,ai_001_001,32,0.06282618641853333,0.04316404461860657,0.2040151059627533,0.9927164912223816,0.851141095161438,0.06176595017313957,0.042197685688734055,0.2181905210018158,0.9925435781478882,0.8507652282714844,0.06115613877773285,0.04178334400057793,0.2275238037109375,0.9921468496322632,0.84114009141922,0.06175680086016655,0.04246033355593681,0.2227223813533783,0.9903717041015625,0.8318333029747009
ai_001_001_cam_00_frame.0040,train,ai_001_001,40,0.10071156919002533,0.03164473921060562,0.1995137631893158,0.9980570673942566,0.7313594222068787,0.09739820659160614,0.030944570899009705,0.2160746306180954,0.9980672597885132,0.7424114346504211,0.09165855497121811,0.030070360749959946,0.2320912778377533,0.9981130361557007,0.7785458564758301,0.08661948889493942,0.03014950454235077,0.2277577817440033,0.9981536865234375,0.8036990761756897
ai_001_001_cam_00_frame.0046,train,ai_001_001,46,0.040600672364234924,0.026783322915434837,0.2869873046875,0.9981181025505066,0.7687958478927612,0.03818591684103012,0.02519109658896923,0.3111318051815033,0.9981435537338257,0.777528703212738,0.035610832273960114,0.024525538086891174,0.3244679868221283,0.9981588125228882,0.7755727767944336,0.034707143902778625,0.025546414777636528,0.29925537109375,0.9981486201286316,0.748877763748169
ai_001_001_cam_00_frame.0053,train,ai_001_001,53,0.0217305775731802,0.019284402951598167,0.3489329218864441,0.9993438720703125,0.7974750995635986,0.019490670412778854,0.01726258546113968,0.3934682309627533,0.999359130859375,0.8342508673667908,0.018369413912296295,0.01631232164800167,0.4463297724723816,0.9993896484375,0.8792055249214172,0.02150190994143486,0.01940547302365303,0.3771209716796875,0.9993998408317566,0.8564202785491943
ai_001_001_cam_00_frame.0059,train,ai_001_001,59,0.029347194358706474,0.025501130148768425,0.2260843962430954,0.999847412109375,0.7389721870422363,0.02728739008307457,0.02361915074288845,0.24017333984375,0.999847412109375,0.7518638372421265,0.02516038715839386,0.021824082359671593,0.2463938444852829,0.999847412109375,0.7651826739311218,0.024875354021787643,0.021824926137924194,0.2783203125,0.9998423457145691,0.7645940780639648
ai_001_001_cam_00_frame.0067,train,ai_001_001,67,0.029170934110879898,0.024248681962490082,0.2466278076171875,0.9999949336051941,0.7044923305511475,0.027508659288287163,0.02297142893075943,0.2562917172908783,0.9999949336051941,0.7627454400062561,0.026348643004894257,0.022563284263014793,0.3107401728630066,0.9999949336051941,0.8478633761405945,0.02861824631690979,0.02519945427775383,0.2826589047908783,0.9999949336051941,0.8348900079727173
ai_001_001_cam_00_frame.0073,train,ai_001_001,73,0.03357486426830292,0.028669103980064392,0.1501210629940033,0.999603271484375,0.8384751081466675,0.03065783903002739,0.026630692183971405,0.1392720639705658,0.9995676875114441,0.8497238159179688,0.02754630148410797,0.024222858250141144,0.1715291440486908,0.9995626211166382,0.8430095314979553,0.027443598955869675,0.02443406544625759,0.24273681640625,0.9995524287223816,0.7801376581192017
ai_001_001_cam_00_frame.0080,train,ai_001_001,80,0.019171956926584244,0.016957536339759827,0.386383056640625,0.9991557002067566,0.781193733215332,0.018031064420938492,0.015842493623495102,0.425872802734375,0.9991506338119507,0.8436211347579956,0.019772671163082123,0.017487410455942154,0.4131520688533783,0.9991811513900757,0.8612033128738403,0.024249112233519554,0.021736621856689453,0.3022359311580658,0.9992421865463257,0.8489320278167725
ai_001_001_cam_00_frame.0086,train,ai_001_001,86,0.021518904715776443,0.01959887519478798,0.3249969482421875,0.9995269775390625,0.7192374467849731,0.020385442301630974,0.01865517720580101,0.3294270932674408,0.9994354248046875,0.7440516352653503,0.02075810730457306,0.019085941836237907,0.296051025390625,0.9993693232536316,0.7554585337638855,0.022999033331871033,0.021155819296836853,0.2698720395565033,0.9993032217025757,0.7492520213127136
ai_001_001_cam_00_frame.0093,train,ai_001_001,93,0.02299806848168373,0.020865704864263535,0.2988840937614441,0.999969482421875,0.7176935076713562,0.02046508714556694,0.018540652468800545,0.3445180356502533,0.9999746084213257,0.7473338842391968,0.019179068505764008,0.017303472384810448,0.3733012080192566,0.9999542236328125,0.7790778279304504,0.02196643315255642,0.019878536462783813,0.3257243037223816,0.9999542236328125,0.7761836051940918
ai_001_001_cam_00_frame.0099,train,ai_001_001,99,0.03837144747376442,0.02930324897170067,0.250244140625,0.992340087890625,0.8374207019805908,0.03595826402306557,0.027131786569952965,0.2831268310546875,0.9926096796989441,0.8504443168640137,0.032699935138225555,0.024697478860616684,0.3858286738395691,0.9939779043197632,0.8587729930877686,0.03168736770749092,0.024659238755702972,0.3634389340877533,0.9948883056640625,0.8548167943954468
ai_003_001_cam_00_frame.0000,train,ai_003_001,0,1.0820770263671875,1.0,0.0,0.0,1.0,1.0820770263671875,1.0,0.0,0.0,1.0,1.0820770263671875,1.0,0.0,0.0,1.0,1.0820770263671875,1.0,0.0,0.0,1.0
ai_003_001_cam_00_frame.0007,train,ai_003_001,7,1.0820770263671875,1.0,0.0,0.0,0.0,1.0820770263671875,1.0,0.0,0.0,0.0,1.0820770263671875,1.0,0.0,0.0,0.0,1.0820770263671875,1.0,0.0,0.0,0.0
