step,train/k0_point_rel,train/k0_depth_rel,train/k0_depth_delta_1.01,train/k0_depth_delta_1.25,train/k0_boundary_f1,train/k3_point_rel,train/k3_depth_rel,train/k3_depth_delta_1.01,train/k3_depth_delta_1.25,train/k3_boundary_f1,val/k0_point_rel,val/k0_depth_rel,val/k0_depth_delta_1.01,val/k0_depth_delta_1.25,val/k0_boundary_f1,val/k3_point_rel,val/k3_depth_rel,val/k3_depth_delta_1.01,val/k3_depth_delta_1.25,val/k3_boundary_f1
0,0.06090342369861901,0.05411726098100189,0.34023498857277445,0.942622453905642,0.8085876451805234,0.06090342369861901,0.05411726098100189,0.34023498857277445,0.942622453905642,0.8085876451805234,0.06414470527670346,0.05565687808848452,0.3344591731438413,0.945982662960887,0.8234827499836683,0.06414470527670346,0.05565687808848452,0.3344591731438413,0.945982662960887,0.8234827499836683
250,0.0500361920639989,0.044825078854046296,0.4213369402277749,0.9528529362287372,0.8132187239825726,0.05004514164465945,0.04483196960063651,0.42121909679553937,0.9528454267419875,0.8132663294672966,0.0626841493503889,0.05460550454154145,0.2990232944721356,0.9543163077905774,0.8233598126098514,0.06269239947141614,0.054610018283710815,0.298545905505307,0.9542836509644985,0.8233707761391997
500,0.0490560429461766,0.0428148201899603,0.45605892641469836,0.9561753305606544,0.8122891206294298,0.04905677301576361,0.04281459643243579,0.45585917941934895,0.9561751000583172,0.8123001269996166,0.06425772598595358,0.055633497759117745,0.291940949333366,0.9554080590605736,0.8168631810694933,0.06426859478233382,0.055644260748522356,0.2919302180525847,0.9553946191444993,0.8169213812798262
750,0.045923954428872094,0.04044199064082932,0.5041875222814269,0.9551454368047416,0.8181101744994521,0.04593092306458857,0.040448783307510894,0.5038660947466269,0.95513856690377,0.8182655954733491,0.0658716283069225,0.056475594275980256,0.2933276215335354,0.9573638718575239,0.8206626009196043,0.06588248342450242,0.05648582463618368,0.29362195095745847,0.9573361687362194,0.8208536887541413
1000,0.04433320403768448,0.03946941177127883,0.553931692178594,0.9539371309801936,0.8263073982670903,0.04433566379157128,0.039482166328525636,0.5528989012527745,0.9539437755011022,0.8264964027330279,0.06614570131932851,0.056373283310676925,0.3131477010319941,0.9564130809158087,0.8295962437987328,0.06614274880848825,0.05637415657110978,0.31283403135603294,0.956372456625104,0.8296886561438441
1250,0.04317497878219001,0.03740660574112553,0.5650031253608176,0.9580437396652997,0.8301362199708819,0.04317041936155874,0.03740472095523728,0.565470210800413,0.9580449047498405,0.8302287301048636,0.0670228176022647,0.05719750862044748,0.2937751895515248,0.9570456212386489,0.8294326085597277,0.06703009380726144,0.0571949333534576,0.293422085349448,0.9570205854251981,0.829476322978735
1500,0.043723588743887376,0.03747158242185833,0.5243233212677296,0.9576822752133012,0.8173416592180729,0.04376602936099516,0.037496371383895166,0.5246239022671944,0.9576454693451524,0.8177863359451294,0.06962661078432575,0.05937693150190171,0.2846628336701542,0.9536161599680781,0.8184554139152169,0.06956687819911167,0.05930048773007002,0.2865317252581008,0.9535996615886688,0.8186726402491331
1750,0.04298528975050431,0.03777572777471505,0.5670713595463894,0.9548624535091221,0.8341506253927946,0.04294462278630817,0.03774767366849119,0.5688369429844897,0.9548552711494267,0.8340636603534222,0.07125088028260507,0.06084843674034346,0.2624535456416197,0.953035038895905,0.8308513425290585,0.0711593751620967,0.06074311429983936,0.26692576601635665,0.9530534250661731,0.8305810177698731
2000,0.04329669094295241,0.03799302507832181,0.5414395208354108,0.9557807389646769,0.8289641849696636,0.04332681588130072,0.03800958111969521,0.5415819328045473,0.9557771589607,0.8281433321535587,0.07273941620951518,0.0616976048622746,0.24864135548705235,0.9524184372276068,0.8268700251355767,0.07260794790636282,0.06154252109990921,0.25571682990994304,0.9523964701220393,0.8250418091192842
2250,0.046143817467964254,0.03781493545102421,0.44248641141166445,0.9608414387330413,0.8211540905758739,0.12460670467407908,0.11322732669941615,0.4458342739198997,0.9505383217474446,0.8107644720003009,0.07918734624399804,0.06820592892472632,0.1940261404379271,0.9415025925263762,0.8093324871733785,0.07874192707822658,0.06776314994203858,0.20162444628658704,0.9414776228368282,0.809578045271337
2500,0.10730596983921714,0.09652121480030473,0.22995933995116502,0.9220162704586983,0.7335556880570948,0.10575105450698175,0.09524857715587132,0.251484077074565,0.9213426923379302,0.734353007748723,0.09677848048158921,0.08362066466361284,0.13300493243150413,0.9096110071986914,0.7116849860176444,0.09522506140638143,0.08232938387664035,0.1409749831946101,0.9117610333487391,0.709743604529649
