step,stage,loss,grad_norm,lr_ssr,lr_heads,lr_backbone,base/k1/global,base/k1/local,base/k1/edge,refined/k1/global,refined/k1/local,refined/k1/edge,refined/k2/global,refined/k2/local,refined/k2/edge,refined/k3/global,refined/k3/local,refined/k3/edge
1,detached_warmup,1.1551441550254822,0.5884918570518494,2e-05,1e-05,0.0,0.1954755261540413,0.0852296706289053,0.0015519242151640356,0.1954755261540413,0.11910482868552208,0.0015519242151640356,0.1954755261540413,0.041459012776613235,0.0015519242151640356,0.1954755261540413,0.12124082818627357,0.0015519242151640356
2,detached_warmup,0.2186175286769867,0.7666897773742676,2e-05,1e-05,0.0,0.027329848147928715,0.026815063320100307,0.0007374308188445866,0.027330408804118633,0.026059250347316265,0.0007380270399153233,0.027331222780048847,0.025989389047026634,0.0007394809508696198,0.02733196411281824,0.02747383527457714,0.0007416246808134019
3,detached_warmup,0.09907335415482521,0.6746657490730286,2e-05,1e-05,0.0,0.013111970853060484,0.010589784476906061,0.0004954484757035971,0.013114058878272772,0.010238968767225742,0.0004965847183484584,0.013116172049194574,0.012758143711835146,0.000499646776006557,0.013118263334035873,0.011030321940779686,0.0005039878014940768
4,detached_warmup,0.06264272704720497,1.0663310289382935,2e-05,1e-05,0.0,0.010094464523717761,0.005104779498651624,0.00026874002651311457,0.010092759970575571,0.005040497286245227,0.00026968699239660054,0.010091064963489771,0.005701667629182339,0.00027184601640328765,0.01008949289098382,0.005342810647562146,0.0002749180712271482
5,detached_warmup,0.11918867379426956,1.5155398845672607,2e-05,1e-05,0.0,0.015272814314812422,0.01433752803131938,0.0005150819779373705,0.015278073959052563,0.01434831228107214,0.0005155857361387461,0.01528336014598608,0.013469302095472813,0.0005170141521375626,0.015288779977709055,0.013843759428709745,0.0005190568335819989
6,detached_warmup,0.5980641320347786,0.5701721906661987,2e-05,1e-05,0.0,0.10429218597710133,0.023648343980312347,0.0009983977652154863,0.10429349215701222,0.023962619714438915,0.0009992279956350103,0.10429472150281072,0.06489795492962003,0.0010013903665822,0.10429636994376779,0.06437541032209992,0.0010039990302175283
7,detached_warmup,0.21718818694353104,1.9949253797531128,2e-05,1e-05,0.0,0.03016268601641059,0.02427189191803336,0.0005657545989379287,0.030161022674292326,0.02423831634223461,0.0005666788201779127,0.03015935467556119,0.024146548938006163,0.0005689034587703645,0.03015773743391037,0.021617358084768057,0.0005719417240470648
8,detached_warmup,0.07380906119942665,0.8300352096557617,2e-05,1e-05,0.0,0.009570915950462222,0.008677489822730422,0.00038904052053112537,0.009572998620569706,0.008063665358349681,0.00039050022314768285,0.009575129253789783,0.007856222800910473,0.0003933297994080931,0.009577283635735512,0.009345328900963068,0.0003971578844357282
9,detached_warmup,0.0862029679119587,1.1966310739517212,2e-05,1e-05,0.0,0.014677478233352304,0.005967566976323724,0.000375718402210623,0.014678982552140951,0.0061777918599545956,0.0003772395139094442,0.014680486172437668,0.006855040322989225,0.00038071206654421985,0.014682069420814514,0.006964629050344229,0.00038525351556017995
10,detached_warmup,0.13960566371679306,0.9010735750198364,2e-05,1e-05,0.0,0.019875138998031616,0.011111664585769176,0.00040947034722194076,0.019878067076206207,0.010422561317682266,0.0004103524552192539,0.0198810501024127,0.018924729898571968,0.00041239916754420847,0.019884091801941395,0.01798101421445608,0.00041511483141221106
11,detached_warmup,0.1423165127635002,1.6564295291900635,2e-05,1e-05,0.0,0.026144550181925297,0.010961044346913695,0.00032429745624540374,0.026142196729779243,0.010668494272977114,0.0003250735026085749,0.02613980695605278,0.007118597161024809,0.0003268488944740966,0.02613735292106867,0.007698819739744067,0.0003294341004220769
12,detached_warmup,0.13238102942705154,0.7566977143287659,2e-05,1e-05,0.0,0.018673609476536512,0.01405314588919282,0.0005049088504165411,0.018674958031624556,0.013677268754690886,0.000505497504491359,0.018676287960261106,0.013880006037652493,0.0005066842131782323,0.01867771754041314,0.014042592607438564,0.0005083573632873595
13,detached_warmup,0.0918593667447567,0.8408387899398804,2e-05,1e-05,0.0,0.01278537418693304,0.009974522981792688,0.000414059279137291,0.012790055014193058,0.010541650466620922,0.000414818903664127,0.012794794980436563,0.009455152554437518,0.0004165485588600859,0.012799554970115423,0.00905403564684093,0.00041880030767060816
14,detached_warmup,0.10479963012039661,0.7763663530349731,2e-05,1e-05,0.0,0.01142591517418623,0.014452831936068833,0.0005543262232095003,0.0114303941372782,0.014133461634628475,0.0005551950016524643,0.011434898478910327,0.01424322254024446,0.0005570182256633416,0.011439541121944785,0.014013471081852913,0.0005593628156930208
15,detached_warmup,0.12777185812592506,1.2091189622879028,2e-05,1e-05,0.0,0.01478001638315618,0.017304520239122212,0.00034345503081567585,0.014781094389036298,0.01641216385178268,0.000345043939887546,0.014782255049794912,0.01659710635431111,0.00034799032437149435,0.01478346437215805,0.016943863593041897,0.0003508817171677947
16,detached_warmup,0.09790159109979868,1.0663684606552124,2e-05,1e-05,0.0,0.012618518085218966,0.011012711212970316,0.0004959993239026517,0.012621318688616157,0.011762270121835172,0.000496955806738697,0.01262415002565831,0.011293364106677473,0.0004986111453035846,0.012626968557015061,0.011350262444466352,0.0005004518025089055
17,detached_warmup,0.07701875641942024,0.6456772089004517,2e-05,1e-05,0.0,0.009561332408338785,0.009388281032443047,0.00037881257594563067,0.00956300925463438,0.009449231438338757,0.0003797245881287381,0.009564765729010105,0.009210026822984219,0.00038151895569171757,0.00956647889688611,0.009191728662699461,0.00038385033258236945
18,detached_warmup,0.13226672261953354,1.3419779539108276,2e-05,1e-05,0.0,0.018480482045561075,0.013417831156402826,0.00045426611904986203,0.018484906759113073,0.014659708365797997,0.0004550491430563852,0.018489377573132515,0.01430104486644268,0.00045646987564396113,0.018493758980184793,0.014115684200078249,0.0004581471439450979
19,detached_warmup,0.17135187610983849,0.9682018160820007,2e-05,1e-05,0.0,0.021417240146547556,0.02110796794295311,0.0006754949863534421,0.021415468771010637,0.020452700089663267,0.0006760249088983983,0.02141357259824872,0.020587217528373003,0.0006769942701794207,0.02141175465658307,0.020839177072048187,0.0006782668933738023
20,detached_warmup,0.09937334433197975,0.5934081077575684,2e-05,1e-05,0.0,0.012685433030128479,0.011981068179011345,0.000468033947981894,0.012684355489909649,0.011403877288103104,0.00046907245996408165,0.012683216016739607,0.01175197446718812,0.0004711368674179539,0.012682119384407997,0.011619463562965393,0.00047359251766465604
