id,split,scene,frame,k0_point_rel,k0_depth_rel,k0_depth_delta_1.01,k0_depth_delta_1.25,k0_boundary_f1,k1_point_rel,k1_depth_rel,k1_depth_delta_1.01,k1_depth_delta_1.25,k1_boundary_f1,k3_point_rel,k3_depth_rel,k3_depth_delta_1.01,k3_depth_delta_1.25,k3_boundary_f1,k5_point_rel,k5_depth_rel,k5_depth_delta_1.01,k5_depth_delta_1.25,k5_boundary_f1
ai_019_007_cam_00_frame.0000,train,ai_019_007,0,0.1782035529613495,0.16605591773986816,0.01732381246984005,0.766754150390625,0.8290154337882996,0.11469288170337677,0.08845197409391403,0.071807861328125,0.9093170166015625,0.9254071116447449,0.10752163827419281,0.07669126987457275,0.1097564697265625,0.9195455312728882,0.8395533561706543,0.10770007967948914,0.07203380763530731,0.1879119873046875,0.9208323359489441,0.7754557728767395
ai_024_008_cam_00_frame.0099,train,ai_024_008,99,0.1223091334104538,0.11654289811849594,0.0541229248046875,0.8710073232650757,0.7697357535362244,0.08866043388843536,0.08000074326992035,0.0851847380399704,0.9177755117416382,0.8423272371292114,0.0824994295835495,0.0719904750585556,0.095245361328125,0.9263102412223816,0.8557931184768677,0.08142609894275665,0.06843879073858261,0.1221415251493454,0.9273427724838257,0.8383640050888062
ai_019_004_cam_00_frame.0000,train,ai_019_004,0,0.09134417772293091,0.08463296294212341,0.1260528564453125,0.9296875,0.9144802093505859,0.04822399467229843,0.044546376913785934,0.2494303435087204,0.9662069082260132,0.9179454445838928,0.043516241014003754,0.039025694131851196,0.3743693232536316,0.96929931640625,0.8983134031295776,0.045077525079250336,0.03967873007059097,0.3953043818473816,0.96734619140625,0.8778919577598572
ai_019_004_cam_00_frame.0099,train,ai_019_004,99,0.08773259818553925,0.0801716074347496,0.2479248046875,0.9224650263786316,0.850685179233551,0.05562790855765343,0.049191780388355255,0.4754689633846283,0.9523061513900757,0.8561948537826538,0.054307349026203156,0.04676667973399162,0.558624267578125,0.95648193359375,0.832635760307312,0.06054995581507683,0.05220572277903557,0.4659627377986908,0.9524688720703125,0.8188420534133911
ai_052_008_cam_01_frame.0099,train,ai_052_008,99,0.04146933555603027,0.036163341253995895,0.16907012462615967,0.980958878993988,0.868050217628479,0.02434789389371872,0.015312394127249718,0.6311100125312805,0.9909577369689941,0.9050331711769104,0.025043755769729614,0.014659164473414421,0.7239698171615601,0.9912019968032837,0.8866734504699707,0.030548200011253357,0.020564163103699684,0.5186492800712585,0.9897670149803162,0.8770026564598083
ai_026_013_cam_00_frame.0000,train,ai_026_013,0,0.08513408154249191,0.06377902626991272,0.0892333984375,0.9706319570541382,0.8502807021141052,0.06042131036520004,0.026130951941013336,0.3366190791130066,0.9953867793083191,0.8891952037811279,0.058578938245773315,0.020455343648791313,0.455291748046875,0.99578857421875,0.8917076587677002,0.061793502420186996,0.023501619696617126,0.4308675229549408,0.9945017695426941,0.8842013478279114
ai_055_006_cam_00_frame.0000,train,ai_055_006,0,0.06566571444272995,0.05740097910165787,0.1463674008846283,0.954986572265625,0.8099838495254517,0.03694334253668785,0.03320349007844925,0.3415120542049408,0.9726715087890625,0.877332329750061,0.03312046453356743,0.030440140515565872,0.4423675537109375,0.9739736318588257,0.8574311137199402,0.03450379520654678,0.031845007091760635,0.4375407099723816,0.9721629023551941,0.8350041508674622
ai_054_008_cam_00_frame.0000,train,ai_054_008,0,0.08211592584848404,0.07725948095321655,0.26045817136764526,0.8849310278892517,0.47744497656822205,0.03709711134433746,0.03424971550703049,0.35593101382255554,0.9774125218391418,0.6652868986129761,0.03404977172613144,0.03080824576318264,0.35104212164878845,0.9803071618080139,0.61440110206604,0.036793556064367294,0.03299587219953537,0.2988009452819824,0.9816705584526062,0.5809467434883118
ai_044_009_cam_00_frame.0000,train,ai_044_009,0,0.13024839758872986,0.11989133805036545,0.2576701045036316,0.8556162714958191,0.3591594696044922,0.11029845476150513,0.10127989947795868,0.3317616879940033,0.8570607900619507,0.4280506670475006,0.11144725978374481,0.10157318413257599,0.3190460205078125,0.8565673828125,0.39532625675201416,0.11680241674184799,0.10562311112880707,0.2907257080078125,0.8559824824333191,0.38082900643348694
ai_052_010_cam_00_frame.0000,train,ai_052_010,0,0.04993278533220291,0.04415431618690491,0.19696044921875,0.9786631464958191,0.8333660960197449,0.023306675255298615,0.020948346704244614,0.3894195556640625,0.9911041259765625,0.8658566474914551,0.022329827770590782,0.01932850293815136,0.5093435049057007,0.9912821650505066,0.8439990878105164,0.026613568887114525,0.022313609719276428,0.4135284423828125,0.9903615713119507,0.814886748790741
