step,loss,grad_norm,k1/global,k1/local,k1/edge,k2/global,k2/local,k2/edge,k3/global,k3/local,k3/edge
1,0.24729015305638313,0.6289597749710083,0.04739970713853836,0.03400123491883278,0.000797702930867672,0.04739970713853836,0.03064778260886669,0.000797702930867672,0.04739970713853836,0.038048917427659035,0.000797702930867672
2,0.19658072292804718,0.702847421169281,0.030809960328042507,0.03507604822516441,0.0007539046055171639,0.03080433700233698,0.033288382925093174,0.0007546413980890065,0.0307987155392766,0.03353885654360056,0.0007558782526757568
3,0.08813963271677494,0.8651107549667358,0.014636029954999685,0.014351027086377144,0.000526797492057085,0.014636613428592682,0.013977138791233301,0.000530377757968381,0.014637290500104427,0.0143090789206326,0.0005352820589905605
4,0.18984191864728928,0.32506102323532104,0.0404200479388237,0.022862829267978668,0.0007582204125355929,0.04041275940835476,0.021721892058849335,0.0007619191310368478,0.04040501266717911,0.02173257526010275,0.0007666545861866325
5,0.15128495544195175,0.4970281720161438,0.027021201327443123,0.0189298577606678,0.0005660704337060452,0.027007644064724445,0.019030618481338024,0.0005708458484150469,0.02699433360248804,0.03058731649070978,0.0005770705756731331
6,0.19050738215446472,0.3098556101322174,0.0404143501073122,0.022747105918824673,0.0007593636109959334,0.040401391685009,0.021765735931694508,0.0007650296611245722,0.04038930498063564,0.02249319013208151,0.0007719193235971034
7,0.12821059301495552,0.5817739963531494,0.024372859857976437,0.017455889843404293,0.0006116808508522809,0.02435999596491456,0.017791723366826773,0.0006199312338139862,0.024347183294594288,0.018021987518295646,0.0006293489568633959
8,0.22455713897943497,0.44143742322921753,0.05551330931484699,0.018482521176338196,0.0007671935600228608,0.05548250861465931,0.018839603289961815,0.0007721837610006332,0.05547568202018738,0.018446647562086582,0.0007774922996759415
9,0.4140787571668625,0.4360165596008301,0.06769720278680325,0.028499476611614227,0.0009254438919015229,0.06768578104674816,0.0896464642137289,0.0009305723069701344,0.06767040863633156,0.09008672460913658,0.0009366872254759073
10,0.13870474696159363,0.5228667259216309,0.018062487244606018,0.028592705726623535,0.0008426149724982679,0.018034170381724834,0.028101867996156216,0.0008516416419297457,0.01800671312958002,0.025350051000714302,0.000862499640788883
11,0.24228715151548386,0.38342541456222534,0.037994857877492905,0.04709203727543354,0.0008263499476015568,0.038006470538675785,0.043988922610878944,0.000832124671433121,0.03801827412098646,0.03468857426196337,0.0008395424811169505
12,0.17827685177326202,0.3804317116737366,0.034556164406239986,0.022251112386584282,0.0006068111106287688,0.03453306574374437,0.02870355173945427,0.0006181899807415903,0.03451055195182562,0.021867660805583,0.0006297394866123796
13,0.11558002233505249,0.5436772108078003,0.016891798935830593,0.021321507170796394,0.0005971530626993626,0.016873285174369812,0.021007477305829525,0.0006095077842473984,0.016855956055223942,0.020800495520234108,0.0006228454294614494
