step,train/k0_point_rel,train/k0_depth_rel,train/k0_depth_delta_1.01,train/k0_depth_delta_1.25,train/k0_boundary_f1,train/k3_point_rel,train/k3_depth_rel,train/k3_depth_delta_1.01,train/k3_depth_delta_1.25,train/k3_boundary_f1,val/k0_point_rel,val/k0_depth_rel,val/k0_depth_delta_1.01,val/k0_depth_delta_1.25,val/k0_boundary_f1,val/k3_point_rel,val/k3_depth_rel,val/k3_depth_delta_1.01,val/k3_depth_delta_1.25,val/k3_boundary_f1
0,0.07349634496495128,0.0630310974859943,0.2504615643216918,0.9384124701221784,0.7962314573427042,0.07349634496495128,0.0630310974859943,0.2504615643216918,0.9384124701221784,0.7962314573427042,0.08903866010950878,0.07076855562627316,0.2160824581515044,0.9456039294600487,0.8567267879843712,0.08903866010950878,0.07076855562627316,0.2160824581515044,0.9456039294600487,0.8567267879843712
50,0.07039306545630097,0.06068986669803659,0.27197062022363144,0.9404945721228918,0.7909692997733752,0.07033748396982749,0.060626174400871,0.27267477312125266,0.9404858549435934,0.7910520161191622,0.0897482837899588,0.07065002125455067,0.1988603560021147,0.947346281260252,0.8508803434669971,0.08981664106249809,0.07066712307278067,0.1991493278183043,0.947607584297657,0.8511350527405739
100,0.06943906277107696,0.060036882758140564,0.2753376437661548,0.9414390573898951,0.7894864579041799,0.06932007544673979,0.05990073651385804,0.27818298277755577,0.9414336606860161,0.789742731799682,0.09037951799109578,0.07099628070136532,0.1910874554887414,0.9465537592768669,0.8503490537405014,0.09079196397215128,0.07118056825129315,0.18925384245812893,0.946096632629633,0.8509992361068726
150,0.06869807055530448,0.05956413201056421,0.27996724750846624,0.9415499120950699,0.792633194476366,0.06838674455260237,0.05925191023076574,0.2799471740145236,0.9415493259827296,0.7932263687252998,0.09046171302907169,0.07112619117833674,0.1888398735318333,0.9463439509272575,0.853668350726366,0.09119923238176852,0.07150506851030514,0.18563673458993435,0.9463137537240982,0.8539236076176167
200,0.06784526219901939,0.05884264184472462,0.288326349730293,0.9420852313439051,0.7926310300827026,0.06739592691883445,0.05844465697494646,0.2945796080554525,0.9420596286654472,0.7933007578055064,0.08934079273603857,0.07042226841440424,0.1969252333510667,0.9482471719384193,0.8540361188352108,0.08978918835055083,0.07064523542067036,0.19411346735432744,0.9480532594025135,0.8550500832498074
250,0.06733774192010362,0.0584107645166417,0.2917177049287905,0.9425157904624939,0.7926485414306322,0.06749693226690094,0.05856444019203385,0.29333853752662736,0.9424659113089243,0.7939927180608114,0.08970465988386422,0.07052959216525778,0.19293311005458236,0.9478285051882267,0.8541551493108273,0.09090857452247292,0.07142598635982722,0.1846917646471411,0.9475395530462265,0.8551635108888149
300,0.06655011194137235,0.05774544016458094,0.29621608128460747,0.9429470002651215,0.7953636633853117,0.06546914709421496,0.05663066954972843,0.3192106989833216,0.9431410829226176,0.7957800030708313,0.0893365906085819,0.07015162886818871,0.1945975935086608,0.9488521292805672,0.8558913506567478,0.08998208027333021,0.07049429859034717,0.19481441262178123,0.9487646967172623,0.856740552932024
350,0.06553173414431512,0.05699944697941343,0.3051155121841778,0.9432627782225609,0.8009641456107298,0.06462646353368957,0.055964995408430696,0.3317617146919171,0.9426245192686716,0.79801378150781,0.08860074752010405,0.06949295027879998,0.19720018934458494,0.950419332832098,0.8610907644033432,0.09038249729201198,0.07071322470437735,0.1923715164884925,0.9497841782867908,0.8553469926118851
400,0.06463477240564923,0.05611986263344685,0.31226271654789645,0.9436570008595785,0.8052359446883202,0.06189487137210866,0.05335800504932801,0.35041908190275234,0.9455566331744194,0.8064319603145123,0.08861913264263421,0.06903855135897174,0.1998892785049975,0.9509613364934921,0.8634204417467117,0.09094675886444747,0.0705966999521479,0.19062156905420125,0.949756845831871,0.8549377396702766
450,0.0637881342942516,0.05539351787107686,0.31919624051079154,0.9444011474649111,0.8055130603412787,0.06071379974794885,0.05240549690400561,0.35450196141997975,0.9454597060879072,0.808540977537632,0.0889629889279604,0.06916424800874665,0.1980906028766185,0.9510242789983749,0.8640532530844212,0.09248351864516735,0.07155537302605808,0.1973815367091447,0.9485275819897652,0.8604030646383762
500,0.06343713449314237,0.05505262097964684,0.3248582733795047,0.9447162846724192,0.8029656844834486,0.059069666313007474,0.05071146588306874,0.3842991450801492,0.9450429702798525,0.8040263044337431,0.08936069498304278,0.06936710583977401,0.1922270176000893,0.9507537521421909,0.8617055863142014,0.09202575241215527,0.07061763893580064,0.1900708726607263,0.9505092948675156,0.8571972213685513
550,0.06268993788398802,0.05432024536033472,0.3281858831954499,0.945494718849659,0.8050251267850399,0.05682581418659538,0.048449739309338234,0.39526744668061536,0.9465596626202265,0.8047731133798758,0.0890124412253499,0.06898222386371344,0.18958977097645402,0.9517134688794613,0.8632414489984512,0.09185776708181947,0.07066111109452322,0.18897690321318805,0.9507575668394566,0.8554671108722687
600,0.0617768750526011,0.05354268468605975,0.3294071579972903,0.9460348536570867,0.8076870106160641,0.055515448873241745,0.04695931379683316,0.4106661765836179,0.9494143178065618,0.7997172375520071,0.08774233213625848,0.06806095573119819,0.19493491458706558,0.9534141905605793,0.8658309802412987,0.09164684475399554,0.07048172573558986,0.18637997470796108,0.9506758823990822,0.8507317751646042
