step,stage,loss,grad_norm,lr_ssr,lr_heads,lr_backbone,base/k1/edge,base/k1/global,base/k1/local,refined/k1/edge,refined/k1/global,refined/k1/local,refined/k2/edge,refined/k2/global,refined/k2/local,refined/k3/edge,refined/k3/global,refined/k3/local
1,detached_warmup,0.35461968183517456,1.0066272020339966,2e-05,1e-06,0.0,0.0007392710540443659,0.038223519921302795,0.05199505761265755,0.0007392710540443659,0.038223519921302795,0.05339386872947216,0.0007392710540443659,0.038223519921302795,0.04084537457674742,0.0007392710540443659,0.038223519921302795,0.05253421515226364
2,detached_warmup,0.28639544546604156,1.0153971910476685,2e-05,1e-06,0.0,0.0008048144518397748,0.028461924754083157,0.042229670099914074,0.0008049779862631112,0.028459975495934486,0.04341699369251728,0.000805759074864909,0.028458035551011562,0.04192569758743048,0.0008069865871220827,0.028456187807023525,0.04176441580057144
3,detached_warmup,0.1236860379576683,0.9971827268600464,2e-05,1e-06,0.0,0.0006283520197030157,0.01336410641670227,0.016588276717811823,0.0006294692284427583,0.013359893579035997,0.016201420221477747,0.0006321697583189234,0.013355772010982037,0.016642157454043627,0.0006359725375659764,0.01336900657042861,0.018279439536854625
4,detached_warmup,0.19893014430999756,1.0246332883834839,2e-05,1e-06,0.0,0.0006481692544184625,0.023466944694519043,0.02586150262504816,0.0006490157684311271,0.023461024276912212,0.02721608802676201,0.0006513186090160161,0.023455304093658924,0.0247039832174778,0.0006540105678141117,0.02344985492527485,0.024712925776839256
5,detached_warmup,0.249823197722435,1.249839186668396,2e-05,1e-06,0.0,0.0007531248556915671,0.0301681375131011,0.03138968534767628,0.0007545043772552162,0.03014760371297598,0.03046208806335926,0.0007576921780128032,0.030133908614516258,0.03388764709234238,0.0007620067626703531,0.030118740163743496,0.03048805706202984
6,detached_warmup,0.37019599974155426,1.285902500152588,2e-05,1e-06,0.0,0.0008154427632689476,0.05292806401848793,0.03700031340122223,0.0008169918437488377,0.05290621519088745,0.046626294031739235,0.0008200784504879266,0.052883549593389034,0.03680668771266937,0.0008238419250119478,0.052861844189465046,0.03490668535232544
7,detached_warmup,0.2963855117559433,0.8525135517120361,2e-05,1e-06,0.0,0.0008211385575123131,0.0383826419711113,0.045514099299907684,0.000823134439997375,0.03840508498251438,0.030520018190145493,0.0008273044950328767,0.03842783626168966,0.0314448457211256,0.0008327839896082878,0.038451096042990685,0.03193553630262613
8,detached_warmup,0.10305781662464142,0.9586784839630127,2e-05,1e-06,0.0,0.0004522248054854572,0.013359697069972754,0.012267406098544598,0.0004571941099129617,0.013347417116165161,0.01214336697012186,0.00046713463962078094,0.013335967902094126,0.011551297968253493,0.0004791037499671802,0.013325512874871492,0.011871497612446547
9,detached_warmup,0.1720689982175827,0.9224140048027039,2e-05,1e-06,0.0,0.0006669914000667632,0.021185239776968956,0.021804047748446465,0.0006705695413984358,0.021191943436861038,0.0218294495716691,0.0006776046357117593,0.02119981963187456,0.02058306895196438,0.0006859170680399984,0.021208017133176327,0.02036633249372244
10,detached_warmup,0.4366826266050339,1.0743526220321655,2e-05,1e-06,0.0,0.0007612191257067025,0.05616425722837448,0.05380377918481827,0.0007648294558748603,0.056182898581027985,0.05491963215172291,0.0007720912108197808,0.05620240420103073,0.04564073123037815,0.0007811980613041669,0.056222306564450264,0.05446729436516762
11,detached_warmup,0.2810062766075134,0.7344565391540527,2e-05,1e-06,0.0,0.0008003750117495656,0.035327562130987644,0.03841134812682867,0.0008033864141907543,0.03534358274191618,0.03626790829002857,0.000809660239610821,0.03536011930555105,0.0362901920452714,0.0008174264221452177,0.03537722211331129,0.025397485122084618
12,detached_warmup,0.27227675914764404,0.9615362882614136,2e-05,1e-06,0.0,0.0006092587718740106,0.04586590826511383,0.025248417630791664,0.0006131562404334545,0.045843467116355896,0.024480284191668034,0.0006198184564709663,0.0458212997764349,0.01768266223371029,0.0006274231127463281,0.04580129496753216,0.019063766114413738
13,detached_warmup,0.30164721608161926,1.1177030801773071,2e-05,1e-06,0.0,0.0008512208005413413,0.04124573618173599,0.019299890846014023,0.0008544654992874712,0.04127804096788168,0.07395689748227596,0.0008600839355494827,0.041310871951282024,0.01981431618332863,0.0008663685584906489,0.0413451949134469,0.01996412966400385
14,detached_warmup,0.20842693746089935,0.8447679281234741,2e-05,1e-06,0.0,0.0006384838779922575,0.03300026524811983,0.018876533024013042,0.0006414882373064756,0.03300535026937723,0.017779282294213772,0.0006471253582276404,0.033010782673954964,0.01850875373929739,0.0006532595434691757,0.0330163836479187,0.018649231642484665
15,detached_warmup,0.16948708146810532,1.0783336162567139,2e-05,1e-06,0.0,0.0006275243358686566,0.022234156727790833,0.017919858917593956,0.0006307472940534353,0.02222280204296112,0.0201190123334527,0.0006363090651575476,0.02221153024584055,0.020604083314538002,0.0006426749168895185,0.022199868224561214,0.019438521936535835
16,detached_warmup,0.293545663356781,1.3518143892288208,2e-05,1e-06,0.0,0.0005859002121724188,0.04603545926511288,0.030495100654661655,0.0005893700872547925,0.04605183843523264,0.02986338548362255,0.0005959128611721098,0.04606918338686228,0.022983424365520477,0.0006034687685314566,0.046087597496807575,0.02358501125127077
17,detached_warmup,0.3119380623102188,0.8842316269874573,2e-05,1e-06,0.0,0.000752082618419081,0.04552566912025213,0.03175264410674572,0.0007548673893325031,0.04551273491233587,0.030728725716471672,0.0007594607304781675,0.045500487089157104,0.03174934256821871,0.0007644329161848873,0.04548866394907236,0.03264894802123308
18,detached_warmup,0.28058401495218277,0.7473777532577515,2e-05,1e-06,0.0,0.000797799788415432,0.03521627280861139,0.03820725064724684,0.0007995210180524737,0.03522707149386406,0.025334153324365616,0.0008026933355722576,0.03523807227611542,0.03698634449392557,0.0008064382709562778,0.03524933848530054,0.03591905999928713
19,detached_warmup,0.3095595985651016,1.1033402681350708,2e-05,1e-06,0.0,0.0006884064641781151,0.04572235234081745,0.03354879654943943,0.0006909732474014163,0.045728253200650215,0.0340774105861783,0.0006955772696528584,0.04573473986238241,0.027435350231826305,0.0007001511694397777,0.04574217740446329,0.02879541739821434
20,detached_warmup,0.5067742168903351,0.732780396938324,2e-05,1e-06,0.0,0.0009174695296678692,0.06637345440685749,0.08911873959004879,0.0009187754476442933,0.06636462360620499,0.02739116456359625,0.0009207503753714263,0.06636294350028038,0.0919620618224144,0.0009230316791217774,0.06634803302586079,0.02917315810918808
21,detached_warmup,0.19103185832500458,0.8018330931663513,2e-05,1e-06,0.0,0.0006713000475428998,0.028055270202457905,0.01903359964489937,0.0006726197607349604,0.028056569397449493,0.019127819687128067,0.000675198039971292,0.028058065101504326,0.01919715851545334,0.0006780445110052824,0.02805974893271923,0.018746460787951946
22,detached_warmup,0.1733839511871338,0.6493132710456848,2e-05,1e-06,0.0,0.0006879837019369006,0.021562987938523293,0.0198660995811224,0.0006894186371937394,0.021564914844930172,0.020963243208825588,0.0006919304141774774,0.02156698051840067,0.021535325795412064,0.0006946538342162967,0.021569120697677135,0.021991290152072906
23,detached_warmup,0.2926778197288513,1.2232955694198608,2e-05,1e-06,0.0,0.0006550881953444332,0.04507300350815058,0.032937778159976006,0.0006562164635397494,0.04508046992123127,0.02521572820842266,0.0006585440132766962,0.04508874844759703,0.02611250802874565,0.000661135243717581,0.04509709216654301,0.025441515259444714
24,detached_warmup,0.3949260264635086,1.049333930015564,2e-05,1e-06,0.0,0.0008101497078314424,0.05155272129923105,0.04601007141172886,0.0008108540496323258,0.05153733305633068,0.04762875288724899,0.0008119160193018615,0.0515220258384943,0.046870157122612,0.0008132556395139545,0.05150638148188591,0.045052388682961464
25,detached_warmup,0.1577526479959488,0.5712947249412537,2e-05,1e-06,0.0,0.0007289851200766861,0.017141034826636314,0.021780059207230806,0.0007299029093701392,0.017137850634753704,0.02185298688709736,0.0007316062110476196,0.01713454443961382,0.021223222836852074,0.0007335704867728055,0.017131363973021507,0.021427517756819725
26,detached_warmup,0.14417986571788788,0.8040280938148499,2e-05,1e-06,0.0,0.0006279708468355238,0.018425682559609413,0.016009649727493525,0.0006291863683145493,0.018423326313495636,0.019294080324470997,0.0006309835589490831,0.018420973792672157,0.015949467662721872,0.000632823386695236,0.018418729305267334,0.016716991551220417
27,detached_warmup,0.25144413113594055,0.6504710912704468,2e-05,1e-06,0.0,0.0008361958025489002,0.026116013526916504,0.031428130343556404,0.0008367012487724423,0.026112440042197704,0.04083262011408806,0.0008377237827517092,0.02610923070460558,0.0397740937769413,0.0008388895075768232,0.02610604837536812,0.03161603584885597
28,detached_warmup,0.17475779354572296,0.5632504224777222,2e-05,1e-06,0.0,0.0007648453465662897,0.020872541703283787,0.020944006741046906,0.0007656929665245116,0.020865370519459248,0.021382125094532967,0.0007670968188904226,0.020858384668827057,0.02249414101243019,0.000768624508054927,0.020851473324000835,0.023423497565090656
29,detached_warmup,0.12198680639266968,0.7397520542144775,2e-05,1e-06,0.0,0.0006226236873771995,0.012846739962697029,0.017078656936064363,0.0006239310023374856,0.012842593248933554,0.017057293327525258,0.000626064749667421,0.012838606722652912,0.016309669706970453,0.0006281938694883138,0.012834781315177679,0.017677652183920145
30,detached_warmup,0.14272860437631607,0.9045083522796631,2e-05,1e-06,0.0,0.0005895850772503763,0.017787205055356026,0.017341112717986107,0.0005908073217142373,0.017778519541025162,0.01823832280933857,0.0005929942999500781,0.017769762314856052,0.017584902234375477,0.0005952377105131745,0.017761065624654293,0.016099090687930584
31,detached_warmup,0.2655387446284294,0.5834339261054993,2e-05,1e-06,0.0,0.000794811436207965,0.03505663853138685,0.025005720555782318,0.0007956409826874733,0.03506086301058531,0.024008499458432198,0.0007970646838657558,0.03506515081971884,0.03582231514155865,0.0007986720302142203,0.03506958484649658,0.03726378455758095
32,detached_warmup,0.24504050612449646,1.0497066974639893,2e-05,1e-06,0.0,0.0006659437785856426,0.03346921503543854,0.03011156525462866,0.0006674851174466312,0.0334502374753356,0.021474123001098633,0.0006700275698676705,0.033431319519877434,0.029416784644126892,0.0006726861756760627,0.0334126241505146,0.02759848441928625
33,detached_warmup,0.21036556363105774,0.4561840891838074,2e-05,1e-06,0.0,0.0008502443379256874,0.02024664171040058,0.03629170544445515,0.0008515966474078596,0.02023946400731802,0.03125791158527136,0.0008537937828805298,0.020233267918229103,0.02912592515349388,0.000856169150210917,0.02022730652242899,0.02933154907077551
34,detached_warmup,0.2562200278043747,1.3440309762954712,2e-05,1e-06,0.0,0.0008626638446003199,0.036956921219825745,0.026550227776169777,0.0008662129985168576,0.03694376349449158,0.02579511981457472,0.0008698009187355638,0.03693054988980293,0.025544989854097366,0.000873336277436465,0.0369173139333725,0.027109134942293167
35,detached_warmup,0.15864232182502747,0.8670670390129089,2e-05,1e-06,0.0,0.0006542363262269646,0.017663350328803062,0.020000288262963295,0.0006567242962773889,0.017664456740021706,0.022495036013424397,0.0006605419330298901,0.017665921710431576,0.02345674019306898,0.0006642823573201895,0.017668006010353565,0.019392740912735462
36,detached_warmup,0.2859111800789833,0.9608784914016724,2e-05,1e-06,0.0,0.0006580117042176425,0.03914457280188799,0.033290318213403225,0.0006595413433387876,0.03915567137300968,0.035596354864537716,0.0006619972118642181,0.039166840724647045,0.035186224617064,0.0006647675763815641,0.039178130216896534,0.022548758424818516
37,detached_warmup,0.18841848522424698,0.6799732446670532,2e-05,1e-06,0.0,0.0008250781684182584,0.02076185029000044,0.02536545693874359,0.0008266255026683211,0.02076431643217802,0.026141214184463024,0.0008293333230540156,0.0207674503326416,0.025381567887961864,0.0008322936482727528,0.02077086828649044,0.02515242900699377
38,detached_warmup,0.16080725193023682,0.7439965009689331,2e-05,1e-06,0.0,0.0006036143604433164,0.022789594251662493,0.016458951169624925,0.0006072170508559793,0.022777199745178223,0.01659880648367107,0.0006112629926064983,0.022765773348510265,0.017147645819932222,0.0006150913250166923,0.02275510737672448,0.017076980089768767
39,detached_warmup,0.21504879742860794,0.5741409659385681,2e-05,1e-06,0.0,0.0007738337153568864,0.019857531413435936,0.035161687061190605,0.0007755093101877719,0.019864690490067005,0.027310733683407307,0.0007783888722769916,0.019872602075338364,0.03483784105628729,0.0007811317918822169,0.019881381653249264,0.035153462551534176
40,detached_warmup,0.16117829829454422,0.6614992618560791,2e-05,1e-06,0.0,0.0004541841917671263,0.021747295279055834,0.011506148613989353,0.0004582381807267666,0.021735453512519598,0.02345655905082822,0.00046340012340806425,0.021724678110331297,0.025256461463868618,0.0004679359553847462,0.021714788395911455,0.012193156406283379
41,detached_warmup,0.31201452016830444,1.4311107397079468,2e-05,1e-06,0.0,0.0007533215102739632,0.04520868603140116,0.035848443396389484,0.0007552028982900083,0.045177657157182693,0.029247569851577282,0.000757608562707901,0.04514709208160639,0.03142999205738306,0.0007600429526064545,0.04511628020554781,0.03181262407451868
42,detached_warmup,0.3708409368991852,0.9798630475997925,2e-05,1e-06,0.0,0.000589396309806034,0.062148645520210266,0.02921448554843664,0.0005922353884670883,0.062141118571162224,0.030989931896328926,0.0005963600415270776,0.062135124579072,0.030050409957766533,0.0006001590518280864,0.06212911196053028,0.02965397760272026
43,detached_warmup,0.34337055683135986,0.82787024974823,2e-05,1e-06,0.0,0.0008175511902663857,0.0486557949334383,0.03781219944357872,0.0008191399974748492,0.048645731061697006,0.038685974664986134,0.0008215511916205287,0.04863577987998724,0.031625041738152504,0.0008239001617766917,0.04862600192427635,0.03740190155804157
44,detached_warmup,0.15274185687303543,0.45558348298072815,2e-05,1e-06,0.0,0.0007275801908690482,0.016609404236078262,0.02115536481142044,0.0007296257826965302,0.01659854594618082,0.021869934163987637,0.0007329585205297917,0.016588786616921425,0.02000179886817932,0.0007361521129496396,0.016579500399529934,0.020412210375070572
45,detached_warmup,0.2659485787153244,0.5671473741531372,2e-05,1e-06,0.0,0.0006535783759318292,0.03570221271365881,0.03389737568795681,0.000655985000776127,0.035704352892935276,0.021077577024698257,0.0006591648561879992,0.035706762224435806,0.03245973214507103,0.0006623392109759152,0.03570927586406469,0.03306023310869932
46,detached_warmup,0.181987427175045,0.7471954226493835,2e-05,1e-06,0.0,0.0008244899217970669,0.020749269053339958,0.02558189257979393,0.000826649833470583,0.020753294229507446,0.023621889762580395,0.0008297882159240544,0.020758082158863544,0.023286026902496815,0.0008329866104759276,0.020763719454407692,0.023159331642091274
47,detached_warmup,0.2938426733016968,0.6447998285293579,2e-05,1e-06,0.0,0.0007735777762718499,0.04480299539864063,0.02402286510914564,0.0007769149669911712,0.044808611273765564,0.02431546989828348,0.0007807672373019159,0.044814182445406914,0.02549220435321331,0.000784734234912321,0.044819965958595276,0.037650395184755325
48,detached_warmup,0.2488798052072525,0.5803993940353394,2e-05,1e-06,0.0,0.0008992496295832098,0.02976011112332344,0.029794760048389435,0.0009022371668834239,0.02975335530936718,0.03157398756593466,0.0009058463620021939,0.02974750567227602,0.03490573726594448,0.0009093836415559053,0.02974244300276041,0.029985183849930763
49,detached_warmup,0.2849167138338089,0.9601821899414062,2e-05,1e-06,0.0,0.0006150716508273035,0.04639968182891607,0.023353703320026398,0.0006183909135870636,0.04639799799770117,0.02225146908313036,0.0006226258992683142,0.04639687482267618,0.029007178731262684,0.0006268422876019031,0.04639710485935211,0.022229766473174095
