step,stage,loss,base_loss,refined_loss,grad_norm,lr_ssr,lr_heads,lr_backbone,base/k1/global,base/k1/local,base/k1/edge,refined/k1/global,refined/k1/local,refined/k1/edge,refined/k2/global,refined/k2/local,refined/k2/edge,refined/k3/global,refined/k3/local,refined/k3/edge
1,detached,0.43587976694107056,0.10435710102319717,0.331522673368454,2.791393518447876,2e-05,1e-05,0.0,0.07233645021915436,0.03140123188495636,0.0006194195593707263,0.07233645021915436,0.0469425767660141,0.0006194195593707263,0.07233645021915436,0.032858751714229584,0.0006194195593707263,0.07233645021915436,0.03285371884703636,0.0006194195593707263
2,detached,0.4338196814060211,0.0981164202094078,0.3357032537460327,2.3713228702545166,2e-05,1e-05,0.0,0.0674947127699852,0.030003754422068596,0.000617949990555644,0.06746572256088257,0.04412229359149933,0.0006187593680806458,0.06743669509887695,0.04361613094806671,0.0006208426202647388,0.06740789860486984,0.04379107803106308,0.0006238351343199611
3,detached,0.3825763463973999,0.10607998818159103,0.27649635076522827,2.066957950592041,2e-05,1e-05,0.0,0.06376535445451736,0.04169362783432007,0.000621006649453193,0.06370748579502106,0.027109213173389435,0.0006239225622266531,0.06364981085062027,0.028538815677165985,0.0006297675427049398,0.06359238177537918,0.028007982298731804,0.0006369565380737185
4,detached,0.3657103180885315,0.0995355024933815,0.2661748230457306,1.9674986600875854,2e-05,1e-05,0.0,0.0609024316072464,0.03800847753882408,0.0006245882832445204,0.06081220135092735,0.027540449053049088,0.0006306326831690967,0.06072258949279785,0.026912393048405647,0.0006400461425073445,0.06063380464911461,0.02763380855321884,0.0006489080842584372
5,detached,0.3883868455886841,0.09819366782903671,0.2901931703090668,1.9976141452789307,2e-05,1e-05,0.0,0.05852121859788895,0.039042383432388306,0.0006300684181042016,0.05839504301548004,0.03708112984895706,0.000639201607555151,0.05826988443732262,0.03768306225538254,0.00065113470191136,0.05814569070935249,0.038664158433675766,0.000663862912915647
6,detached,0.3425024747848511,0.0834425538778305,0.2590599060058594,2.041245222091675,2e-05,1e-05,0.0,0.05625000223517418,0.02655613422393799,0.0006364143919199705,0.05608619004487991,0.026455560699105263,0.000649545225314796,0.05592530965805054,0.02630068175494671,0.000662602367810905,0.055765919387340546,0.03653488680720329,0.0006792150088585913
7,detached,0.3651983141899109,0.09236042201519012,0.27283787727355957,1.9765530824661255,2e-05,1e-05,0.0,0.053765587508678436,0.03795255720615387,0.0006422745645977557,0.05356324464082718,0.036767907440662384,0.0006588342366740108,0.053365401923656464,0.03631512448191643,0.0006749782478436828,0.053169649094343185,0.03762537240982056,0.0006973622948862612
8,detached,0.31991538405418396,0.08946386724710464,0.2304515242576599,1.8130770921707153,2e-05,1e-05,0.0,0.05131182447075844,0.03750360757112503,0.0006484330515377223,0.05108053237199783,0.025583360344171524,0.0006691413000226021,0.05085286870598793,0.024905025959014893,0.0006904998444952071,0.05063392221927643,0.025320185348391533,0.000715981237590313
9,detached,0.3119116425514221,0.08557792007923126,0.22633373737335205,1.6792675256729126,2e-05,1e-05,0.0,0.049072977155447006,0.03585026413202286,0.0006546844961121678,0.04882239177823067,0.026009652763605118,0.000680026423651725,0.04857656732201576,0.02629021182656288,0.0007047929684631526,0.04834527522325516,0.026172341778874397,0.0007324818288907409
10,detached,0.33139947056770325,0.08430290222167969,0.24709656834602356,1.6130772829055786,2e-05,1e-05,0.0,0.04709947854280472,0.03654267638921738,0.0006607492687180638,0.04682876169681549,0.03593214228749275,0.0006912559038028121,0.04656596854329109,0.0347137451171875,0.0007189448224380612,0.046317607164382935,0.03457876667380333,0.0007493788143619895
11,detached,0.2912774384021759,0.07107868045568466,0.22019876539707184,1.4640785455703735,2e-05,1e-05,0.0,0.04511551186442375,0.02529572881758213,0.0006674398900941014,0.04482425004243851,0.03397907316684723,0.0007024226360954344,0.044541265815496445,0.02472599223256111,0.0007340399897657335,0.04427468776702881,0.025651538744568825,0.0007654961082153022
