sample_directory,sample_id,snapshot,step,training_stage,k,scope,point_rel,depth_rel,depth_delta_1.01,depth_delta_1.25,boundary_f1
01_ai_019_004_cam_00_frame.0000,ai_019_004_cam_00_frame.0000,initial,0,initial,0,full,0.09128591418266296,0.08456825464963913,0.1285044401884079,0.9277191162109375,0.9142928719520569
01_ai_019_004_cam_00_frame.0000,ai_019_004_cam_00_frame.0000,initial,0,initial,0,crop,0.10902052372694016,0.10676568746566772,0.1327039897441864,0.9032931923866272,0.9230778813362122
01_ai_019_004_cam_00_frame.0000,ai_019_004_cam_00_frame.0000,initial,0,initial,0,structure,0.12166777998209,0.11833105981349945,0.0836588516831398,0.902940571308136,0.7505564093589783
01_ai_019_004_cam_00_frame.0000,ai_019_004_cam_00_frame.0000,initial,0,initial,1,full,0.09128591418266296,0.08456825464963913,0.1285044401884079,0.9277191162109375,0.9142928719520569
01_ai_019_004_cam_00_frame.0000,ai_019_004_cam_00_frame.0000,initial,0,initial,1,crop,0.10902052372694016,0.10676568746566772,0.1327039897441864,0.9032931923866272,0.9230778813362122
01_ai_019_004_cam_00_frame.0000,ai_019_004_cam_00_frame.0000,initial,0,initial,1,structure,0.12166777998209,0.11833105981349945,0.0836588516831398,0.902940571308136,0.7505564093589783
01_ai_019_004_cam_00_frame.0000,ai_019_004_cam_00_frame.0000,initial,0,initial,3,full,0.09128591418266296,0.08456825464963913,0.1285044401884079,0.9277191162109375,0.9142928719520569
01_ai_019_004_cam_00_frame.0000,ai_019_004_cam_00_frame.0000,initial,0,initial,3,crop,0.10902052372694016,0.10676568746566772,0.1327039897441864,0.9032931923866272,0.9230778813362122
01_ai_019_004_cam_00_frame.0000,ai_019_004_cam_00_frame.0000,initial,0,initial,3,structure,0.12166777998209,0.11833105981349945,0.0836588516831398,0.902940571308136,0.7505564093589783
01_ai_019_004_cam_00_frame.0000,ai_019_004_cam_00_frame.0000,initial,0,initial,5,full,0.09128591418266296,0.08456825464963913,0.1285044401884079,0.9277191162109375,0.9142928719520569
01_ai_019_004_cam_00_frame.0000,ai_019_004_cam_00_frame.0000,initial,0,initial,5,crop,0.10902052372694016,0.10676568746566772,0.1327039897441864,0.9032931923866272,0.9230778813362122
