mode,repeat,id,split,scene,frame,iteration,highlighted,max_abs_residual,max_signed_residual,max_row,max_col,p99_abs_residual,p999_abs_residual,mean_abs_residual,pixels_exceeding_threshold,cumulative_max_abs_residual,depth_span,active_voxels
eval,0,ai_001_001_cam_00_frame.0000,train,ai_001_001,0,1,False,0.12077765166759491,-0.12077765166759491,379,40,0.03480161726474762,0.07380456477403641,0.019407398998737335,0,0.12077765166759491,189.0,196608
eval,0,ai_001_001_cam_00_frame.0000,train,ai_001_001,0,2,False,0.09075001627206802,-0.09075001627206802,367,49,0.041516777127981186,0.06004445254802704,0.02055746130645275,0,0.1984706073999405,194.0,196608
eval,0,ai_001_001_cam_00_frame.0000,train,ai_001_001,0,3,False,0.0946536660194397,-0.0946536660194397,376,43,0.03959783911705017,0.07134389132261276,0.02064761146903038,0,0.27591079473495483,196.0,196608
eval,0,ai_001_001_cam_00_frame.0014,train,ai_001_001,14,1,False,0.06574583053588867,-0.06574583053588867,163,366,0.038806766271591187,0.053301114588975906,0.02008446305990219,0,0.06574583053588867,282.0,196608
eval,0,ai_001_001_cam_00_frame.0014,train,ai_001_001,14,2,False,0.08953528106212616,-0.08953528106212616,176,373,0.036489978432655334,0.060992464423179626,0.020368970930576324,0,0.1473912000656128,283.0,196608
eval,0,ai_001_001_cam_00_frame.0014,train,ai_001_001,14,3,False,0.06771213561296463,-0.06771213561296463,172,372,0.03181789442896843,0.04647122323513031,0.020313706248998642,0,0.2037764936685562,286.0,196608
eval,0,ai_001_001_cam_00_frame.0028,train,ai_001_001,28,1,False,0.18306739628314972,-0.18306739628314972,125,354,0.028876347467303276,0.11263557523488998,0.018980417400598526,0,0.18306739628314972,200.0,196608
eval,0,ai_001_001_cam_00_frame.0028,train,ai_001_001,28,2,False,0.16309238970279694,-0.16309238970279694,94,350,0.026998797431588173,0.08010047674179077,0.018865492194890976,0,0.2635246217250824,202.0,196608
eval,0,ai_001_001_cam_00_frame.0028,train,ai_001_001,28,3,False,0.060389384627342224,-0.060389384627342224,109,355,0.024312028661370277,0.03540675342082977,0.018504399806261063,0,0.2698533833026886,202.0,196608
eval,0,ai_001_001_cam_00_frame.0043,train,ai_001_001,43,1,False,0.07511718571186066,-0.07511718571186066,362,220,0.027421895414590836,0.0593697652220726,0.017810296267271042,0,0.07511718571186066,99.0,196608
eval,0,ai_001_001_cam_00_frame.0043,train,ai_001_001,43,2,False,0.070228710770607,-0.070228710770607,366,222,0.023768743500113487,0.04340997338294983,0.01808091625571251,0,0.13872703909873962,98.0,196608
eval,0,ai_001_001_cam_00_frame.0043,train,ai_001_001,43,3,False,0.04994462430477142,-0.04994462430477142,363,221,0.022798806428909302,0.03387348726391792,0.018131133168935776,0,0.1800740659236908,99.0,196608
eval,0,ai_001_001_cam_00_frame.0056,train,ai_001_001,56,1,False,0.1716182976961136,-0.1716182976961136,366,484,0.032492443919181824,0.1325952261686325,0.020657312124967575,0,0.1716182976961136,125.0,196608
eval,0,ai_001_001_cam_00_frame.0056,train,ai_001_001,56,2,False,0.09330090880393982,-0.09330090880393982,377,486,0.027381964027881622,0.06706910580396652,0.020285174250602722,0,0.22378255426883698,125.0,196608
eval,0,ai_001_001_cam_00_frame.0056,train,ai_001_001,56,3,False,0.06659236550331116,-0.06659236550331116,356,473,0.026500409469008446,0.04604166001081467,0.02011033520102501,0,0.26428696513175964,130.0,196608
eval,0,ai_001_001_cam_00_frame.0071,train,ai_001_001,71,1,False,0.08656714856624603,-0.08656714856624603,4,132,0.0326547808945179,0.06047484651207924,0.020830336958169937,0,0.08656714856624603,253.0,196608
eval,0,ai_001_001_cam_00_frame.0071,train,ai_001_001,71,2,False,0.13817556202411652,0.13817556202411652,205,391,0.03575759753584862,0.07501331716775894,0.0205756314098835,0,0.199518620967865,249.0,196608
eval,0,ai_001_001_cam_00_frame.0071,train,ai_001_001,71,3,False,0.08373673260211945,-0.08373673260211945,11,475,0.02995220199227333,0.06021495908498764,0.02017911523580551,0,0.2096768617630005,246.0,196608
eval,0,ai_001_001_cam_00_frame.0085,train,ai_001_001,85,1,False,0.09519858658313751,-0.09519858658313751,289,92,0.03796307370066643,0.06541482359170914,0.020169638097286224,0,0.09519858658313751,177.0,196608
eval,0,ai_001_001_cam_00_frame.0085,train,ai_001_001,85,2,False,0.05755547434091568,-0.05755547434091568,146,464,0.0355810672044754,0.04863789677619934,0.020223921164870262,0,0.12453751266002655,178.0,196608
eval,0,ai_001_001_cam_00_frame.0085,train,ai_001_001,85,3,False,0.052224256098270416,-0.052224256098270416,148,459,0.03307688981294632,0.04211205989122391,0.02002572827041149,0,0.17153498530387878,179.0,196608
eval,0,ai_001_001_cam_00_frame.0099,train,ai_001_001,99,1,False,0.07570137828588486,0.07570137828588486,377,368,0.034384723752737045,0.052078086882829666,0.018424009904265404,0,0.07570137828588486,309.0,196608
eval,0,ai_001_001_cam_00_frame.0099,train,ai_001_001,99,2,False,0.1105102151632309,-0.1105102151632309,374,496,0.03458036109805107,0.0912160649895668,0.018814608454704285,0,0.15691347420215607,312.0,196608
eval,0,ai_001_001_cam_00_frame.0099,train,ai_001_001,99,3,False,0.10726196318864822,-0.10726196318864822,373,477,0.03053339384496212,0.08408008515834808,0.01843203604221344,0,0.24488991498947144,327.0,196608
eval,0,ai_018_003_cam_00_frame.0000,train,ai_018_003,0,1,False,0.11633017659187317,-0.11633017659187317,300,438,0.03941860795021057,0.04933691769838333,0.01870582439005375,0,0.11633017659187317,373.0,196608
eval,0,ai_018_003_cam_00_frame.0000,train,ai_018_003,0,2,False,0.084144227206707,-0.084144227206707,302,429,0.032571736723184586,0.04805181175470352,0.018434343859553337,0,0.1643705815076828,373.0,196608
