step,stage,loss,grad_norm,lr_ssr,lr_heads,lr_backbone,base/k1/edge,base/k1/global,base/k1/local,refined/k1/edge,refined/k1/global,refined/k1/local,refined/k2/edge,refined/k2/global,refined/k2/local,refined/k3/edge,refined/k3/global,refined/k3/local,ssr_max_abs_log_depth_residual,ssr_max_depth_span
1,detached_warmup,0.17380640283226967,0.5947824716567993,2e-05,1e-06,0.0,0.0005475022335303947,0.02355471544433385,0.02071156189776957,0.0005475022335303947,0.02355471544433385,0.018790839123539627,0.0005475022335303947,0.02355471544433385,0.018802101665642112,0.0005475022335303947,0.02355471544433385,0.019093026057817042,0.0,634.0
2,detached_warmup,0.15204223594628274,0.5185741782188416,2e-05,1e-06,0.0,0.0004304939939174801,0.02261006538174115,0.01604791052523069,0.0004310220101615414,0.022608704661251977,0.01759889963432215,0.00043240361810603645,0.02260741320787929,0.014005772944074124,0.00043444926632218994,0.022606262005865574,0.01222883490845561,0.00025325611932203174,484.0
3,detached_warmup,0.132428671233356,0.7057757377624512,2e-05,1e-06,0.0,0.0005746447568526492,0.01880429673474282,0.013731752405874431,0.000575470465264516,0.018801082100253552,0.013423891097772866,0.0005772614131274167,0.018797926837578416,0.01403483736794442,0.0005797254489152692,0.018794847303070128,0.013732935185544193,0.0003828198532573879,695.0
4,detached_warmup,0.28233845718204975,0.4035379886627197,2e-05,1e-06,0.0,0.0007246754357765894,0.03467652201652527,0.034242899739183486,0.0007254843003465794,0.034674251684919,0.0338765331543982,0.0007271772774402052,0.03467195434495807,0.03390002506785095,0.0007293953494809102,0.03466981556266546,0.03871972288470715,0.0005711105186492205,813.0
5,detached_warmup,0.23489660024642944,0.7574502229690552,2e-05,1e-06,0.0,0.0006386832465068437,0.03410548053216189,0.02309135696850717,0.0006396157477865927,0.034098350326530635,0.023447582265362144,0.0006416234100470319,0.03409112861845642,0.025146118947304785,0.0006442503581638448,0.034084186307154596,0.024268222274258733,0.0005521797575056553,745.0
6,detached_warmup,0.21101132035255432,0.4667671322822571,2e-05,1e-06,0.0,0.0006003818125464022,0.028124975040555,0.022797940066084266,0.0006018029380356893,0.028124455246143043,0.023319128900766373,0.0006046437993063591,0.028123951400630176,0.02487259346526116,0.0006082076361053623,0.028123559313826263,0.025109681533649564,0.0006205821991898119,596.0
7,detached_warmup,0.15561194042675197,0.531432569026947,2e-05,1e-06,0.0,0.0004963613500876818,0.026501218002522364,0.012329436896834522,0.000498582681757398,0.02649603073950857,0.012779216660419479,0.0005026399085181765,0.026490975520573556,0.011484868417028338,0.000507420401845593,0.0264859278104268,0.01103926356881857,0.0007715572137385607,539.0
8,detached_warmup,0.1794775426387787,0.33085745573043823,2e-05,1e-06,0.0,0.0005346105572243687,0.02747109334450215,0.013750027399510145,0.0005374813408707269,0.02746523800306022,0.01397629949497059,0.0005429222837847192,0.027459651581011713,0.011708954465575516,0.0005493041280715261,0.02745518076699227,0.028026779531501234,0.000833015248645097,538.0
9,detached_warmup,0.17514509009197354,0.3285064995288849,2e-05,1e-06,0.0,0.0006298987900663633,0.022337852977216244,0.02052049321355298,0.0006323887100734282,0.022339399438351393,0.021177842980250716,0.000636970711639151,0.022341232397593558,0.02103621477726847,0.0006423780650948174,0.022343323100358248,0.02050709561444819,0.0007591228932142258,494.0
10,detached_warmup,0.2692141244187951,0.40259671211242676,2e-05,1e-06,0.0,0.000685003546095686,0.030692904023453593,0.037738890619948506,0.0006866108960821293,0.03069313708692789,0.02877199277281761,0.0006895419646752998,0.030693537439219654,0.03904492233414203,0.0006932970572961494,0.03069386479910463,0.03813042026013136,0.0010950181167572737,784.0
11,detached_warmup,0.1914709359407425,0.3132016956806183,2e-05,1e-06,0.0,0.0006094991476857103,0.024529651796910912,0.022879367345012724,0.0006121091209934093,0.024526034423615783,0.021016124170273542,0.0006168741856527049,0.02452261612052098,0.02427481982158497,0.0006226407858775929,0.024519294151104987,0.022741909022442997,0.0008043639827519655,475.0
12,detached_warmup,0.17776814103126526,0.35310259461402893,2e-05,1e-06,0.0,0.0006346650698105805,0.023241220391355455,0.020212342380546033,0.0006363065585901495,0.023243086878210306,0.019585385569371283,0.000639283265627455,0.02324509446043521,0.020873393630608916,0.0006426667277992237,0.023247112287208438,0.021567581803537905,0.0008560912683606148,586.0
13,detached_warmup,0.2222376693971455,0.5366542339324951,2e-05,1e-06,0.0,0.000634929041552823,0.027521752403117716,0.020222766674123704,0.0006368499634845648,0.02752908895490691,0.03472914226585999,0.0006399567137123086,0.0275365476263687,0.033971932920394465,0.0006432802219933365,0.027543427189812064,0.02062799729174003,0.0008724936633370817,574.0
14,detached_warmup,0.24327253550291061,0.32444801926612854,2e-05,1e-06,0.0,0.0006583779795619193,0.029646089300513268,0.026081262505613267,0.0006599965090572368,0.029642189969308674,0.02447472812491469,0.0006627472648688126,0.029638491105288267,0.04604719887720421,0.0006658195343334228,0.029635014885570854,0.025460613309405744,0.0008008151198737323,474.0
15,detached_warmup,0.19867649115622044,0.45076820254325867,2e-05,1e-06,0.0,0.0006058087710698601,0.02679175802040845,0.023557381820864975,0.0006073951444705017,0.026787985232658684,0.021431717555969954,0.0006099506499595009,0.02678433491382748,0.022117740707471967,0.0006127806373115163,0.026780863292515278,0.021988768479786813,0.0008384009124711156,598.0
16,detached_warmup,0.2649279707111418,0.44870996475219727,2e-05,1e-06,0.0,0.0006281948790274328,0.03927970211952925,0.021254576684441417,0.0006296822411968606,0.03927050484344363,0.02103731024544686,0.0006318972482404206,0.039261511992663145,0.04300968971801922,0.0006341422304103617,0.03925882885232568,0.02003192692063749,0.0008369126589968801,534.0
17,detached_warmup,0.2434757137671113,0.3268648684024811,2e-05,1e-06,0.0,0.000649363315460505,0.02945583127439022,0.03454260318540037,0.0006502737815026194,0.02945604734122753,0.02957337920088321,0.0006516714529425371,0.02945615048520267,0.030503392103128135,0.0006532385741593316,0.029456552816554904,0.028427212731912732,0.0008226256468333304,873.0
18,detached_warmup,0.2513114269822836,0.3182527422904968,2e-05,1e-06,0.0,0.0006137148302514106,0.03521894133882597,0.026167312578763813,0.0006149500914034434,0.03521908778930083,0.02755627123406157,0.0006165347876958549,0.03521846729563549,0.026837338926270604,0.0006180278287502006,0.0352184523944743,0.02741232718108222,0.0008304445655085146,623.0
19,detached_warmup,0.2397750075906515,0.5101392865180969,2e-05,1e-06,0.0,0.0006846879550721496,0.03156528202816844,0.03008782328106463,0.0006854265848232899,0.031572565087117255,0.02709872683044523,0.0006865909599582665,0.03158012707717717,0.024758529849350452,0.0006877348423586227,0.0315877833054401,0.028779728687368333,0.0008538799593225121,717.0
20,detached_warmup,0.20647955033928156,0.5973241925239563,2e-05,1e-06,0.0,0.0005731139553972753,0.024891838256735355,0.03156304990989156,0.0005745098187617259,0.02488599909702316,0.020709920063382015,0.0005763438784924801,0.024880021868739277,0.030824254266917706,0.0005779659804829862,0.024874215276213363,0.021548314456595108,0.0009573525167070329,779.0
21,detached_warmup,0.2799534723162651,0.5587411522865295,2e-05,1e-06,0.0,0.0007052481159917079,0.033213957445695996,0.03549642424331978,0.0007057959155645221,0.03321593988221139,0.03609287540894002,0.0007065895697451197,0.033218489261344075,0.04288563143927604,0.0007074168970575556,0.033220220590010285,0.029784878832288086,0.0008362224325537682,487.0
22,detached_warmup,0.13960058242082596,0.4437072277069092,2e-05,1e-06,0.0,0.0006027194467606023,0.019002555403858423,0.015281976200640202,0.0006034527214069385,0.019004940171726048,0.015878969337791204,0.0006045351874490734,0.01900742738507688,0.014457243261858821,0.000605547713348642,0.01901019609067589,0.015541020431555808,0.0008743403013795614,482.0
23,detached_warmup,0.15943021047860384,0.38637953996658325,2e-05,1e-06,0.0,0.0005084030199213885,0.019940468366257846,0.021136111405212432,0.0005094279222248588,0.019943475374020636,0.017611593182664365,0.0005108172845211811,0.01994659099727869,0.018686797353439033,0.0005120960704516619,0.01994984853081405,0.02017457678448409,0.0008356530452147126,688.0
24,detached_warmup,0.3579134587198496,0.4309893846511841,2e-05,1e-06,0.0,0.0007456049861502834,0.04650498484261334,0.04273026390001178,0.0007463845031452365,0.04650677950121462,0.043528942624107,0.0007475399761460721,0.04650846787262708,0.04056151071563363,0.0007485056557925418,0.04651018243748695,0.042074293247424066,0.000824536313302815,867.0
25,detached_warmup,0.3378211734816432,0.5389788150787354,2e-05,1e-06,0.0,0.0007364236444118433,0.041408910183236,0.04410318471491337,0.0007367711659753695,0.04141191183589399,0.043414438143372536,0.0007372970721917227,0.041414887993596494,0.035016056848689914,0.0007378203663392924,0.04141786613035947,0.046685604844242334,0.000950947287492454,778.0
26,detached_warmup,0.1771741472184658,0.5568042993545532,2e-05,1e-06,0.0,0.0005627190912491642,0.02587040001526475,0.016561771975830197,0.0005633851542370394,0.025868047261610627,0.016730963601730764,0.0005642847027047537,0.02586585807148367,0.019512585131451488,0.0005651241153827868,0.025863652816042304,0.018645356758497655,0.0008863892871886492,731.0
27,detached_warmup,0.18592399451881647,0.3702358305454254,2e-05,1e-06,0.0,0.0005623450379061978,0.026821836712770164,0.01617370592430234,0.0005630532068607863,0.026821397012099624,0.014467486180365086,0.0005640361014229711,0.02682104310952127,0.014385834569111466,0.0005649645099765621,0.026820684084668756,0.03135760803706944,0.0009015209507197142,462.0
