step,stage,loss,grad_norm,lr_ssr,lr_heads,lr_backbone,base/k1/edge,base/k1/global,base/k1/local,refined/k1/edge,refined/k1/global,refined/k1/local,refined/k2/edge,refined/k2/global,refined/k2/local,refined/k3/edge,refined/k3/global,refined/k3/local,ssr_max_abs_log_depth_residual,ssr_max_depth_span
1,detached_warmup,0.17380640842020512,0.5933298468589783,2e-05,1e-06,0.0,0.0005475022335303947,0.02355471544433385,0.020711573713924736,0.0005475022335303947,0.02355471544433385,0.018790830275975168,0.0005475022335303947,0.02355471544433385,0.018802080594468862,0.0005475022335303947,0.02355471544433385,0.019093053531832993,0.0,634.0
2,detached_warmup,0.15203975792974234,0.5541377067565918,2e-05,1e-06,0.0,0.000430490337748779,0.02261007105698809,0.016048493678681552,0.00043122488204971887,0.0226073985977564,0.017598887672647834,0.0004331956533860648,0.02260478923562914,0.014005979959620163,0.0004362054569355678,0.022602249053306878,0.012230767635628581,0.00022665344295091927,484.0
3,detached_warmup,0.13243544846773148,0.737953782081604,2e-05,1e-06,0.0,0.0005746458627982065,0.01880433748010546,0.013731420272961259,0.0005756766913691536,0.01880128454649821,0.013424707052763551,0.0005781907384516671,0.018798351171426475,0.014035837957635522,0.0005818085628561676,0.01879546808777377,0.013733723782934248,0.0003542788326740265,695.0
4,detached_warmup,0.2823426406830549,0.4070545732975006,2e-05,1e-06,0.0,0.0007246685527206864,0.03467685519717634,0.034246491151861846,0.0007254527081386186,0.034673895221203566,0.033876994042657316,0.0007273920709849335,0.03467118740081787,0.0339009613962844,0.0007300408396986313,0.034668840235099196,0.03871987236198038,0.0004993296461179852,813.0
5,detached_warmup,0.23487946949899197,0.7460538148880005,2e-05,1e-06,0.0,0.0006386768582160585,0.034105372382327914,0.02309269772376865,0.0006394032097887248,0.03409703681245446,0.0234460704959929,0.0006412721122615039,0.03408716025296599,0.025143726845271885,0.0006439364515244961,0.03407802782021463,0.024266086984425783,0.0005169218056835234,745.0
6,detached_warmup,0.2110159769654274,0.48411718010902405,2e-05,1e-06,0.0,0.0006003830058034509,0.028125058859586716,0.02279686031397432,0.0006016715924488381,0.028124836622737348,0.02331753179896623,0.0006045653099135961,0.028124737204052508,0.02487824356649071,0.0006083146581659093,0.028124880394898355,0.025108894566074014,0.0005830187583342195,596.0
7,detached_warmup,0.1556080779992044,0.4991375803947449,2e-05,1e-06,0.0,0.0004963622504874365,0.026501136511797085,0.01232929527759552,0.0004984147617506096,0.02649513608776033,0.012779364857124165,0.0005027254665037617,0.026489163254154846,0.011484664282761514,0.0005082694260636345,0.02648331192904152,0.011040230776416138,0.0007442495552822948,539.0
8,detached_warmup,0.17949782125651836,0.34998083114624023,2e-05,1e-06,0.0,0.0005346125326468609,0.02747490699402988,0.013758382468950003,0.000537274176167557,0.02746748668141663,0.013981734751723707,0.0005428196418506559,0.02746189630124718,0.01170282787643373,0.0005498055215866771,0.02745532209519297,0.028030749934259802,0.000832055346108973,538.0
9,detached_warmup,0.17513413121923804,0.3240574300289154,2e-05,1e-06,0.0,0.0006298982334556058,0.022337874281220138,0.020519640645943582,0.0006319140302366577,0.02233852574136108,0.02117621264187619,0.000636047112493543,0.022339313989505172,0.021035650570411235,0.0006411647264030762,0.02234041888732463,0.020507469191215932,0.0007408455712720752,494.0
10,detached_warmup,0.2691953172907233,0.35020968317985535,2e-05,1e-06,0.0,0.0006850063728052191,0.030693035922013223,0.037739649531431496,0.0006863131529826205,0.030692482832819223,0.028771901386789978,0.0006892022538522724,0.03069201938342303,0.03903801226988435,0.0006930014205863699,0.030691430089063942,0.038123261416330934,0.0009962605545297265,784.0
11,detached_warmup,0.1914544296450913,0.3082866072654724,2e-05,1e-06,0.0,0.0006094997806940228,0.024529690796043724,0.02288107411004603,0.0006111886468715966,0.024525751534383744,0.02101174561539665,0.0006149872206151485,0.024521805346012115,0.024271787027828395,0.0006198727096489165,0.0245182155049406,0.022738812491297722,0.0007825959473848343,475.0
12,detached_warmup,0.17777541559189558,0.37544745206832886,2e-05,1e-06,0.0,0.0006346590089378878,0.023241312126629055,0.020212116767652333,0.0006362277454172727,0.023244073148816824,0.01958906720392406,0.0006393059375113808,0.02324702765326947,0.020871377200819552,0.0006426906329579651,0.023250150494277477,0.021567405201494694,0.0008038935484364629,586.0
13,detached_warmup,0.22225182969123125,0.5421025156974792,2e-05,1e-06,0.0,0.0006349210052576382,0.027522064570803195,0.02022289502201602,0.0006364452638081275,0.02752987784333527,0.03473173957900144,0.00063933799174265,0.02753890462918207,0.03396992522175424,0.000642529885226395,0.027545843040570617,0.020637351990444586,0.0008534977096132934,574.0
14,detached_warmup,0.24326473008841276,0.3298370838165283,2e-05,1e-06,0.0,0.000658365257550031,0.02964642073493451,0.026079655333887786,0.0006595451341127045,0.029640706430654973,0.024475606915075332,0.0006618698680540547,0.029635320301167667,0.04605430131778121,0.0006646250985795632,0.029630208970047534,0.025458104559220374,0.0007720820140093565,474.0
15,detached_warmup,0.19867339171469212,0.4761291742324829,2e-05,1e-06,0.0,0.0006058015205780976,0.02679162856657058,0.023557158769108355,0.0006074269331293181,0.02678712480701506,0.02143256366252899,0.0006101996477809735,0.026782869128510356,0.022115581203252077,0.0006130581896286458,0.026778602856211364,0.021991381188854575,0.0008548895129933953,598.0
16,detached_warmup,0.2649247385561466,0.450532466173172,2e-05,1e-06,0.0,0.0006281864189077169,0.039279716555029154,0.02125389239517972,0.0006295571092778118,0.03927185933571309,0.021037261001765728,0.0006318729720078409,0.03926426114048809,0.043005619605537504,0.0006343398781609721,0.03925687610171735,0.02003128977958113,0.0008530722698196769,534.0
17,detached_warmup,0.24348358996212482,0.33094292879104614,2e-05,1e-06,0.0,0.0006493519831565209,0.02945633977651596,0.03454434312880039,0.0006501258831121959,0.029457072261720896,0.029574248706921935,0.0006515024797408842,0.02945794421248138,0.030500797205604613,0.0006531150938826613,0.02945899497717619,0.028429751633666456,0.0007960235234349966,873.0
18,detached_warmup,0.2513017295859754,0.3066155016422272,2e-05,1e-06,0.0,0.0006137050004326738,0.03521971596637741,0.026162533671595156,0.0006146690066088922,0.0352185673546046,0.02755074220476672,0.0006161178644106258,0.03521728713531047,0.026839367230422795,0.0006175713133416139,0.035216151271015406,0.027415300137363374,0.0008273993153125048,623.0
19,detached_warmup,0.23977178800851107,0.49831491708755493,2e-05,1e-06,0.0,0.0006846860924270004,0.03156648937147111,0.030088434577919543,0.0006853392915218137,0.031572214036714286,0.027100619161501527,0.0006865589530207217,0.031578158028423786,0.024757409119047225,0.000687780775479041,0.03158432064810768,0.028779768152162433,0.0008710873080417514,717.0
20,detached_warmup,0.20649793068878353,0.6048265695571899,2e-05,1e-06,0.0,0.0005731128567276755,0.02489165629958734,0.03156698163365945,0.0005742960420320742,0.02488694930798374,0.02070987326442264,0.000576134070797707,0.02488225986598991,0.030828345363261178,0.0005779357525170781,0.024877769028535113,0.021552617516135797,0.0009641342330724001,779.0
21,detached_warmup,0.27997079212218523,0.5992469787597656,2e-05,1e-06,0.0,0.0007052437213133089,0.033222380676306784,0.03549685323378071,0.0007057021502987482,0.033219102886505425,0.03609061142196879,0.0007064837554935366,0.03322102886158973,0.04288903542328626,0.000707305473042652,0.03322656138334423,0.02978049369994551,0.0008735012961551547,487.0
22,detached_warmup,0.13959038350731134,0.4443003833293915,2e-05,1e-06,0.0,0.0006027082963555586,0.01900273363571614,0.015281517757102847,0.0006034911384631414,0.01900345494505018,0.01587837585248053,0.0006046817725291476,0.019004435278475285,0.014455535332672298,0.0006057385944586713,0.01900544937234372,0.015542263048700988,0.0009015871910378337,482.0
23,detached_warmup,0.15942977275699377,0.365281343460083,2e-05,1e-06,0.0,0.0005083967516839039,0.01994081004522741,0.0211372806224972,0.0005092638893984258,0.019943124963901937,0.017611214891076088,0.0005105230520712212,0.019945592735894024,0.018686160154175013,0.0005116954343975522,0.0199481489835307,0.02017756341956556,0.0008938581449910998,688.0
24,detached_warmup,0.3579180482774973,0.4436371624469757,2e-05,1e-06,0.0,0.0007455974518961739,0.04650662688072771,0.04272131476318464,0.0007463588699465618,0.046507966821081936,0.04352993529755622,0.0007475489146600012,0.04650969826616347,0.04056418995605782,0.0007485800597351044,0.04651117487810552,0.04207905748626217,0.0009085577330552042,867.0
25,detached_warmup,0.33784145303070545,0.5544627904891968,2e-05,1e-06,0.0,0.0007364219854935072,0.04141104652080685,0.04410161345731467,0.0007366997815552168,0.04141505353618413,0.04341188177932054,0.0007371549654635601,0.041418992448598146,0.035019098315387964,0.0007376356807071716,0.04142318735830486,0.046692658332176507,0.0010005314834415913,778.0
26,detached_warmup,0.17717638984322548,0.5407562255859375,2e-05,1e-06,0.0,0.0005627113787340932,0.025870536919683218,0.016561917145736516,0.0005635518828057684,0.02586717449594289,0.016731377225369215,0.0005646533791150432,0.025863945484161377,0.019520731293596327,0.0005656651228491683,0.025860819849185646,0.01864330843091011,0.0009302377584390342,731.0
27,detached_warmup,0.18593114241957664,0.39490437507629395,2e-05,1e-06,0.0,0.0005623346005450003,0.026821214240044355,0.016172820702195168,0.0005633822147501633,0.02682125649880618,0.014466538676060736,0.0005648937985824887,0.02682209457270801,0.014385162736289203,0.0005660442002408672,0.026822142652235925,0.031363258603960276,0.0009684927063062787,462.0
28,detached_warmup,0.19179190788418055,0.32119810581207275,2e-05,1e-06,0.0,0.000617800498730503,0.02901821315754205,0.020555558905471116,0.0006184857847983949,0.02901523106265813,0.01838508911896497,0.0006195268870214932,0.029012221843004227,0.016495133691933006,0.0006205005483934656,0.029009377001784742,0.01782477053347975,0.0009334521600976586,689.0
29,detached_warmup,0.23207851592451334,0.3884267807006836,2e-05,1e-06,0.0,0.0006165501254145056,0.02514489705208689,0.03232608223333955,0.0006173638248583302,0.025146052008494735,0.03191053494811058,0.0006184101875987835,0.025146425585262477,0.03322760050650686,0.000619254213233944,0.025147353066131473,0.031557997688651085,0.0009697579080238938,472.0
30,detached_warmup,0.2048762384802103,0.34304115176200867,2e-05,1e-06,0.0,0.0005960527014394756,0.02658780268393457,0.023998275166377425,0.0005966635508229956,0.026582317426800728,0.02515507536008954,0.000597450551140355,0.02657694462686777,0.024114823201671243,0.0005981386857456528,0.026571625494398177,0.022901074727997184,0.0009928490035235882,801.0
31,detached_warmup,0.20713398978114128,0.3359982967376709,2e-05,1e-06,0.0,0.0006663949206995312,0.03323568683117628,0.017677059513516724,0.0006670278489764314,0.033232477377168834,0.018121585599146783,0.0006677920755464584,0.033229234628379345,0.017871483811177313,0.0006684148247586563,0.033226261963136494,0.017870574607513845,0.001051199622452259,621.0
32,detached_warmup,0.16204805788584054,0.327513188123703,2e-05,1e-06,0.0,0.0004863402609771583,0.02014614356448874,0.018608640821184963,0.0004876421189692337,0.0201459537493065,0.02139335506944917,0.0004887197792413644,0.020145958347711712,0.021492829109774902,0.0004898447041341569,0.020146133581874892,0.01801650004927069,0.0010245146695524454,801.0
33,detached_warmup,0.1482133073732257,0.36776202917099,2e-05,1e-06,0.0,0.00048336427062167786,0.020204917120281607,0.016902394068893045,0.0004849285487580346,0.020197695470415056,0.015888082125457004,0.00048644728667568415,0.020193336327793077,0.015901645470876247,0.00048760484787635505,0.020189072791254148,0.016793817543657497,0.0010580455418676138,864.0
34,detached_warmup,0.21037609409540892,0.7681761980056763,2e-05,1e-06,0.0,0.0005880337666894775,0.02552428428316489,0.02536516624968499,0.0005889567710255506,0.025521582254441455,0.028099398245103657,0.00058986090880353,0.02551901267725043,0.023321132292039692,0.0005904939571337309,0.02551633308758028,0.02915184886660427,0.0010718933772295713,864.0
35,detached_warmup,0.13825163431465626,0.4366059899330139,2e-05,1e-06,0.0,0.0005273676724755205,0.01756837498396635,0.01637962192762643,0.0005281472840579227,0.017571261152625084,0.016383502690587193,0.0005290061526466161,0.017570694792084396,0.017977674782741815,0.0005297323223203421,0.017572140786796808,0.015114106296095997,0.0010941645596176386,546.0
36,detached_warmup,0.1295798560604453,0.4383922219276428,2e-05,1e-06,0.0,0.0004765952435263898,0.017513107566628605,0.013852744654286653,0.00047738880675751716,0.017517422325909138,0.014661975961644202,0.00047836906742304564,0.017521976376883686,0.013277914957143366,0.00047905436804285273,0.017526537703815848,0.015796769817825407,0.0011251303367316723,683.0
37,detached_warmup,0.12292144261300564,0.4082278907299042,2e-05,1e-06,0.0,0.0005102509167045355,0.014666903065517545,0.016412847326137125,0.0005111389800731558,0.014658964471891522,0.015629631525371224,0.0005122351030877326,0.014651167206466198,0.016286795609630644,0.0005130583995196503,0.01464332197792828,0.013925122853834182,0.001196316909044981,481.0
38,detached_warmup,0.12226654775440693,0.4237825870513916,2e-05,1e-06,0.0,0.0005461960608954541,0.01680808700621128,0.014017826411873102,0.0005474611552926945,0.016808175947517157,0.01262643188238144,0.0005487387534230947,0.01680825650691986,0.012666421505855396,0.0005497143065440468,0.01680870191194117,0.013530536758480594,0.001229461864568293,721.0
39,detached_warmup,0.22146116546355188,0.5083082318305969,2e-05,1e-06,0.0,0.0005847978936799336,0.027780692384112626,0.029860155744245276,0.0005858407457708381,0.02778329508146271,0.029191508423537016,0.0005870523345947731,0.027785793237853795,0.023620765161467716,0.0005878283154743258,0.027788862818852067,0.02530456893146038,0.0012711093295365572,864.0
40,detached_warmup,0.185269420966506,0.557917058467865,2e-05,1e-06,0.0,0.0006230067374417558,0.022407026786822826,0.022457841492723674,0.0006237565430637915,0.02240114175947383,0.023307734343688935,0.0006247125566005707,0.02239535207627341,0.022918238770216703,0.0006253151805140078,0.02238978835521266,0.02449550514575094,0.0013111613225191832,512.0
41,detached_warmup,0.14426145469769835,0.567108154296875,2e-05,1e-06,0.0,0.0004983122998964973,0.01786724480916746,0.01894122379599139,0.0004997120631742291,0.01787386753130704,0.01766268111532554,0.0005011806679249275,0.01788103234139271,0.015289070084691048,0.0005021874785597902,0.01788879226660356,0.018856147478800267,0.0013499901397153735,694.0
42,detached_warmup,0.2608980368822813,0.3546249568462372,2e-05,1e-06,0.0,0.0007061305805109441,0.03513804648537189,0.01990771119017154,0.0007069988932926208,0.035139928688295186,0.037824243074283004,0.0007079765709931962,0.03514204313978553,0.040624126442708075,0.0007087203848641366,0.035144332447089255,0.019147772691212595,0.0013537330087274313,620.0
43,detached_warmup,0.1952483206987381,0.5919721126556396,2e-05,1e-06,0.0,0.0006447710948123131,0.022735851584002376,0.02536276914179325,0.0006456758492277004,0.022740940214134753,0.024952108797151595,0.000646646320092259,0.022746428730897605,0.026284067425876856,0.0006472390086855739,0.022752333199605346,0.025089488946832716,0.0013574869371950626,695.0
44,detached_warmup,0.2217269241809845,0.3895938992500305,2e-05,1e-06,0.0,0.0006101488070271444,0.03058523265644908,0.024274630937725306,0.000611074468906736,0.03058551822323352,0.023849114193581045,0.0006119097379269078,0.030585517175495625,0.023420580429956317,0.0006125564614194445,0.03058595722541213,0.025394680444151163,0.001407973817549646,801.0
45,detached_warmup,0.15896611660718918,0.3403123617172241,2e-05,1e-06,0.0,0.0005787715708720498,0.018529935739934444,0.021171147644054145,0.0005794411554234102,0.018528390442952514,0.019367214117664844,0.0005801310981041752,0.018526986124925315,0.021148637984879315,0.0005804474712931551,0.018525656661950052,0.020849352178629488,0.001367352087981999,589.0
46,detached_warmup,0.26088332291692495,0.28984034061431885,2e-05,1e-06,0.0,0.0007121636754163774,0.03264164243591949,0.02924318637815304,0.0007129983860068023,0.03264206770109013,0.028493071149569005,0.0007137982393032871,0.03264255920657888,0.02949880837695673,0.0007141482346924022,0.032643087732139975,0.04022578854346648,0.0014953191857784986,782.0
47,detached_warmup,0.1651806617155671,0.44809040427207947,2e-05,1e-06,0.0,0.00047975805136957206,0.021982420759741217,0.018210145470220596,0.0004809812326129759,0.02198236616095528,0.020081238937564194,0.00048211296962108463,0.021982537116855383,0.017107749299611896,0.00048261823394568637,0.02198291983222589,0.019925811153370887,0.0014565389137715101,801.0
48,detached_warmup,0.10539935389533639,0.5214011669158936,2e-05,1e-06,0.0,0.0004575740094878711,0.012604721006937325,0.014369851734954864,0.0004593793892126996,0.012602917151525617,0.014274278131779283,0.0004609019888448529,0.012601158581674099,0.013172443839721382,0.0004615942598320544,0.01259962609037757,0.011334908951539546,0.0014136729296296835,683.0
49,detached_warmup,0.21273400145582855,0.3786863684654236,2e-05,1e-06,0.0,0.0005821799641125835,0.025077774276724085,0.025815097498707473,0.000583458437176887,0.025080128718400374,0.025616152677685022,0.0005845990144734969,0.02508261811453849,0.031783097074367106,0.0005851147943758406,0.02508513513021171,0.0268586382153444,0.0014712526462972164,864.0
50,detached_warmup,0.26137069426476955,0.30783021450042725,2e-05,1e-06,0.0,0.000742231397452997,0.03577996091917157,0.028833817457780242,0.0007424926734529436,0.03577829874120653,0.027738014236092567,0.0007427342570736073,0.035776867996901274,0.02663851936813444,0.0007428170356433839,0.03577532968483865,0.03207960817962885,0.0014605418546125293,725.0
51,detached_warmup,0.18832724448293447,0.33381369709968567,2e-05,1e-06,0.0,0.0005812674789922312,0.02438276750035584,0.02933999866945669,0.0005823990904900711,0.02437883906532079,0.015339080768171698,0.0005833794130012393,0.0243753899121657,0.014907557633705437,0.0005837681273987982,0.02437177614774555,0.028901023673824966,0.0014212140813469887,497.0
52,detached_warmup,0.18197367526590824,0.33940044045448303,2e-05,1e-06,0.0,0.0006697167700622231,0.021441498189233243,0.023529645870439708,0.0006703519029542804,0.021440634387545288,0.023350088857114315,0.0006709904337185435,0.021439919131807983,0.022835705894976854,0.0006712995236739516,0.021439410746097565,0.023814410204067826,0.0014409772120416164,734.0
53,detached_warmup,0.15330114401876926,0.4416499137878418,2e-05,1e-06,0.0,0.0004700170029536821,0.021334650256903842,0.013509545009583235,0.0004720669276139233,0.02132815631921403,0.0176179789705202,0.00047366639410029165,0.02132190632983111,0.017617316130781546,0.00047465481839026324,0.02131584458402358,0.01736533991061151,0.0014757708413526416,734.0
54,detached_warmup,0.21218525525182486,0.6220203638076782,2e-05,1e-06,0.0,0.0005671532235282939,0.027512405184097588,0.025111989583820105,0.0005677277767972555,0.02750703610945493,0.025100042403209955,0.000568341652979143,0.027501888223923743,0.02353494835551828,0.0005684792849933729,0.027496768976561725,0.026148474542424083,0.0014817307237535715,734.0
55,detached_warmup,0.14385224739089608,0.4086415469646454,2e-05,1e-06,0.0,0.0005937183159403503,0.01900348369963467,0.01625654980307445,0.0005948722318862565,0.01900931168347597,0.016610643157036975,0.0005960270791547373,0.019015496771316975,0.016647088807076216,0.0005966563476249576,0.01902181058540009,0.015906585700577125,0.0015774406492710114,724.0
56,detached_warmup,0.2884102603420615,0.4578416347503662,2e-05,1e-06,0.0,0.0006150534973130561,0.03779939829837531,0.04497755703050643,0.0006156412673590239,0.03780851513147354,0.043586553540080786,0.0006162594909255859,0.037813556962646544,0.01638427033321932,0.0006164579899632372,0.03781934024300426,0.029757656157016754,0.0015803491696715355,683.0
57,detached_warmup,0.2431861963123083,0.4986761212348938,2e-05,1e-06,0.0,0.0005723204267269466,0.03775305161252618,0.023039441090077162,0.0005729204785893671,0.03774856554809958,0.022932729800231755,0.0005735608101531398,0.03774421161506325,0.022553675225935876,0.000573645706026582,0.037739953957498074,0.021382123115472496,0.0015307238791137934,487.0
58,detached_warmup,0.14619680866599083,0.25755342841148376,2e-05,1e-06,0.0,0.0006036550803401042,0.019237119297031313,0.01753713673679158,0.0006045566115062684,0.01923241961048916,0.01722495595458895,0.0006053414508642163,0.01922809419920668,0.015213311358820647,0.0006057537029846571,0.019223910465370864,0.016880556126125157,0.0015941914170980453,490.0
59,detached_warmup,0.20502443797886372,0.2717789113521576,2e-05,1e-06,0.0,0.0006387041848938679,0.024041361262788996,0.025352642580401152,0.0006407310811482603,0.024036413815338165,0.027627117466181517,0.0006421434518415481,0.024031390756135806,0.024393094703555107,0.000642697857983876,0.024026908591622487,0.02895123144844547,0.001625150442123413,859.0
60,detached_warmup,0.2088298771996051,0.2553836405277252,2e-05,1e-06,0.0,0.000570540960325161,0.022113596700364724,0.027411118760937825,0.0005724315269617364,0.022111885686172172,0.03042676017503254,0.0005738214349548798,0.022110436053480953,0.030019728757906705,0.0005744724367104936,0.022109248908236623,0.03023583724279888,0.0017033446347340941,859.0
61,detached_warmup,0.296735268086195,0.555178701877594,2e-05,1e-06,0.0,0.000620053440798074,0.03502613553428091,0.037911883293418214,0.0006219665592652746,0.03502408915665001,0.037813124421518296,0.0006231603147170972,0.03502197781926952,0.041670675796922296,0.000623520969384117,0.03501996741397306,0.03675872218445875,0.0017734488938003778,859.0
62,detached_warmup,0.2094653150998056,0.24734431505203247,2e-05,1e-06,0.0,0.0006969308669795282,0.02595639560604468,0.027118471160065383,0.0006978652927500661,0.02595512062544003,0.024493099306710064,0.0006985687177802902,0.02595394686795771,0.023848842189181596,0.0006989800167502835,0.025952656869776547,0.027394433156587183,0.0017127507599070668,734.0
63,detached_warmup,0.12641786923632026,0.6362981796264648,2e-05,1e-06,0.0,0.0004142580492043635,0.017127940867794678,0.014616701955674216,0.00041630666055425536,0.01711777620948851,0.01304734978475608,0.00041792868432821706,0.017107742954976857,0.01525070087518543,0.0004190007057331968,0.017097848729463294,0.013384311081608757,0.0016992567107081413,476.0
64,detached_warmup,0.14063081797212362,0.47909000515937805,2e-05,1e-06,0.0,0.00047854488366283476,0.01880078244721517,0.01618037314619869,0.00047985244236770086,0.018806033651344478,0.016064263763837516,0.0004809099991689436,0.01881177449831739,0.01541241115774028,0.0004813386040041223,0.01881782471900806,0.015816708269994706,0.0017601907020434737,699.0
65,detached_warmup,0.25391002162359655,0.4495944380760193,2e-05,1e-06,0.0,0.0006574210565304384,0.034354781004367396,0.02508711171685718,0.00065877412998816,0.03436503151897341,0.024563454237068072,0.000659698143863352,0.034374815004412085,0.03892028328846209,0.0006602503381145652,0.034384684258839116,0.025223721633665264,0.0017610930372029543,618.0
