split,k,objective,sample_count,loss_mean,loss_median,valid_pixels_mean,valid_pixels_median,gradient_abs_mean_mean,gradient_abs_mean_median,gradient_rms_mean,gradient_rms_median,gradient_abs_max_mean,gradient_abs_max_median,gradient_l1_mass_mean,gradient_l1_mass_median,gradient_nonzero_fraction_mean,gradient_nonzero_fraction_median,crop_pixels_mean,crop_pixels_median,crop_pixel_share_mean,crop_pixel_share_median,crop_gradient_mass_share_mean,crop_gradient_mass_share_median,crop_gradient_enrichment_mean,crop_gradient_enrichment_median,structure_pixels_mean,structure_pixels_median,structure_pixel_share_mean,structure_pixel_share_median,structure_gradient_mass_share_mean,structure_gradient_mass_share_median,structure_gradient_enrichment_mean,structure_gradient_enrichment_median,gt_boundary_pixels_mean,gt_boundary_pixels_median,gt_boundary_pixel_share_mean,gt_boundary_pixel_share_median,gt_boundary_gradient_mass_share_mean,gt_boundary_gradient_mass_share_median,gt_boundary_gradient_enrichment_mean,gt_boundary_gradient_enrichment_median,cosine_global_local_mean,cosine_global_local_median,cosine_global_edge_mean,cosine_global_edge_median,cosine_local_edge_mean,cosine_local_edge_median
test,0,combined_paper,1,0.0541165501344949,0.0541165501344949,196608.0,196608.0,6.791289251850685e-06,6.791289251850685e-06,8.233073458541185e-06,8.233073458541185e-06,3.115888830507174e-05,3.115888830507174e-05,1.335221767425537,1.335221767425537,0.9999440908432007,0.9999440908432007,36864.0,36864.0,0.1875,0.1875,0.16644860804080963,0.16644860804080963,0.8877259095509847,0.8877259095509847,18432.0,18432.0,0.09375,0.09375,0.08632311224937439,0.08632311224937439,0.9207798639933268,0.9207798639933268,33719.0,33719.0,0.17150370279947916,0.17150370279947916,0.17329229414463043,0.17329229414463043,1.0104288788869036,1.0104288788869036,0.35734936594963074,0.35734936594963074,0.021881286054849625,0.021881286054849625,0.26778602600097656,0.26778602600097656
test,0,edge_legacy_max,1,0.0006683542742393911,0.0006683542742393911,196608.0,196608.0,2.2193048607732635e-06,2.2193048607732635e-06,3.1408751510753063e-06,3.1408751510753063e-06,1.0996160199283622e-05,1.0996160199283622e-05,0.4363330900669098,0.4363330900669098,0.9988047480583191,0.9988047480583191,36864.0,36864.0,0.1875,0.1875,0.15473325550556183,0.15473325550556183,0.8252440293629965,0.8252440293629965,18432.0,18432.0,0.09375,0.09375,0.06223491579294205,0.06223491579294205,0.6638391017913818,0.6638391017913818,33719.0,33719.0,0.17150370279947916,0.17150370279947916,0.09220822900533676,0.09220822900533676,0.537645703854837,0.537645703854837,0.35734936594963074,0.35734936594963074,0.021881286054849625,0.021881286054849625,0.26778602600097656,0.26778602600097656
test,0,edge_paper_min,1,0.0008911390323191881,0.0008911390323191881,196608.0,196608.0,2.959073299280135e-06,2.959073299280135e-06,4.187833383184625e-06,4.187833383184625e-06,1.4661546629213262e-05,1.4661546629213262e-05,0.5817774534225464,0.5817774534225464,0.9988047480583191,0.9988047480583191,36864.0,36864.0,0.1875,0.1875,0.15473325550556183,0.15473325550556183,0.8252440293629965,0.8252440293629965,18432.0,18432.0,0.09375,0.09375,0.06223491579294205,0.06223491579294205,0.6638391017913818,0.6638391017913818,33719.0,33719.0,0.17150370279947916,0.17150370279947916,0.09220822155475616,0.09220822155475616,0.5376456604121563,0.5376456604121563,0.35734936594963074,0.35734936594963074,0.021881286054849625,0.021881286054849625,0.26778602600097656,0.26778602600097656
test,0,global,1,0.02608947642147541,0.02608947642147541,196608.0,196608.0,2.3677559966017725e-06,2.3677559966017725e-06,2.431999973850907e-06,2.431999973850907e-06,7.459781045326963e-06,7.459781045326963e-06,0.4655197560787201,0.4655197560787201,1.0,1.0,36864.0,36864.0,0.1875,0.1875,0.16979676485061646,0.16979676485061646,0.9055827458699545,0.9055827458699545,18432.0,18432.0,0.09375,0.09375,0.09103237837553024,0.09103237837553024,0.9710120360056559,0.9710120360056559,33719.0,33719.0,0.17150370279947916,0.17150370279947916,0.17031225562095642,0.17031225562095642,0.9930529361228092,0.9930529361228092,0.35734936594963074,0.35734936594963074,0.021881286054849625,0.021881286054849625,0.26778602600097656,0.26778602600097656
test,0,local,1,0.027135934680700302,0.027135934680700302,196608.0,196608.0,4.219371021463303e-06,4.219371021463303e-06,4.926662768411916e-06,4.926662768411916e-06,2.2379341316991486e-05,2.2379341316991486e-05,0.8295620679855347,0.8295620679855347,0.9943898916244507,0.9943898916244507,36864.0,36864.0,0.1875,0.1875,0.16780288517475128,0.16780288517475128,0.8949487209320068,0.8949487209320068,18432.0,18432.0,0.09375,0.09375,0.09206253290176392,0.09206253290176392,0.9820003509521484,0.9820003509521484,33719.0,33719.0,0.17150370279947916,0.17150370279947916,0.19244550168514252,0.19244550168514252,1.1221069781224977,1.1221069781224977,0.35734936594963074,0.35734936594963074,0.021881286054849625,0.021881286054849625,0.26778602600097656,0.26778602600097656
test,3,combined_paper,1,0.059334406396374106,0.059334406396374106,196608.0,196608.0,7.149713837861782e-06,7.149713837861782e-06,8.629901458334643e-06,8.629901458334643e-06,3.211141302017495e-05,3.211141302017495e-05,1.4056909084320068,1.4056909084320068,0.999969482421875,0.999969482421875,36864.0,36864.0,0.1875,0.1875,0.16557194292545319,0.16557194292545319,0.8830503622690836,0.8830503622690836,18432.0,18432.0,0.09375,0.09375,0.08583039790391922,0.08583039790391922,0.9155242443084717,0.9155242443084717,33719.0,33719.0,0.17150370279947916,0.17150370279947916,0.1715601086616516,0.1715601086616516,1.0003288900545686,1.0003288900545686,0.38087978959083557,0.38087978959083557,0.03371917083859444,0.03371917083859444,0.27672356367111206,0.27672356367111206
test,3,edge_legacy_max,1,0.0007496283506043255,0.0007496283506043255,196608.0,196608.0,2.5954548164008884e-06,2.5954548164008884e-06,3.353427246111096e-06,3.353427246111096e-06,1.0542631571297534e-05,1.0542631571297534e-05,0.5102871656417847,0.5102871656417847,0.998992919921875,0.998992919921875,36864.0,36864.0,0.1875,0.1875,0.1624927520751953,0.1624927520751953,0.8666280110677084,0.8666280110677084,18432.0,18432.0,0.09375,0.09375,0.0661737397313118,0.0661737397313118,0.7058532238006592,0.7058532238006592,33719.0,33719.0,0.17150370279947916,0.17150370279947916,0.1019197553396225,0.1019197553396225,0.5942714569771494,0.5942714569771494,0.38087978959083557,0.38087978959083557,0.03371917083859444,0.03371917083859444,0.27672356367111206,0.27672356367111206
test,3,edge_paper_min,1,0.000999504467472434,0.000999504467472434,196608.0,196608.0,3.460606876615202e-06,3.460606876615202e-06,4.471236479730578e-06,4.471236479730578e-06,1.405684270139318e-05,1.405684270139318e-05,0.6803829669952393,0.6803829669952393,0.998992919921875,0.998992919921875,36864.0,36864.0,0.1875,0.1875,0.16249273717403412,0.16249273717403412,0.8666279315948486,0.8666279315948486,18432.0,18432.0,0.09375,0.09375,0.0661737397313118,0.0661737397313118,0.7058532238006592,0.7058532238006592,33719.0,33719.0,0.17150370279947916,0.17150370279947916,0.1019197478890419,0.1019197478890419,0.5942714135344688,0.5942714135344688,0.38087978959083557,0.38087978959083557,0.03371917083859444,0.03371917083859444,0.27672356367111206,0.27672356367111206
test,3,global,1,0.028094802051782608,0.028094802051782608,196608.0,196608.0,2.3322479592025047e-06,2.3322479592025047e-06,2.406360408713226e-06,2.406360408713226e-06,7.0754531407146715e-06,7.0754531407146715e-06,0.45853859186172485,0.45853859186172485,1.0,1.0,36864.0,36864.0,0.1875,0.1875,0.17453569173812866,0.17453569173812866,0.9308570226033529,0.9308570226033529,18432.0,18432.0,0.09375,0.09375,0.0937589704990387,0.0937589704990387,1.0000956853230794,1.0000956853230794,33719.0,33719.0,0.17150370279947916,0.17150370279947916,0.1732354462146759,0.1732354462146759,1.010097411233281,1.010097411233281,0.38087978959083557,0.38087978959083557,0.03371917083859444,0.03371917083859444,0.27672356367111206,0.27672356367111206
test,3,local,1,0.030240099877119064,0.030240099877119064,196608.0,196608.0,4.384392923384439e-06,4.384392923384439e-06,5.09917344970745e-06,5.09917344970745e-06,1.8149259631172754e-05,1.8149259631172754e-05,0.862006664276123,0.862006664276123,0.9952036738395691,0.9952036738395691,36864.0,36864.0,0.1875,0.1875,0.16202905774116516,0.16202905774116516,0.8641549746195475,0.8641549746195475,18432.0,18432.0,0.09375,0.09375,0.08991366624832153,0.08991366624832153,0.9590791066487631,0.9590791066487631,33719.0,33719.0,0.17150370279947916,0.17150370279947916,0.18808577954769135,0.18808577954769135,1.0966864066346127,1.0966864066346127,0.38087978959083557,0.38087978959083557,0.03371917083859444,0.03371917083859444,0.27672356367111206,0.27672356367111206
