split,k,objective,sample_count,loss_mean,loss_median,valid_pixels_mean,valid_pixels_median,gradient_abs_mean_mean,gradient_abs_mean_median,gradient_rms_mean,gradient_rms_median,gradient_abs_max_mean,gradient_abs_max_median,gradient_l1_mass_mean,gradient_l1_mass_median,gradient_nonzero_fraction_mean,gradient_nonzero_fraction_median,crop_pixels_mean,crop_pixels_median,crop_pixel_share_mean,crop_pixel_share_median,crop_gradient_mass_share_mean,crop_gradient_mass_share_median,crop_gradient_enrichment_mean,crop_gradient_enrichment_median,structure_pixels_mean,structure_pixels_median,structure_pixel_share_mean,structure_pixel_share_median,structure_gradient_mass_share_mean,structure_gradient_mass_share_median,structure_gradient_enrichment_mean,structure_gradient_enrichment_median,gt_boundary_pixels_mean,gt_boundary_pixels_median,gt_boundary_pixel_share_mean,gt_boundary_pixel_share_median,gt_boundary_gradient_mass_share_mean,gt_boundary_gradient_mass_share_median,gt_boundary_gradient_enrichment_mean,gt_boundary_gradient_enrichment_median,cosine_global_local_mean,cosine_global_local_median,cosine_global_edge_mean,cosine_global_edge_median,cosine_local_edge_mean,cosine_local_edge_median
test,0,combined_paper,1,0.05233277869410813,0.05233277869410813,196608.0,196608.0,6.7418181970424484e-06,6.7418181970424484e-06,8.175523362297099e-06,8.175523362297099e-06,2.7713525923900306e-05,2.7713525923900306e-05,1.3254953622817993,1.3254953622817993,0.99993896484375,0.99993896484375,36864.0,36864.0,0.1875,0.1875,0.1677032858133316,0.1677032858133316,0.8944175243377686,0.8944175243377686,18432.0,18432.0,0.09375,0.09375,0.08738985657691956,0.08738985657691956,0.9321584701538086,0.9321584701538086,33719.0,33719.0,0.17150370279947916,0.17150370279947916,0.1796303540468216,0.1796303540468216,1.0473846984915776,1.0473846984915776,0.3109150230884552,0.3109150230884552,0.021881286054849625,0.021881286054849625,0.2518382668495178,0.2518382668495178
test,0,edge_legacy_max,1,0.0006683542742393911,0.0006683542742393911,196608.0,196608.0,2.2193048607732635e-06,2.2193048607732635e-06,3.1408751510753063e-06,3.1408751510753063e-06,1.0996160199283622e-05,1.0996160199283622e-05,0.4363330900669098,0.4363330900669098,0.9988047480583191,0.9988047480583191,36864.0,36864.0,0.1875,0.1875,0.15473325550556183,0.15473325550556183,0.8252440293629965,0.8252440293629965,18432.0,18432.0,0.09375,0.09375,0.06223491579294205,0.06223491579294205,0.6638391017913818,0.6638391017913818,33719.0,33719.0,0.17150370279947916,0.17150370279947916,0.09220822900533676,0.09220822900533676,0.537645703854837,0.537645703854837,0.3109150230884552,0.3109150230884552,0.021881286054849625,0.021881286054849625,0.2518382668495178,0.2518382668495178
test,0,edge_paper_min,1,0.0008911390323191881,0.0008911390323191881,196608.0,196608.0,2.959073299280135e-06,2.959073299280135e-06,4.187833383184625e-06,4.187833383184625e-06,1.4661546629213262e-05,1.4661546629213262e-05,0.5817774534225464,0.5817774534225464,0.9988047480583191,0.9988047480583191,36864.0,36864.0,0.1875,0.1875,0.15473325550556183,0.15473325550556183,0.8252440293629965,0.8252440293629965,18432.0,18432.0,0.09375,0.09375,0.06223491579294205,0.06223491579294205,0.6638391017913818,0.6638391017913818,33719.0,33719.0,0.17150370279947916,0.17150370279947916,0.09220822155475616,0.09220822155475616,0.5376456604121563,0.5376456604121563,0.3109150230884552,0.3109150230884552,0.021881286054849625,0.021881286054849625,0.2518382668495178,0.2518382668495178
test,0,global,1,0.02608947642147541,0.02608947642147541,196608.0,196608.0,2.3677559966017725e-06,2.3677559966017725e-06,2.431999973850907e-06,2.431999973850907e-06,7.459781045326963e-06,7.459781045326963e-06,0.4655197560787201,0.4655197560787201,1.0,1.0,36864.0,36864.0,0.1875,0.1875,0.16979676485061646,0.16979676485061646,0.9055827458699545,0.9055827458699545,18432.0,18432.0,0.09375,0.09375,0.09103237837553024,0.09103237837553024,0.9710120360056559,0.9710120360056559,33719.0,33719.0,0.17150370279947916,0.17150370279947916,0.17031225562095642,0.17031225562095642,0.9930529361228092,0.9930529361228092,0.3109150230884552,0.3109150230884552,0.021881286054849625,0.021881286054849625,0.2518382668495178,0.2518382668495178
test,0,local,1,0.02535216324031353,0.02535216324031353,196608.0,196608.0,4.2714500523288734e-06,4.2714500523288734e-06,4.987720330973389e-06,4.987720330973389e-06,1.8164491848438047e-05,1.8164491848438047e-05,0.8398011922836304,0.8398011922836304,0.9983876943588257,0.9983876943588257,36864.0,36864.0,0.1875,0.1875,0.17393532395362854,0.17393532395362854,0.9276550610860189,0.9276550610860189,18432.0,18432.0,0.09375,0.09375,0.09635854512453079,0.09635854512453079,1.0278244813283284,1.0278244813283284,33719.0,33719.0,0.17150370279947916,0.17150370279947916,0.2045924812555313,0.2045924812555313,1.1929333181496338,1.1929333181496338,0.3109150230884552,0.3109150230884552,0.021881286054849625,0.021881286054849625,0.2518382668495178,0.2518382668495178
test,3,combined_paper,1,0.05577684147283435,0.05577684147283435,196608.0,196608.0,7.042533979984e-06,7.042533979984e-06,8.530188097211067e-06,8.530188097211067e-06,3.211133662262e-05,3.211133662262e-05,1.3846185207366943,1.3846185207366943,0.9999186396598816,0.9999186396598816,36864.0,36864.0,0.1875,0.1875,0.1685021072626114,0.1685021072626114,0.8986779054005941,0.8986779054005941,18432.0,18432.0,0.09375,0.09375,0.08572639524936676,0.08572639524936676,0.9144148826599121,0.9144148826599121,33719.0,33719.0,0.17150370279947916,0.17150370279947916,0.17206524312496185,0.17206524312496185,1.0032742169196152,1.0032742169196152,0.33449625968933105,0.33449625968933105,0.0337098091840744,0.0337098091840744,0.28597739338874817,0.28597739338874817
test,3,edge_legacy_max,1,0.0007496476755477488,0.0007496476755477488,196608.0,196608.0,2.5954154807550367e-06,2.5954154807550367e-06,3.3534265639900696e-06,3.3534265639900696e-06,1.0542631571297534e-05,1.0542631571297534e-05,0.5102794170379639,0.5102794170379639,0.998992919921875,0.998992919921875,36864.0,36864.0,0.1875,0.1875,0.16248802840709686,0.16248802840709686,0.8666028181711832,0.8666028181711832,18432.0,18432.0,0.09375,0.09375,0.06616733223199844,0.06616733223199844,0.7057848771413168,0.7057848771413168,33719.0,33719.0,0.17150370279947916,0.17150370279947916,0.10190881043672562,0.10190881043672562,0.594207639679224,0.594207639679224,0.33449625968933105,0.33449625968933105,0.0337098091840744,0.0337098091840744,0.28597739338874817,0.28597739338874817
test,3,edge_paper_min,1,0.0009995303116738796,0.0009995303116738796,196608.0,196608.0,3.4605536711751483e-06,3.4605536711751483e-06,4.471235570235876e-06,4.471235570235876e-06,1.405684270139318e-05,1.405684270139318e-05,0.6803725361824036,0.6803725361824036,0.998992919921875,0.998992919921875,36864.0,36864.0,0.1875,0.1875,0.16248801350593567,0.16248801350593567,0.8666027386983236,0.8666027386983236,18432.0,18432.0,0.09375,0.09375,0.06616733968257904,0.06616733968257904,0.7057849566141764,0.7057849566141764,33719.0,33719.0,0.17150370279947916,0.17150370279947916,0.10190881788730621,0.10190881788730621,0.5942076831219046,0.5942076831219046,0.33449625968933105,0.33449625968933105,0.0337098091840744,0.0337098091840744,0.28597739338874817,0.28597739338874817
test,3,global,1,0.028095271438360214,0.028095271438360214,196608.0,196608.0,2.3322893412114354e-06,2.3322893412114354e-06,2.4063672299234895e-06,2.4063672299234895e-06,7.0754531407146715e-06,7.0754531407146715e-06,0.4585467278957367,0.4585467278957367,1.0,1.0,36864.0,36864.0,0.1875,0.1875,0.17453011870384216,0.17453011870384216,0.9308272997538248,0.9308272997538248,18432.0,18432.0,0.09375,0.09375,0.0937548503279686,0.0937548503279686,1.000051736831665,1.000051736831665,33719.0,33719.0,0.17150370279947916,0.17150370279947916,0.1732412427663803,0.1732412427663803,1.0101312096388535,1.0101312096388535,0.33449625968933105,0.33449625968933105,0.0337098091840744,0.0337098091840744,0.28597739338874817,0.28597739338874817
test,3,local,1,0.026682039722800255,0.026682039722800255,196608.0,196608.0,4.310295480536297e-06,4.310295480536297e-06,5.0296002882532775e-06,5.0296002882532775e-06,1.821430487325415e-05,1.821430487325415e-05,0.8474385142326355,0.8474385142326355,0.9973348379135132,0.9973348379135132,36864.0,36864.0,0.1875,0.1875,0.17078623175621033,0.17078623175621033,0.9108599026997884,0.9108599026997884,18432.0,18432.0,0.09375,0.09375,0.09355461597442627,0.09355461597442627,0.9979159037272135,0.9979159037272135,33719.0,33719.0,0.17150370279947916,0.17150370279947916,0.19378401339054108,0.19378401339054108,1.1299115425928261,1.1299115425928261,0.33449625968933105,0.33449625968933105,0.0337098091840744,0.0337098091840744,0.28597739338874817,0.28597739338874817
