split,objective,parameter_group,batch_count,parameter_numel_mean,parameter_numel_median,parameter_numel_min,parameter_numel_max,active_parameter_numel_mean,active_parameter_numel_median,active_parameter_numel_min,active_parameter_numel_max,active_parameter_tensors_mean,active_parameter_tensors_median,active_parameter_tensors_min,active_parameter_tensors_max,gradient_l2_mean,gradient_l2_median,gradient_l2_min,gradient_l2_max,gradient_rms_mean,gradient_rms_median,gradient_rms_min,gradient_rms_max,gradient_l1_mean,gradient_l1_median,gradient_l1_min,gradient_l1_max,gradient_abs_max_mean,gradient_abs_max_median,gradient_abs_max_min,gradient_abs_max_max,gradient_nonzero_fraction_mean,gradient_nonzero_fraction_median,gradient_nonzero_fraction_min,gradient_nonzero_fraction_max
test,combined_checkpoint,bottleneck,4,28708864.0,28708864.0,28708864.0,28708864.0,28708864.0,28708864.0,28708864.0,28708864.0,13.0,13.0,13.0,13.0,0.1590085491306808,0.15269155690010655,0.14874020871111207,0.18191087401139802,2.9676485738882302e-05,2.8497516866653937e-05,2.7760058856873082e-05,3.3950850365348245e-05,586.6146126331055,568.9809022067132,543.7465246300201,664.7501214889755,0.0005726958406739868,0.0005397032655309886,0.0004818579473067075,0.0007295188843272626,1.0,1.0,1.0,1.0
test,combined_checkpoint,decoder,4,10970880.0,10970880.0,10970880.0,10970880.0,10970880.0,10970880.0,10970880.0,10970880.0,56.0,56.0,56.0,56.0,0.1619057094551642,0.15782077119000504,0.11649758615969472,0.2154837092809519,4.888115189977885e-05,4.764786316331364e-05,3.517192953968417e-05,6.505695173280394e-05,283.70836755814474,276.77779717620894,224.47226640860987,356.80560947155135,0.003143134876154363,0.0025971041759476066,0.001125996233895421,0.0062523349188268185,0.9992532959981333,0.9992532959981333,0.9992532959981333,0.9992532959981333
test,combined_checkpoint,encoder,4,10796800.0,10796800.0,10796800.0,10796800.0,10796800.0,10796800.0,10796800.0,10796800.0,52.0,52.0,52.0,52.0,0.2765136267131247,0.2770059324183646,0.23546045903962756,0.316582182976142,8.41528851334644e-05,8.430271118708808e-05,7.165895293685385e-05,9.634716522282754e-05,536.4593626330378,524.8592051486909,498.631156549587,597.4878836851825,0.004444572608917952,0.0035845350939780474,0.0032582287676632404,0.007350991480052471,0.9992412566686426,0.9992412566686426,0.9992412566686426,0.9992412566686426
test,combined_checkpoint,input_fusion,4,262496.0,262496.0,262496.0,262496.0,262496.0,262496.0,262496.0,262496.0,3.0,3.0,3.0,3.0,0.06067713023722516,0.06015269822946264,0.05004574925845162,0.07235737523152373,0.00011843053398094677,0.00011740693971283961,9.768004493592285e-05,0.000141228211562185,18.42739601137892,18.439053347597504,17.24972310701059,19.581754243310087,0.0022631205793004483,0.0018411300261504948,0.0016069349367171526,0.003763287328183651,1.0,1.0,1.0,1.0
test,combined_checkpoint,output,4,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,2.0,2.0,2.0,2.0,3.8160578577032584,3.637832925319022,1.1510910446949114,6.837474535480078,0.6642904068603052,0.6332654283979945,0.2003792308520856,1.190251539793146,18.371296174358577,17.482507843524218,5.731127462349832,32.78904154803604,1.3928435072302818,1.398635983467102,0.3465622365474701,2.427539825439453,1.0,1.0,1.0,1.0
test,combined_paper,bottleneck,4,28708864.0,28708864.0,28708864.0,28708864.0,28708864.0,28708864.0,28708864.0,28708864.0,13.0,13.0,13.0,13.0,0.15915670511512,0.15285778600287694,0.14894253238634206,0.18196871606838408,2.970413676131712e-05,2.8528540957023434e-05,2.7797819440787765e-05,3.3961645690433835e-05,587.1746221387916,569.6474625500698,544.4483927563643,664.9551706986628,0.0005732172430725768,0.0005403573159128428,0.000482334871776402,0.0007298194686882198,1.0,1.0,1.0,1.0
test,combined_paper,decoder,4,10970880.0,10970880.0,10970880.0,10970880.0,10970880.0,10970880.0,10970880.0,10970880.0,56.0,56.0,56.0,56.0,0.16213753259534816,0.15801450555361607,0.11659491591240134,0.21592620336175922,4.895114190919452e-05,4.7706353743341646e-05,3.520131448504793e-05,6.519054566504687e-05,284.1238314576384,277.14222753678285,224.6601432135982,357.5507275433896,0.0031475488212890923,0.0025979020865634084,0.0011287103407084942,0.006265680771321058,0.9992532959981333,0.9992532959981333,0.9992532959981333,0.9992532959981333
test,combined_paper,encoder,4,10796800.0,10796800.0,10796800.0,10796800.0,10796800.0,10796800.0,10796800.0,10796800.0,52.0,52.0,52.0,52.0,0.27676759767773,0.2771073918014655,0.23586393262645164,0.3169916744815376,8.423017748851293e-05,8.433358886900666e-05,7.178174423220517e-05,9.647178798383323e-05,537.0054115477155,525.4387243271851,499.41235987703647,597.7318376594553,0.004447448125574738,0.0035862599033862352,0.0032644926104694605,0.00735278008505702,0.9992412566686426,0.9992412566686426,0.9992412566686426,0.9992412566686426
test,combined_paper,input_fusion,4,262496.0,262496.0,262496.0,262496.0,262496.0,262496.0,262496.0,262496.0,3.0,3.0,3.0,3.0,0.0607425252187778,0.06028252313330467,0.050091298342931585,0.07231375626557027,0.00011855817288797275,0.00011766033390972936,9.776894832301803e-05,0.00014114307540941427,18.451501321862708,18.473020779503067,17.273057422930375,19.58690630551432,0.002262119989609346,0.0018408976611681283,0.0016044918447732925,0.003762192791327834,1.0,1.0,1.0,1.0
test,combined_paper,output,4,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,2.0,2.0,2.0,2.0,3.856400480481428,3.6738724263226277,1.1793050670481269,6.89855200223233,0.6713131560686338,0.6395391002545152,0.205290661728415,1.20088376203709,18.569583780132234,17.660451717674732,5.8755637891590595,33.08186789602041,1.4067458808422089,1.410019874572754,0.3562065362930298,2.450737237930298,1.0,1.0,1.0,1.0
test,edge_paper,bottleneck,4,28708864.0,28708864.0,28708864.0,28708864.0,28708864.0,28708864.0,28708864.0,28708864.0,13.0,13.0,13.0,13.0,0.002000170293604489,0.0020431084838532735,0.0014346904864930004,0.0024797737202184103,3.7330084148309785e-07,3.8131459041381863e-07,2.6776278379301596e-07,4.6281140131173825e-07,7.2171645713381505,7.424845733500751,5.261812845465023,8.757153972886078,8.728412694836152e-06,8.722923894310952e-06,4.509488007897744e-06,1.2958314982824959e-05,0.9999999825837762,0.9999999825837762,0.9999999651675524,1.0
test,edge_paper,decoder,4,10970880.0,10970880.0,10970880.0,10970880.0,10970880.0,10970880.0,10970880.0,10970880.0,56.0,56.0,56.0,56.0,0.003617603201978797,0.0036502397314856615,0.002754081973872126,0.00441585137107174,1.0921950326774697e-06,1.1020483674466701e-06,8.31488276493218e-07,1.3331951193233205e-06,4.720352973237186,4.577698718597952,3.7286338111673882,5.997380644585452,8.353263729077298e-05,8.259293099399656e-05,5.939268885413185e-05,0.00010955199832096696,0.9992532959981333,0.9992532959981333,0.9992532959981333,0.9992532959981333
test,edge_paper,encoder,4,10796800.0,10796800.0,10796800.0,10796800.0,10796800.0,10796800.0,10796800.0,10796800.0,52.0,52.0,52.0,52.0,0.0033762583457047795,0.0035360689139717827,0.0025288514688204715,0.0039040440860550816,1.0275149334385735e-06,1.076150946622977e-06,7.696190227761417e-07,1.188138817732198e-06,6.964736791782313,7.400845982810766,5.123849242891779,7.933405958615941,4.517967227002373e-05,4.596255166688934e-05,2.976711402880028e-05,5.902647171751596e-05,0.9992412566686426,0.9992412566686426,0.9992412566686426,0.9992412566686426
test,edge_paper,input_fusion,4,262496.0,262496.0,262496.0,262496.0,262496.0,262496.0,262496.0,262496.0,3.0,3.0,3.0,3.0,0.0008278115922177756,0.0008850394568437869,0.00043031980936626295,0.001110847645817266,1.615735096875477e-06,1.7274333024390924e-06,8.399046660014938e-07,2.1681691166222296e-06,0.2524946282406969,0.266119148889018,0.13944545868142155,0.3382947565033301,5.395511152528343e-05,3.429315074754413e-05,1.3559436411014758e-05,0.0001336747081950307,1.0,1.0,1.0,1.0
test,edge_paper,output,4,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,2.0,2.0,2.0,2.0,0.1766065756760164,0.16058998832160015,0.13295510041622946,0.25229122564463585,0.030743258720043496,0.027955128736977045,0.02314451222781165,0.04391826517840825,0.8595727185893338,0.7853510165368789,0.6600561279337853,1.2075327133497922,0.061549426056444645,0.05512688122689724,0.04315377026796341,0.09279017150402069,1.0,1.0,1.0,1.0
test,global,bottleneck,4,28708864.0,28708864.0,28708864.0,28708864.0,28708864.0,28708864.0,28708864.0,28708864.0,13.0,13.0,13.0,13.0,0.12850573728978112,0.12744539411048428,0.116442301157718,0.1426898597804379,2.3983607805329684e-05,2.3785711155050447e-05,2.1732154079776435e-05,2.6630854831441416e-05,472.0721513027398,468.51702057636203,434.6048667551302,516.6496973031051,0.0005286408413667232,0.0004943976528011262,0.00044381810585036874,0.0006819499540142715,1.0,1.0,1.0,1.0
test,global,decoder,4,10970880.0,10970880.0,10970880.0,10970880.0,10970880.0,10970880.0,10970880.0,10970880.0,56.0,56.0,56.0,56.0,0.11604124324178025,0.1127859843160693,0.08975170419498656,0.14884130013999586,3.503415448799495e-05,3.405135526148063e-05,2.7097047415947215e-05,4.4936860013071335e-05,206.93820800481592,201.35727433242835,171.655384598182,253.38289875622502,0.0019735877140192315,0.001513882481958717,0.0009436167892999947,0.003922969102859497,0.9992532732105355,0.9992532959981333,0.9992532048477424,0.9992532959981333
test,global,encoder,4,10796800.0,10796800.0,10796800.0,10796800.0,10796800.0,10796800.0,10796800.0,10796800.0,52.0,52.0,52.0,52.0,0.23695504554470967,0.24162761384458492,0.19851725957763472,0.26604769491203406,7.211380851840059e-05,7.353583645999502e-05,6.041582955902075e-05,8.096773159459163e-05,440.87976455294927,438.6818627692612,392.4329366246634,493.72239604861136,0.003986045834608376,0.0032704605255275965,0.0028154971078038216,0.00658776517957449,0.9992412566686426,0.9992412566686426,0.9992412566686426,0.9992412566686426
test,global,input_fusion,4,262496.0,262496.0,262496.0,262496.0,262496.0,262496.0,262496.0,262496.0,3.0,3.0,3.0,3.0,0.0566471372493217,0.06078490337241735,0.03759441524172612,0.06742432701072598,0.00011056473314905325,0.00011864088720463601,7.33773442213255e-05,0.00013159981396561543,16.146594204643897,16.213935685500523,12.789041733994111,19.36946371358043,0.002055061573628336,0.0017872380558401346,0.001249009044840932,0.0033967611379921436,1.0,1.0,1.0,1.0
test,global,output,4,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,2.0,2.0,2.0,2.0,2.276660132883149,2.2215680432303655,0.48041979087520986,4.183084654196656,0.3963156593400862,0.38672535751162845,0.08363035107028309,0.7281815712668047,10.774668638012372,10.576265594922006,1.9815987567417324,19.964544605463743,0.8809452094137669,0.8835746943950653,0.2415352612733841,1.5150961875915527,1.0,1.0,1.0,1.0
test,local,bottleneck,4,28708864.0,28708864.0,28708864.0,28708864.0,28708864.0,28708864.0,28708864.0,28708864.0,13.0,13.0,13.0,13.0,0.06875742860791435,0.05782588554509779,0.05158892382996329,0.10778901951149854,1.2832510331554723e-05,1.0792306936320684e-05,9.628274521679713e-06,2.011715293189781e-05,255.66694483892692,215.97864239175027,191.43136765781531,399.2791269143919,0.0002013878147408832,0.00015722867101430893,0.00013224508438725024,0.00035884883254766464,0.9999999912918881,1.0,0.9999999651675524,1.0
test,local,decoder,4,10970880.0,10970880.0,10970880.0,10970880.0,10970880.0,10970880.0,10970880.0,10970880.0,56.0,56.0,56.0,56.0,0.06411678280206187,0.0628333837854027,0.055426351332979636,0.07537401230446245,1.9357576765015984e-05,1.8970104189203478e-05,1.6733837910195273e-05,2.2756260771461706e-05,115.65788727626772,118.8322536912565,95.66758044180953,129.29946128074835,0.0013694291992578655,0.0010949476272799075,0.0009984932839870453,0.002289328258484602,0.9992532732105356,0.9992532959981333,0.9992532048477424,0.9992532959981333
test,local,encoder,4,10796800.0,10796800.0,10796800.0,10796800.0,10796800.0,10796800.0,10796800.0,10796800.0,52.0,52.0,52.0,52.0,0.08594547342555053,0.07904892369451638,0.0693898219567099,0.1162942243564595,2.615625001521228e-05,2.4057385795637834e-05,2.1117779206638243e-05,3.539244926293522e-05,195.07334982888443,175.90716386797408,160.09390850030525,268.38516307928444,0.000834416008729022,0.0008753107103984803,0.00043757472303695977,0.0011494678910821676,0.9992412103586248,0.9992412566686426,0.9992410714285714,0.9992412566686426
test,local,input_fusion,4,262496.0,262496.0,262496.0,262496.0,262496.0,262496.0,262496.0,262496.0,3.0,3.0,3.0,3.0,0.01797107199392766,0.016676344889860275,0.013555705222799816,0.024975892973190278,3.507620818799326e-05,3.254914038345436e-05,2.645822901887307e-05,4.8748322966191254e-05,5.657013015222828,5.406021224281609,4.550518231040762,7.265491381287333,0.0006216117617441341,0.0005333453882485628,0.00031455507269129157,0.0011052011977881193,1.0,1.0,1.0,1.0
test,local,output,4,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,2.0,2.0,2.0,2.0,1.5386534130529945,1.3280276697820408,1.0182157007871935,2.480342611860703,0.2678451794724994,0.2311799437999652,0.17724860245032284,0.4317722278397444,7.4315964965790045,6.4021389539702795,4.962322946637869,11.95978513173759,0.5506370961666107,0.4809094965457916,0.3978784680366516,0.842850923538208,1.0,1.0,1.0,1.0
train,combined_checkpoint,bottleneck,4,28708864.0,28708864.0,28708864.0,28708864.0,28708864.0,28708864.0,28708864.0,28708864.0,13.0,13.0,13.0,13.0,0.10907532156198152,0.11869856993906193,0.07705783577863558,0.12184631059116667,2.0357221309766484e-05,2.215325174200093e-05,1.4381652917758574e-05,2.27407288373055e-05,407.053167204649,443.3624637273317,288.29727560775086,453.1904657561817,0.0002985430837725289,0.000315660799969919,0.000193833839148283,0.0003690168960019946,1.0,1.0,1.0,1.0
train,combined_checkpoint,decoder,4,10970880.0,10970880.0,10970880.0,10970880.0,10970880.0,10970880.0,10970880.0,10970880.0,56.0,56.0,56.0,56.0,0.13041271645323457,0.13424759224541882,0.10357325204220277,0.14958242927989776,3.9373063643432976e-05,4.053085571108365e-05,3.1269927928211864e-05,4.5160615223352726e-05,216.25133254387418,225.756270664323,168.39195005307067,245.10083879378007,0.003135532489977777,0.0031594178872182965,0.0025000704918056726,0.0037232236936688423,0.9992532959981333,0.9992532959981333,0.9992532959981333,0.9992532959981333
train,combined_checkpoint,encoder,4,10796800.0,10796800.0,10796800.0,10796800.0,10796800.0,10796800.0,10796800.0,10796800.0,52.0,52.0,52.0,52.0,0.14950395068995417,0.15566609179651647,0.11022112027586807,0.1764624988909157,4.549934460359697e-05,4.7374702280832647e-05,3.3544188704594617e-05,5.370378514812801e-05,329.8754544887512,351.363610173068,234.54234467543182,382.2322529334369,0.001561981363920495,0.0014243065961636603,0.0011782969813793898,0.0022210152819752693,0.9992412566686426,0.9992412566686426,0.9992412566686426,0.9992412566686426
train,combined_checkpoint,input_fusion,4,262496.0,262496.0,262496.0,262496.0,262496.0,262496.0,262496.0,262496.0,3.0,3.0,3.0,3.0,0.02531469114509229,0.023784395702216826,0.018957689318011946,0.03473228385792356,4.9409594325816426e-05,4.642274070007978e-05,3.70019026970996e-05,6.779099320600655e-05,8.811799452565644,8.272554323736983,6.600512914276196,12.10157624851241,0.0010622576955938712,0.0007999131048563868,0.0007394490530714393,0.0019097555195912719,1.0,1.0,1.0,1.0
train,combined_checkpoint,output,4,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,2.0,2.0,2.0,2.0,3.7664217807047424,3.8748524982684924,3.1044698921071876,4.211512234174797,0.6556498749255669,0.6745252400726589,0.5404188418030574,0.7331301777538927,18.11130867083557,18.662075724452734,15.076008930802345,20.045074303634465,1.3319609463214874,1.3288063406944275,1.194697380065918,1.4755337238311768,1.0,1.0,1.0,1.0
train,combined_paper,bottleneck,4,28708864.0,28708864.0,28708864.0,28708864.0,28708864.0,28708864.0,28708864.0,28708864.0,13.0,13.0,13.0,13.0,0.10935227448415268,0.11902025246221216,0.07724400212929373,0.12212459088289264,2.0408910288064116e-05,2.221328880832791e-05,1.4416397987005298e-05,2.2792665548595346e-05,408.0797630896946,444.44863787805957,288.9926036216704,454.42917298098894,0.00029944477864773944,0.0003166597452946007,0.00019480023183859885,0.00036965939216315746,1.0,1.0,1.0,1.0
train,combined_paper,decoder,4,10970880.0,10970880.0,10970880.0,10970880.0,10970880.0,10970880.0,10970880.0,10970880.0,56.0,56.0,56.0,56.0,0.13083509702550766,0.1347076068648034,0.10402351137461309,0.14990166299781071,3.950058508157296e-05,4.066973929068023e-05,3.140586627711819e-05,4.525699546781319e-05,216.88675100955763,226.36567429794388,168.9689421482686,245.8467132940741,0.0031400693114846945,0.0031602124217897654,0.0025074700824916363,0.003732382319867611,0.9992532959981333,0.9992532959981333,0.9992532959981333,0.9992532959981333
train,combined_paper,encoder,4,10796800.0,10796800.0,10796800.0,10796800.0,10796800.0,10796800.0,10796800.0,10796800.0,52.0,52.0,52.0,52.0,0.14991633855963366,0.1560979120478345,0.11058322443681314,0.17688630570605254,4.5624848830784946e-05,4.750612046965547e-05,3.3654389819181905e-05,5.383276456464693e-05,330.76418350406806,352.31996382668996,235.21263175081936,383.20417461207285,0.0015669185086153448,0.001429386844392866,0.0011841218220070004,0.002224778523668647,0.9992412566686426,0.9992412566686426,0.9992412566686426,0.9992412566686426
train,combined_paper,input_fusion,4,262496.0,262496.0,262496.0,262496.0,262496.0,262496.0,262496.0,262496.0,3.0,3.0,3.0,3.0,0.025411192948825004,0.023879781017250915,0.019043180136603898,0.03484202962419428,4.9597947995502316e-05,4.660891519035747e-05,3.716876496063661e-05,6.800519664065772e-05,8.84274419826453,8.30249076106156,6.627423079050849,12.138572191884153,0.0010657991224434227,0.0008026203140616417,0.0007392523111775517,0.0019187035504728556,1.0,1.0,1.0,1.0
train,combined_paper,output,4,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,2.0,2.0,2.0,2.0,3.8305857664750356,3.9424206216328743,3.161177105789754,4.27632471684464,0.6668193911652345,0.686287340605256,0.5502903006366975,0.7444125828137282,18.439359339419752,18.995882471557707,15.391779515892267,20.37389289867133,1.3514114916324615,1.3492259979248047,1.207884669303894,1.4993093013763428,1.0,1.0,1.0,1.0
train,edge_paper,bottleneck,4,28708864.0,28708864.0,28708864.0,28708864.0,28708864.0,28708864.0,28708864.0,28708864.0,13.0,13.0,13.0,13.0,0.0022022080022170766,0.0024237143616958378,0.0012759076658032265,0.002685495619673404,4.110080541527154e-07,4.523487893149535e-07,2.3812842677547635e-07,5.012062112054783e-07,7.949403578865576,8.752099335623278,4.7442320521147225,9.54918359210103,7.582376724712958e-06,7.957602065289393e-06,4.468090537557146e-06,9.9462122307159e-06,0.9999999912918881,1.0,0.9999999651675524,1.0
train,edge_paper,decoder,4,10970880.0,10970880.0,10970880.0,10970880.0,10970880.0,10970880.0,10970880.0,10970880.0,56.0,56.0,56.0,56.0,0.006394121470435806,0.006252335578218877,0.005430343647766864,0.0076414710775386035,1.930457078467412e-06,1.8876503253391624e-06,1.6394817304944937e-06,2.3070459326968306e-06,6.180191447237149,6.251732628958994,4.927073121587795,7.290227409442814,0.0001790577152860351,0.00017034726624842733,0.0001633601204957813,0.0002121762081515044,0.9992532732105355,0.9992532959981333,0.9992532048477424,0.9992532959981333
train,edge_paper,encoder,4,10796800.0,10796800.0,10796800.0,10796800.0,10796800.0,10796800.0,10796800.0,10796800.0,52.0,52.0,52.0,52.0,0.00449195726168137,0.004599198825187103,0.0033531013632519947,0.005416330033099278,1.3670616090789614e-06,1.3996990131827165e-06,1.0204674439258464e-06,1.6483809660245669e-06,7.651706378367976,8.159125791516372,5.061182715795978,9.22739121464318,7.930972788017243e-05,8.184359467122704e-05,5.679945752490312e-05,9.675226465333253e-05,0.9992412566686426,0.9992412566686426,0.9992412566686426,0.9992412566686426
train,edge_paper,input_fusion,4,262496.0,262496.0,262496.0,262496.0,262496.0,262496.0,262496.0,262496.0,3.0,3.0,3.0,3.0,0.0006690116426161596,0.0006438786315277119,0.0004150513677308031,0.0009732379396784112,1.3057869705560657e-06,1.2567319820930844e-06,8.101034923323562e-07,1.8995804257057383e-06,0.205960985001771,0.19984168584012774,0.1360779415074369,0.2880826268193917,4.25818243456888e-05,4.19174484704854e-05,3.936768916901201e-05,4.71247112727724e-05,1.0,1.0,1.0,1.0
train,edge_paper,output,4,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,2.0,2.0,2.0,2.0,0.28213233070009747,0.28440597711793814,0.24586163664721003,0.3138557319173036,0.04911293479759074,0.049508725836480506,0.04279901739697782,0.05463527012042411,1.3844685342082812,1.3817607955934363,1.263987065598485,1.510365480047767,0.0945267528295517,0.09414376690983772,0.08222171664237976,0.10759776085615158,1.0,1.0,1.0,1.0
train,global,bottleneck,4,28708864.0,28708864.0,28708864.0,28708864.0,28708864.0,28708864.0,28708864.0,28708864.0,13.0,13.0,13.0,13.0,0.0713970188352769,0.07504535342195144,0.049491314557661384,0.08600605393954332,1.3325149011468965e-05,1.400605422017656e-05,9.236788202261408e-06,1.6051699403261332e-05,265.698718054398,278.0974743449284,185.7230662961028,320.87685723163224,0.0002134962815034669,0.0002107437831000425,0.00012523835175670683,0.00030725920805707574,0.9999999912918881,1.0,0.9999999651675524,1.0
train,global,decoder,4,10970880.0,10970880.0,10970880.0,10970880.0,10970880.0,10970880.0,10970880.0,10970880.0,56.0,56.0,56.0,56.0,0.08111561545099422,0.0829424819681881,0.06599386764012306,0.09258363022747765,2.44897152401047e-05,2.504126675751615e-05,1.992428975745341e-05,2.795203768793308e-05,136.04937695938412,134.49136977062693,107.91075336160252,167.3040149346801,0.0017106668965425342,0.0017493307823315263,0.0013751491205766797,0.0019688569009304047,0.9992532959981333,0.9992532959981333,0.9992532959981333,0.9992532959981333
train,global,encoder,4,10796800.0,10796800.0,10796800.0,10796800.0,10796800.0,10796800.0,10796800.0,10796800.0,52.0,52.0,52.0,52.0,0.10653466801168367,0.10995230488665934,0.08031314009453465,0.12592092217888134,3.242227078096274e-05,3.346237866564974e-05,2.4442131599160037e-05,3.8322194193391426e-05,224.36095965080887,237.76063670008983,160.46426586469028,261.4582993383656,0.001258342803339474,0.0012122284388169646,0.0008664040942676365,0.0017425102414563298,0.9992412566686426,0.9992412566686426,0.9992412566686426,0.9992412566686426
train,global,input_fusion,4,262496.0,262496.0,262496.0,262496.0,262496.0,262496.0,262496.0,262496.0,3.0,3.0,3.0,3.0,0.01774877845185427,0.016691844698783466,0.01228751990852237,0.025323904501327776,3.4642332314408906e-05,3.257939314327012e-05,2.398296587822225e-05,4.9427577092873135e-05,6.111286830890004,5.665770537199304,4.295939499547217,8.81766674961419,0.0009362737328046933,0.0007421275367960334,0.0005185714107938111,0.0017422684468328953,1.0,1.0,1.0,1.0
train,global,output,4,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,2.0,2.0,2.0,2.0,1.9082574577999107,1.9330906455141315,1.6410316824213265,2.1258168577500527,0.3321849852137874,0.3365078883209869,0.2856669486249397,0.37005721558823634,9.110132947214879,9.301430412335321,7.867173681035638,9.970497283153236,0.700645238161087,0.7124449014663696,0.6299852728843689,0.74770587682724,1.0,1.0,1.0,1.0
train,local,bottleneck,4,28708864.0,28708864.0,28708864.0,28708864.0,28708864.0,28708864.0,28708864.0,28708864.0,13.0,13.0,13.0,13.0,0.045552829467044594,0.04600684236198399,0.032999087703542346,0.05719854544066806,8.501730890793006e-06,8.586465373785266e-06,6.15876920444993e-06,1.0675223611151563e-05,169.46362588520944,170.73547049294518,122.74236469949567,213.6411978554517,0.00011622995771176647,0.00011432848259573802,8.84418623172678e-05,0.00014782100333832204,0.9999999825837762,1.0,0.9999999303351048,1.0
train,local,decoder,4,10970880.0,10970880.0,10970880.0,10970880.0,10970880.0,10970880.0,10970880.0,10970880.0,56.0,56.0,56.0,56.0,0.053636396454919875,0.05580139955807044,0.04054598770250665,0.062396799001032,1.6193430431159345e-05,1.684706918117453e-05,1.2241289022371637e-05,1.8838294339916682e-05,89.73848684410643,95.15376414781024,67.27460549130001,101.3718135895053,0.0014112550707068294,0.001365011790767312,0.001102722599171102,0.0018122741021215916,0.9992532959981333,0.9992532959981333,0.9992532959981333,0.9992532959981333
train,local,encoder,4,10796800.0,10796800.0,10796800.0,10796800.0,10796800.0,10796800.0,10796800.0,10796800.0,52.0,52.0,52.0,52.0,0.05512534810117171,0.05713160807197622,0.04014235537027264,0.06609582089046177,1.6776594853001346e-05,1.7387170783301294e-05,1.2216739770173938e-05,2.011529807522885e-05,130.87519382723798,136.47689839068386,93.72429518295789,156.82268334462626,0.0003946760552935302,0.00038060730730649084,0.00032928099972195923,0.00048820860683918,0.9992412566686426,0.9992412566686426,0.9992412566686426,0.9992412566686426
