split,objective,batch_count,loss_mean,loss_median,loss_min,loss_max,parameter_numel_mean,parameter_numel_median,parameter_numel_min,parameter_numel_max,active_parameter_numel_mean,active_parameter_numel_median,active_parameter_numel_min,active_parameter_numel_max,active_parameter_tensors_mean,active_parameter_tensors_median,active_parameter_tensors_min,active_parameter_tensors_max,gradient_l2_mean,gradient_l2_median,gradient_l2_min,gradient_l2_max,gradient_rms_mean,gradient_rms_median,gradient_rms_min,gradient_rms_max,gradient_l1_mean,gradient_l1_median,gradient_l1_min,gradient_l1_max,gradient_abs_max_mean,gradient_abs_max_median,gradient_abs_max_min,gradient_abs_max_max,gradient_nonzero_fraction_mean,gradient_nonzero_fraction_median,gradient_nonzero_fraction_min,gradient_nonzero_fraction_max,loss_normalized_gradient_rms_mean,loss_normalized_gradient_rms_median,loss_normalized_gradient_rms_min,loss_normalized_gradient_rms_max,cosine_to_paper_combined_mean,cosine_to_paper_combined_median,cosine_to_paper_combined_min,cosine_to_paper_combined_max,projection_fraction_to_paper_combined_mean,projection_fraction_to_paper_combined_median,projection_fraction_to_paper_combined_min,projection_fraction_to_paper_combined_max,cosine_to_checkpoint_combined_mean,cosine_to_checkpoint_combined_median,cosine_to_checkpoint_combined_min,cosine_to_checkpoint_combined_max,projection_fraction_to_checkpoint_combined_mean,projection_fraction_to_checkpoint_combined_median,projection_fraction_to_checkpoint_combined_min,projection_fraction_to_checkpoint_combined_max,max_abs_log_depth_residual_mean,max_abs_log_depth_residual_median,max_abs_log_depth_residual_min,max_abs_log_depth_residual_max
test,combined_checkpoint,4,0.188080295920372,0.20999189466238022,0.08096356689929962,0.251373827457428,50739073.0,50739073.0,50739073.0,50739073.0,50739073.0,50739073.0,50739073.0,50739073.0,126.0,126.0,126.0,126.0,3.841974695578724,3.6533902318612794,1.211105168667138,6.850013149925196,0.0005393655896114235,0.0005128906701952269,0.00017002414256692453,0.0009616568754883156,1443.581035010025,1444.7221229227262,1372.9086594640917,1511.971234730557,1.3928435072302818,1.398635983467102,0.3465622365474701,2.427539825439453,0.9996770930363666,0.9996770930363666,0.9996770930363666,0.9996770930363666,0.0043599687528268994,0.0024429228938886967,0.0006763796545036869,0.011877649569026516,0.9999615679216232,0.9999883568227608,0.9998722931476571,0.9999972648933139,0.9874491262043874,0.990234635697713,0.9781572995852272,0.9911699338368963,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20567921549081802,0.20135727524757385,0.18518708646297455,0.23481522500514984
test,combined_paper,4,0.18888970650732517,0.21082080155611038,0.08156155794858932,0.2523556649684906,50739073.0,50739073.0,50739073.0,50739073.0,50739073.0,50739073.0,50739073.0,50739073.0,126.0,126.0,126.0,126.0,3.8819063571070678,3.6893073380088657,1.237991581468212,6.911019170942329,0.0005449714995590305,0.0005179329863657946,0.00017379866141257848,0.0009702213640919545,1445.3249502461404,1446.729512572707,1375.0773125892588,1512.763463249889,1.4067458808422089,1.410019874572754,0.3562065362930298,2.450737237930298,0.9996770930363666,0.9996770930363666,0.9996770930363666,0.9996770930363666,0.004374684606939423,0.00245723073676296,0.0006887052106964953,0.011895571743535279,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999615679216232,0.9999883568227608,0.9998722931476571,0.9999972648933139,1.0126622349700698,1.0098381852960592,1.008903211907419,1.0220693573807411,0.20567921549081802,0.20135727524757385,0.18518708646297455,0.23481522500514984
test,edge_paper,4,0.0032376457238569856,0.003315616282634437,0.002391974674537778,0.00392737565562129,50739073.0,50739073.0,50739073.0,50739073.0,50739073.0,50739073.0,50739073.0,50739073.0,126.0,126.0,126.0,126.0,0.17669178928932355,0.1606898448553917,0.13301609788251267,0.25237136956399814,2.4805335448774468e-05,2.255886094584003e-05,1.8673810148925327e-05,3.542980975449247e-05,20.01432168318768,20.722322909024825,14.913797486139398,23.698843428561684,0.061549426056444645,0.05512688122689724,0.04315377026796341,0.09279017150402069,0.9996770831820282,0.9996770831820282,0.9996770733276897,0.9996770930363666,0.008282417139637215,0.006781468807292013,0.004754780745813639,0.014811950198151192,0.8944275197450612,0.8986600717761573,0.8131667790462598,0.9672231563816706,0.050203518765107154,0.03906149315609145,0.03532032347361756,0.08737076527462814,0.890866108880082,0.8965382080185785,0.8037614070415217,0.9666266124416494,0.050648963604665295,0.039352777542623875,0.03561290711413759,0.08827739221927583,0.20567921549081802,0.20135727524757385,0.18518708646297455,0.23481522500514984
test,global,4,0.08696512132883072,0.09385183453559875,0.045807868242263794,0.11434894800186157,50739073.0,50739073.0,50739073.0,50739073.0,50739073.0,50739073.0,50739073.0,50739073.0,126.0,126.0,126.0,126.0,2.312787412933938,2.23907517114008,0.5770593690438313,4.195939940411759,0.0003246866638810822,0.0003143383794942859,8.101197729992819e-05,0.0005890579192358288,1146.8113867031616,1167.3767887654435,1030.47144705944,1222.020522222319,0.8809452094137669,0.8835746943950653,0.2415352612733841,1.5150961875915527,0.9996770881091974,0.9996770930363666,0.9996770733276897,0.9996770930363666,0.005050583257770261,0.003317276386499468,0.0007084628124310276,0.012859317445651077,0.8411035757692262,0.9947677057247892,0.37624823308758976,0.9986306585397372,0.49436473717368234,0.5729288697177126,0.17537887271566704,0.6562223365436369,0.8438440628281683,0.9950487882595468,0.3865721137852891,0.9987065610082907,0.5009550231926388,0.5784256096926801,0.18419132032636004,0.6627775530588351,0.20567921549081802,0.20135727524757385,0.18518708646297455,0.23481522500514984
test,local,4,0.09868693351745605,0.11365333944559097,0.03336171805858612,0.13407933712005615,50739073.0,50739073.0,50739073.0,50739073.0,50739073.0,50739073.0,50739073.0,50739073.0,126.0,126.0,126.0,126.0,1.5453771669885104,1.3324888684841532,1.0329087353876387,2.4836221955980964,0.00021695178466531623,0.00018706490832115044,0.00014500757376623591,0.00034866974825272813,579.4867914558808,524.8839285737686,458.9877430736368,809.1915656023497,0.5506370961666107,0.4809094965457916,0.3978784680366516,0.842850923538208,0.9996770733276897,0.9996770733276897,0.9996770536190127,0.9996770930363666,0.003718363325583211,0.0016703773669909956,0.0010815057478722058,0.010451192820478648,0.9646381938736084,0.9888495430174118,0.8836305609648947,0.9972231284947148,0.4554317432168156,0.3895235298740207,0.3054295642972369,0.737250348821984,0.9633129212812377,0.9885913815836576,0.8789210198428047,0.997147902114831,0.4610582472763938,0.3931784936834912,0.3082753703495288,0.7496006313890636,0.20567921549081802,0.20135727524757385,0.18518708646297455,0.23481522500514984
train,combined_checkpoint,4,0.027338719926774502,0.026925500482320786,0.023822952061891556,0.03168092668056488,50739073.0,50739073.0,50739073.0,50739073.0,50739073.0,50739073.0,50739073.0,50739073.0,126.0,126.0,126.0,126.0,3.7733444624969588,3.882261713233025,3.1091649568545963,4.219689466667188,0.0005297307562081963,0.0005450213871511117,0.00043648819240868253,0.0005923920581218795,980.1030623606757,1049.6586072273772,712.908092181332,1108.1869428066161,1.3319609463214874,1.3288063406944275,1.194697380065918,1.4755337238311768,0.9996770930363666,0.9996770930363666,0.9996770930363666,0.9996770930363666,0.019826693419608726,0.02033134910715883,0.013777633363119157,0.02486644210099809,0.9999699374252417,0.9999710070127057,0.9999634336207432,0.9999743020548115,0.9831700501335391,0.9828688251295385,0.9820755133570097,0.9848670369180694,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.28106895834207535,0.26721128821372986,0.2616155743598938,0.3282376825809479
train,combined_paper,4,0.027815985959023237,0.02740701287984848,0.0243061613291502,0.03214375674724579,50739073.0,50739073.0,50739073.0,50739073.0,50739073.0,50739073.0,50739073.0,50739073.0,126.0,126.0,126.0,126.0,3.837431926558106,3.94974512074885,3.1658205118404137,4.2844169528943095,0.0005387278411915565,0.0005544952204706406,0.00044444192954673647,0.0006014789942782087,983.0128011410047,1052.8050249871862,715.1933801157012,1111.247774473945,1.3514114916324615,1.3492259979248047,1.207884669303894,1.4993093013763428,0.9996770930363666,0.9996770930363666,0.9996770930363666,0.9996770930363666,0.019803155798586478,0.020319990166325616,0.01382669527527513,0.024745947586419556,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999699374252417,0.9999710070127057,0.9999634336207432,0.9999743020548115,1.0170580406349352,1.017363135091013,1.0153133035085964,1.0181925888491181,0.28106895834207535,0.26721128821372986,0.2616155743598938,0.3282376825809479
train,edge_paper,4,0.0019090650603175163,0.001907692407257855,0.0018513284157961607,0.0019695470109581947,50739073.0,50739073.0,50739073.0,50739073.0,50739073.0,50739073.0,50739073.0,50739073.0,126.0,126.0,126.0,126.0,0.2822508030669313,0.28452406033772787,0.24594820147157231,0.314006890120697,3.962451157986128e-05,3.9943648702136624e-05,3.45280766302917e-05,4.408267228488019e-05,23.37173092368075,24.954114030539955,16.140093505773564,27.438602127869533,0.0945267528295517,0.09414376690983772,0.08222171664237976,0.10759776085615158,0.9996770831820282,0.9996770930363666,0.9996770536190127,0.9996770930363666,0.02075390361987013,0.020474349824824777,0.018650433027271908,0.023416481802559057,0.9106852646484364,0.9123462712230992,0.8951610756483096,0.9228874404992372,0.06731977132933761,0.06852468599058767,0.060531869032444695,0.07169784430373041,0.9074612330086257,0.9093000651548475,0.8913164880470001,0.9199283136778073,0.06823213366016417,0.06945252639288284,0.06125323088026124,0.07277025097462983,0.28106895834207535,0.26721128821372986,0.2616155743598938,0.3282376825809479
train,global,4,0.012394645251333714,0.01248459005728364,0.01060854084789753,0.014000860042870045,50739073.0,50739073.0,50739073.0,50739073.0,50739073.0,50739073.0,50739073.0,50739073.0,126.0,126.0,126.0,126.0,1.9144110490831239,1.939754283122491,1.6451111655783823,2.133024464509132,0.00026875956404283537,0.00027231743973265546,0.00023095320092025287,0.00029945017578577774,641.3304744426956,665.444493567265,466.2611987029785,768.1717119332741,0.700645238161087,0.7124449014663696,0.6299852728843689,0.74770587682724,0.9996770881091974,0.9996770930363666,0.9996770733276897,0.9996770930363666,0.02210257452791383,0.02184369076347975,0.016495643854240658,0.028227272730455173,0.9956870622371718,0.9961550920418347,0.9934697902200069,0.9969682746450113,0.4991315274925864,0.506338760868887,0.44145395318838987,0.5423946350441816,0.9961853538174741,0.9966559297282035,0.9940575375989397,0.9973720182145498,0.5079267661223504,0.5151077842143346,0.4492538528273317,0.5522376432334007,0.28106895834207535,0.26721128821372986,0.2616155743598938,0.3282376825809479
train,local,4,0.013512276113033295,0.01299637509509921,0.011764786206185818,0.01629156805574894,50739073.0,50739073.0,50739073.0,50739073.0,50739073.0,50739073.0,50739073.0,50739073.0,126.0,126.0,126.0,126.0,1.6793793236514074,1.6849325816265717,1.301656507516469,2.0459956238360175,0.0002357640252354741,0.00023654363376998257,0.00018273642730028776,0.0002872324061016434,401.39513808164406,414.9283068943429,292.7918701771183,482.93206836077206,0.5873226299881935,0.5889950692653656,0.4777657687664032,0.6935346126556396,0.9996770831820282,0.9996770930363666,0.9996770536190127,0.9996770930363666,0.01801238557174412,0.01899816189705773,0.011216626089948662,0.02283659240291236,0.9971604189161941,0.9969578814402743,0.9959356148654337,0.9987902979187939,0.43354870097905823,0.4275463877848479,0.38809423367036755,0.4910077946761695,0.9970634473070441,0.9968685686499406,0.995679768559308,0.9988368833689878,0.44089914061994584,0.43463342639652014,0.39488405102149976,0.4994456586652433,0.28106895834207535,0.26721128821372986,0.2616155743598938,0.3282376825809479
val,combined_checkpoint,4,0.13068346865475178,0.0785587914288044,0.058718472719192505,0.3068978190422058,50739073.0,50739073.0,50739073.0,50739073.0,50739073.0,50739073.0,50739073.0,50739073.0,126.0,126.0,126.0,126.0,4.409094909664844,4.518280206683439,3.643100723360231,4.9567185019322695,0.0006189822328452075,0.0006343104941612186,0.0005114461508375469,0.0006958617922208461,1629.8884941059341,1635.5220901407552,1297.3363244721036,1951.1734716701226,1.5605217218399048,1.6204656958580017,1.2359286546707153,1.7652268409729004,0.9996770930363666,0.9996770930363666,0.9996770930363666,0.9996770930363666,0.007180941023736395,0.007450979744607062,0.0019709890106351076,0.01185081559509635,0.9999816923977931,0.9999830554728846,0.9999721459582932,0.99998851268711,0.9878811865786057,0.9883921962455272,0.9852239463460278,0.9895164074773405,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.251275185495615,0.2524413615465164,0.18900026381015778,0.3112177550792694
val,combined_paper,4,0.1312838550657034,0.07915223762392998,0.05925557017326355,0.30757537484169006,50739073.0,50739073.0,50739073.0,50739073.0,50739073.0,50739073.0,50739073.0,50739073.0,126.0,126.0,126.0,126.0,4.46238217254567,4.571361700096954,3.6976357119534073,5.009169578035363,0.0006264631035535884,0.0006417624773888497,0.0005191021867585697,0.0007032252726780846,1633.2217426749003,1640.1889225018767,1299.157908120857,1953.3512175749916,1.5794335305690765,1.6396159529685974,1.25626802444458,1.7822341918945312,0.9996770930363666,0.9996770930363666,0.9996770930363666,0.9996770930363666,0.0072114331502104246,0.007494609784603646,0.001988847753554208,0.0118676652780802,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999816923977931,0.9999830554728846,0.9999721459582932,0.99998851268711,1.0122331567626075,1.011711271642754,1.0105689666706803,1.014941117094241,0.251275185495615,0.2524413615465164,0.18900026381015778,0.3112177550792694
val,edge_paper,4,0.00240157637745142,0.002373790368437767,0.002148399129509926,0.0027103256434202194,50739073.0,50739073.0,50739073.0,50739073.0,50739073.0,50739073.0,50739073.0,50739073.0,126.0,126.0,126.0,126.0,0.23728636128177638,0.23837483383264702,0.2248882459243177,0.2475075315374938,3.331206171315402e-05,3.3464869757374565e-05,3.157152010897803e-05,3.474698722888893e-05,28.651303227514717,25.156596451616338,22.41855501311214,41.873464993714045,0.08389352820813656,0.08313735201954842,0.08201396465301514,0.08728544414043427,0.9996770881091974,0.9996770930363666,0.9996770733276897,0.9996770930363666,0.013986072480477162,0.014547048242830833,0.011648607681377075,0.015201585754869905,0.8988695881138441,0.8991014904171345,0.8667519259227923,0.9305234456983156,0.0484752372308895,0.046431185735285874,0.041934389028206696,0.05910418842477955,0.8962298294922577,0.8963370398713411,0.8634878961222461,0.9287573421041028,0.04893261038321873,0.046845056938308455,0.042275885701884786,0.05976444195437323,0.251275185495615,0.2524413615465164,0.18900026381015778,0.3112177550792694
