split_pair,left_split,right_split,objective,parameter_scope,cosine
train_val,train,val,global,all,0.9875521847676533
train_val,train,val,global,non_output,0.3441380669827448
train_val,train,val,global,output,0.9917182593567191
train_val,train,val,local,all,0.9965844889394039
train_val,train,val,local,non_output,0.5436727015952089
train_val,train,val,local,output,0.997401893532779
train_val,train,val,edge_paper,all,0.964426908968769
train_val,train,val,edge_paper,non_output,0.4076161861073437
train_val,train,val,edge_paper,output,0.9646915293425429
train_val,train,val,combined_paper,all,0.9947701913168349
train_val,train,val,combined_paper,non_output,0.4459960771305068
train_val,train,val,combined_paper,output,0.9964741042369488
train_test,train,test,global,all,0.9887171567504013
train_test,train,test,global,non_output,0.3416558836855584
train_test,train,test,global,output,0.9913949442137667
train_test,train,test,local,all,0.9917909996053125
train_test,train,test,local,non_output,0.3786764837956131
train_test,train,test,local,output,0.9932674051912291
train_test,train,test,edge_paper,all,0.9665649149532168
train_test,train,test,edge_paper,non_output,0.31132763408796355
train_test,train,test,edge_paper,output,0.9668411346582393
train_test,train,test,combined_paper,all,0.9940180042321215
train_test,train,test,combined_paper,non_output,0.4470716641931036
train_test,train,test,combined_paper,output,0.9952860299156114
val_test,val,test,global,all,0.9890409984755326
val_test,val,test,global,non_output,0.2311862842181501
val_test,val,test,global,output,0.994576675355571
val_test,val,test,local,all,0.9958687755773661
val_test,val,test,local,non_output,0.4752816604307806
val_test,val,test,local,output,0.9972774630018887
val_test,val,test,edge_paper,all,0.9911814874900337
val_test,val,test,edge_paper,non_output,0.5901883374731499
val_test,val,test,edge_paper,output,0.9913777707829329
val_test,val,test,combined_paper,all,0.994979006231138
val_test,val,test,combined_paper,non_output,0.330194466948782
val_test,val,test,combined_paper,output,0.9973071955722694
