batch_id,split,pair_index,sample_ids,objective,parameter_group,parameter_numel,active_parameter_numel,active_parameter_tensors,gradient_l2,gradient_rms,gradient_l1,gradient_abs_max,gradient_nonzero_fraction
train_effective_08,train,-1,ai_001_001_cam_00_frame.0000|ai_001_001_cam_00_frame.0014|ai_001_001_cam_00_frame.0028|ai_001_001_cam_00_frame.0043|ai_001_001_cam_00_frame.0056|ai_001_001_cam_00_frame.0071|ai_001_001_cam_00_frame.0085|ai_001_001_cam_00_frame.0099,global,bottleneck,28708864,28708864,13,0.04342200759657515,8.10404595374528e-06,164.97395707195787,0.00012099652667529881,1.0
train_effective_08,train,-1,ai_001_001_cam_00_frame.0000|ai_001_001_cam_00_frame.0014|ai_001_001_cam_00_frame.0028|ai_001_001_cam_00_frame.0043|ai_001_001_cam_00_frame.0056|ai_001_001_cam_00_frame.0071|ai_001_001_cam_00_frame.0085|ai_001_001_cam_00_frame.0099,global,decoder,10970880,10970880,56,0.0653874836110972,1.974121560934487e-05,106.13934758767893,0.0017106668092310429,0.9992532959981333
train_effective_08,train,-1,ai_001_001_cam_00_frame.0000|ai_001_001_cam_00_frame.0014|ai_001_001_cam_00_frame.0028|ai_001_001_cam_00_frame.0043|ai_001_001_cam_00_frame.0056|ai_001_001_cam_00_frame.0071|ai_001_001_cam_00_frame.0085|ai_001_001_cam_00_frame.0099,global,encoder,10796800,10796800,52,0.06123774062434108,1.8636812275221076e-05,131.08933159969672,0.0007117082714103162,0.9992412566686426
train_effective_08,train,-1,ai_001_001_cam_00_frame.0000|ai_001_001_cam_00_frame.0014|ai_001_001_cam_00_frame.0028|ai_001_001_cam_00_frame.0043|ai_001_001_cam_00_frame.0056|ai_001_001_cam_00_frame.0071|ai_001_001_cam_00_frame.0085|ai_001_001_cam_00_frame.0099,global,input_fusion,262496,262496,3,0.010584089998192523,2.065818579896078e-05,3.76162173520272,0.0005406861891970038,1.0
train_effective_08,train,-1,ai_001_001_cam_00_frame.0000|ai_001_001_cam_00_frame.0014|ai_001_001_cam_00_frame.0028|ai_001_001_cam_00_frame.0043|ai_001_001_cam_00_frame.0056|ai_001_001_cam_00_frame.0071|ai_001_001_cam_00_frame.0085|ai_001_001_cam_00_frame.0099,global,output,33,33,2,1.8904110242596759,0.3290783198959342,8.956508403643966,0.6680490970611572,1.0
train_effective_08,train,-1,ai_001_001_cam_00_frame.0000|ai_001_001_cam_00_frame.0014|ai_001_001_cam_00_frame.0028|ai_001_001_cam_00_frame.0043|ai_001_001_cam_00_frame.0056|ai_001_001_cam_00_frame.0071|ai_001_001_cam_00_frame.0085|ai_001_001_cam_00_frame.0099,local,bottleneck,28708864,28708864,13,0.02752262660205522,5.13667246395167e-06,103.8199102994339,7.900546188466251e-05,0.9999999651675524
train_effective_08,train,-1,ai_001_001_cam_00_frame.0000|ai_001_001_cam_00_frame.0014|ai_001_001_cam_00_frame.0028|ai_001_001_cam_00_frame.0043|ai_001_001_cam_00_frame.0056|ai_001_001_cam_00_frame.0071|ai_001_001_cam_00_frame.0085|ai_001_001_cam_00_frame.0099,local,decoder,10970880,10970880,56,0.0466058394044778,1.4070826303860861e-05,72.14767400033077,0.0014112550998106599,0.9992532959981333
train_effective_08,train,-1,ai_001_001_cam_00_frame.0000|ai_001_001_cam_00_frame.0014|ai_001_001_cam_00_frame.0028|ai_001_001_cam_00_frame.0043|ai_001_001_cam_00_frame.0056|ai_001_001_cam_00_frame.0071|ai_001_001_cam_00_frame.0085|ai_001_001_cam_00_frame.0099,local,encoder,10796800,10796800,52,0.030741597902272134,9.355756487809523e-06,73.83248509394058,0.00020609816419892013,0.9992412566686426
train_effective_08,train,-1,ai_001_001_cam_00_frame.0000|ai_001_001_cam_00_frame.0014|ai_001_001_cam_00_frame.0028|ai_001_001_cam_00_frame.0043|ai_001_001_cam_00_frame.0056|ai_001_001_cam_00_frame.0071|ai_001_001_cam_00_frame.0085|ai_001_001_cam_00_frame.0099,local,input_fusion,262496,262496,3,0.006009536712432766,1.1729504000090024e-05,2.0203581727905213,0.00013763671449851245,1.0
train_effective_08,train,-1,ai_001_001_cam_00_frame.0000|ai_001_001_cam_00_frame.0014|ai_001_001_cam_00_frame.0028|ai_001_001_cam_00_frame.0043|ai_001_001_cam_00_frame.0056|ai_001_001_cam_00_frame.0071|ai_001_001_cam_00_frame.0085|ai_001_001_cam_00_frame.0099,local,output,33,33,2,1.6712783921652237,0.2909322249575297,8.005355264991522,0.571491539478302,1.0
