split,gradient_pair,parameter_scope,cosine
train,global_local,non_output,0.77888363436693
train,global_local,output,0.9943825924724492
train,global_edge,non_output,0.25826286965215106
train,global_edge,output,0.9252630653110198
train,local_edge,non_output,0.3383450780035634
train,local_edge,output,0.9436829219895739
val,global_local,non_output,0.6374526055636477
val,global_local,output,0.9871490566851676
val,global_edge,non_output,0.33222224482674084
val,global_edge,output,0.9202529544384414
val,local_edge,non_output,0.36821661899326524
val,local_edge,output,0.9505876514621198
test,global_local,non_output,0.3608485452900895
test,global_local,output,0.9910260635712431
test,global_edge,non_output,0.31148263436131113
test,global_edge,output,0.9493951341551385
test,local_edge,non_output,0.16037164894435402
test,local_edge,output,0.958750868634591
