batch_id,split,pair_index,sample_ids,gradient_pair,left_objective,right_objective,cosine
train_00,train,0,ai_001_001_cam_00_frame.0000|ai_001_001_cam_00_frame.0014,global_local,global,local,0.9856752986143485
train_00,train,0,ai_001_001_cam_00_frame.0000|ai_001_001_cam_00_frame.0014,global_edge,global,edge_paper,0.8881940803193782
train_00,train,0,ai_001_001_cam_00_frame.0000|ai_001_001_cam_00_frame.0014,local_edge,local,edge_paper,0.9216190552199723
train_01,train,1,ai_001_001_cam_00_frame.0028|ai_001_001_cam_00_frame.0043,global_local,global,local,0.9803315961243859
train_01,train,1,ai_001_001_cam_00_frame.0028|ai_001_001_cam_00_frame.0043,global_edge,global,edge_paper,0.8641250326593694
train_01,train,1,ai_001_001_cam_00_frame.0028|ai_001_001_cam_00_frame.0043,local_edge,local,edge_paper,0.9161100276374181
train_02,train,2,ai_001_001_cam_00_frame.0056|ai_001_001_cam_00_frame.0071,global_local,global,local,0.9932917781893184
train_02,train,2,ai_001_001_cam_00_frame.0056|ai_001_001_cam_00_frame.0071,global_edge,global,edge_paper,0.8629469321642621
train_02,train,2,ai_001_001_cam_00_frame.0056|ai_001_001_cam_00_frame.0071,local_edge,local,edge_paper,0.8897463433390114
train_03,train,3,ai_001_001_cam_00_frame.0085|ai_001_001_cam_00_frame.0099,global_local,global,local,0.9911968218513945
train_03,train,3,ai_001_001_cam_00_frame.0085|ai_001_001_cam_00_frame.0099,global_edge,global,edge_paper,0.8982119162710384
train_03,train,3,ai_001_001_cam_00_frame.0085|ai_001_001_cam_00_frame.0099,local_edge,local,edge_paper,0.920434304224041
val_00,val,0,ai_043_002_cam_00_frame.0000|ai_043_002_cam_00_frame.0014,global_local,global,local,0.9732959369959232
val_00,val,0,ai_043_002_cam_00_frame.0000|ai_043_002_cam_00_frame.0014,global_edge,global,edge_paper,0.8676299685285577
val_00,val,0,ai_043_002_cam_00_frame.0000|ai_043_002_cam_00_frame.0014,local_edge,local,edge_paper,0.9148275269585446
val_01,val,1,ai_043_002_cam_00_frame.0028|ai_043_002_cam_00_frame.0042,global_local,global,local,0.9819365660133835
val_01,val,1,ai_043_002_cam_00_frame.0028|ai_043_002_cam_00_frame.0042,global_edge,global,edge_paper,0.9069395993121774
val_01,val,1,ai_043_002_cam_00_frame.0028|ai_043_002_cam_00_frame.0042,local_edge,local,edge_paper,0.9343890312586389
val_02,val,2,ai_043_002_cam_00_frame.0057|ai_043_002_cam_00_frame.0071,global_local,global,local,0.8987501211023413
val_02,val,2,ai_043_002_cam_00_frame.0057|ai_043_002_cam_00_frame.0071,global_edge,global,edge_paper,0.7628178621875028
val_02,val,2,ai_043_002_cam_00_frame.0057|ai_043_002_cam_00_frame.0071,local_edge,local,edge_paper,0.9037652066101796
val_03,val,3,ai_043_002_cam_00_frame.0085|ai_043_002_cam_00_frame.0099,global_local,global,local,0.9283255535049211
val_03,val,3,ai_043_002_cam_00_frame.0085|ai_043_002_cam_00_frame.0099,global_edge,global,edge_paper,0.8155420265398028
val_03,val,3,ai_043_002_cam_00_frame.0085|ai_043_002_cam_00_frame.0099,local_edge,local,edge_paper,0.9150245719941583
test_00,test,0,ai_046_001_cam_00_frame.0000|ai_046_001_cam_00_frame.0014,global_local,global,local,0.9755301442258782
test_00,test,0,ai_046_001_cam_00_frame.0000|ai_046_001_cam_00_frame.0014,global_edge,global,edge_paper,0.9004459630631709
test_00,test,0,ai_046_001_cam_00_frame.0000|ai_046_001_cam_00_frame.0014,local_edge,local,edge_paper,0.9380631047381156
test_01,test,1,ai_046_001_cam_00_frame.0028|ai_046_001_cam_00_frame.0042,global_local,global,local,0.992101410912182
test_01,test,1,ai_046_001_cam_00_frame.0028|ai_046_001_cam_00_frame.0042,global_edge,global,edge_paper,0.9573614742953809
test_01,test,1,ai_046_001_cam_00_frame.0028|ai_046_001_cam_00_frame.0042,local_edge,local,edge_paper,0.9724084364569943
test_02,test,2,ai_046_001_cam_00_frame.0057|ai_046_001_cam_00_frame.0071,global_local,global,local,-0.09847710075816189
test_02,test,2,ai_046_001_cam_00_frame.0057|ai_046_001_cam_00_frame.0071,global_edge,global,edge_paper,-0.07179105569747483
test_02,test,2,ai_046_001_cam_00_frame.0057|ai_046_001_cam_00_frame.0071,local_edge,local,edge_paper,0.8859497302512159
test_03,test,3,ai_046_001_cam_00_frame.0085|ai_046_001_cam_00_frame.0099,global_local,global,local,0.9635143917814123
test_03,test,3,ai_046_001_cam_00_frame.0085|ai_046_001_cam_00_frame.0099,global_edge,global,edge_paper,0.8342398605096263
test_03,test,3,ai_046_001_cam_00_frame.0085|ai_046_001_cam_00_frame.0099,local_edge,local,edge_paper,0.8842038513348951
