batch_id,split,pair_index,sample_ids,objective,loss,parameter_numel,active_parameter_numel,active_parameter_tensors,gradient_l2,gradient_rms,gradient_l1,gradient_abs_max,gradient_nonzero_fraction,loss_normalized_gradient_rms,cosine_to_paper_combined,projection_fraction_to_paper_combined,cosine_to_checkpoint_combined,projection_fraction_to_checkpoint_combined,max_abs_log_depth_residual
train_00,train,0,ai_001_001_cam_00_frame.0000|ai_001_001_cam_00_frame.0014,global,0.01335767563432455,50739073,50739073,126,2.0356661656095283,0.0002857822782980667,768.1717119332741,0.7475197315216064,0.9996770930363666,0.021394611317234438,0.9958676867511308,0.5423946350441816,0.9963488577547893,0.5522376432334007,0.2616155743598938
train_00,train,0,ai_001_001_cam_00_frame.0000|ai_001_001_cam_00_frame.0014,local,0.013294861651957035,50739073,50739073,126,1.456108992148484,0.00020441964024189396,383.23938514460593,0.4861334562301636,0.9996770930363666,0.015375838093945333,0.9961761051290227,0.38809423367036755,0.9960191493143957,0.39488405102149976,0.2616155743598938
train_00,train,0,ai_001_001_cam_00_frame.0000|ai_001_001_cam_00_frame.0014,edge_paper,0.0019695470109581947,50739073,50739073,126,0.2828640556059007,3.971060462926179e-05,23.690468970555916,0.09053652733564377,0.9996770930363666,0.020162303518686957,0.9184793827094657,0.06951113210649529,0.9154414828079465,0.07050442476004125,0.2616155743598938
train_00,train,0,ai_001_001_cam_00_frame.0000|ai_001_001_cam_00_frame.0014,combined_checkpoint,0.0281296968460083,50739073,50739073,126,3.6727551693137688,0.0005156092672018313,1058.95558252479,1.2850706577301025,0.9996770930363666,0.018329712901793964,0.9999710097506372,0.9826222052336674,1.0,1.0,0.2616155743598938
train_00,train,0,ai_001_001_cam_00_frame.0000|ai_001_001_cam_00_frame.0014,combined_paper,0.028622083365917206,50739073,50739073,126,3.7375999398997974,0.0005247126686273012,1062.0674635979242,1.3022098541259766,0.9996770930363666,0.01833244148999028,1.0,1.0,0.9999710097506372,1.0176261181721646,0.2616155743598938
train_01,train,1,ai_001_001_cam_00_frame.0028|ai_001_001_cam_00_frame.0043,global,0.01060854084789753,50739073,50739073,126,2.133024464509132,0.00029945017578577774,714.2930833902947,0.74770587682724,0.9996770930363666,0.028227272730455173,0.9934697902200069,0.4946053081641573,0.9940575375989397,0.5024893569959656,0.2706524729728699
train_01,train,1,ai_001_001_cam_00_frame.0028|ai_001_001_cam_00_frame.0043,local,0.011764786206185818,50739073,50739073,126,1.9137561711046593,0.0002686676272980712,446.6172286440798,0.6918566823005676,0.9996770930363666,0.02283659240291236,0.9959356148654337,0.4448628483005293,0.995679768559308,0.45157074153834237,0.2706524729728699
train_01,train,1,ai_001_001_cam_00_frame.0028|ai_001_001_cam_00_frame.0043,edge_paper,0.0019328359048813581,50739073,50739073,126,0.286184065069555,4.017669277501145e-05,26.21775909052399,0.09775100648403168,0.9996770930363666,0.020786396130962597,0.9062131597367326,0.060531869032444695,0.9031586475017485,0.06125323088026124,0.2706524729728699
train_01,train,1,ai_001_001_cam_00_frame.0028|ai_001_001_cam_00_frame.0043,combined_checkpoint,0.023822952061891556,50739073,50739073,126,4.219689466667188,0.0005923920581218795,1108.1869428066161,1.4755337238311768,0.9996770930363666,0.02486644210099809,0.9999743020548115,0.9848670369180694,1.0,1.0,0.2706524729728699
train_01,train,1,ai_001_001_cam_00_frame.0028|ai_001_001_cam_00_frame.0043,combined_paper,0.0243061613291502,50739073,50739073,126,4.2844169528943095,0.0006014789942782087,1111.247774473945,1.4993093013763428,0.9996770930363666,0.024745947586419556,1.0,1.0,0.9999743020548115,1.0153133035085964,0.2706524729728699
train_02,train,2,ai_001_001_cam_00_frame.0056|ai_001_001_cam_00_frame.0071,global,0.01161150448024273,50739073,50739073,126,1.8438424006354537,0.00025885260116724425,616.5959037442352,0.6299852728843689,0.9996770930363666,0.022292770209725067,0.9964424973325386,0.44145395318838987,0.9969630017016177,0.4492538528273317,0.26377010345458984
train_02,train,2,ai_001_001_cam_00_frame.0056|ai_001_001_cam_00_frame.0071,local,0.012697888538241386,50739073,50739073,126,2.0459956238360175,0.0002872324061016434,482.93206836077206,0.6935346126556396,0.9996770536190127,0.022620485700170126,0.9987902979187939,0.4910077946761695,0.9988368833689878,0.4994456586652433,0.26377010345458984
train_02,train,2,ai_001_001_cam_00_frame.0056|ai_001_001_cam_00_frame.0071,edge_paper,0.0018825489096343517,50739073,50739073,126,0.314006890120697,4.408267228488019e-05,27.438602127869533,0.10759776085615158,0.9996770536190127,0.023416481802559057,0.8951610756483096,0.06753823987468004,0.8913164880470001,0.06840062802572443,0.26377010345458984
train_02,train,2,ai_001_001_cam_00_frame.0056|ai_001_001_cam_00_frame.0071,combined_checkpoint,0.02572130411863327,50739073,50739073,126,4.091768257152281,0.0005744335071003919,1040.3616319299645,1.3725420236587524,0.9996770930363666,0.02233298531252369,0.9999634336207432,0.9831154450254098,1.0,1.0,0.26377010345458984
train_02,train,2,ai_001_001_cam_00_frame.0056|ai_001_001_cam_00_frame.0071,combined_paper,0.026191942393779755,50739073,50739073,126,4.161890301597903,0.0005842777723139799,1043.5425863764483,1.3962421417236328,0.9996770930363666,0.02230753884266095,1.0,1.0,0.9999634336207432,1.0171001520098615,0.26377010345458984
train_03,train,3,ai_001_001_cam_00_frame.0085|ai_001_001_cam_00_frame.0099,global,0.014000860042870045,50739073,50739073,126,1.6451111655783823,0.00023095320092025287,466.2611987029785,0.6773700714111328,0.9996770733276897,0.016495643854240658,0.9969682746450113,0.5180722135736167,0.9973720182145498,0.5277262114327036,0.3282376825809479
train_03,train,3,ai_001_001_cam_00_frame.0085|ai_001_001_cam_00_frame.0099,local,0.01629156805574894,50739073,50739073,126,1.301656507516469,0.00018273642730028776,292.7918701771183,0.4777657687664032,0.9996770930363666,0.011216626089948662,0.997739657751526,0.41022992726916646,0.9977179879854854,0.4176961112546979,0.3282376825809479
train_03,train,3,ai_001_001_cam_00_frame.0085|ai_001_001_cam_00_frame.0099,edge_paper,0.0018513284157961607,50739073,50739073,126,0.24594820147157231,3.45280766302917e-05,16.140093505773564,0.08222171664237976,0.9996770930363666,0.018650433027271908,0.9228874404992372,0.07169784430373041,0.9199283136778073,0.07277025097462983,0.3282376825809479
train_03,train,3,ai_001_001_cam_00_frame.0085|ai_001_001_cam_00_frame.0099,combined_checkpoint,0.03168092668056488,50739073,50739073,126,3.1091649568545963,0.00043648819240868253,712.908092181332,1.194697380065918,0.9996770930363666,0.013777633363119157,0.9999710042747741,0.9820755133570097,1.0,1.0,0.3282376825809479
train_03,train,3,ai_001_001_cam_00_frame.0085|ai_001_001_cam_00_frame.0099,combined_paper,0.03214375674724579,50739073,50739073,126,3.1658205118404137,0.00044444192954673647,715.1933801157012,1.207884669303894,0.9996770930363666,0.01382669527527513,1.0,1.0,0.9999710042747741,1.0181925888491181,0.3282376825809479
val_00,val,0,ai_043_002_cam_00_frame.0000|ai_043_002_cam_00_frame.0014,global,0.02765926718711853,50739073,50739073,126,2.7538681777954785,0.00038660893189590754,1196.1962259874672,0.9734520316123962,0.9996770930363666,0.013977555127561695,0.9938243756414593,0.5463702675184524,0.9941606660352359,0.5523386935818783,0.3112177550792694
val_00,val,0,ai_043_002_cam_00_frame.0000|ai_043_002_cam_00_frame.0014,local,0.029447903856635094,50739073,50739073,126,2.078017035146559,0.0002917278150411077,599.9114920456897,0.7407528162002563,0.9996770733276897,0.009906573196563078,0.9924133303586701,0.41169534675659314,0.9921809060026359,0.41595439075607943,0.3112177550792694
val_00,val,0,ai_043_002_cam_00_frame.0000|ai_043_002_cam_00_frame.0014,edge_paper,0.002148399129509926,50739073,50739073,126,0.23263503786718787,3.2659073602932993e-05,41.873464993714045,0.08728544414043427,0.9996770930363666,0.015201585754869905,0.9029442328180798,0.041934389028206696,0.9007657090921053,0.042275885701884786,0.3112177550792694
val_00,val,0,ai_043_002_cam_00_frame.0000|ai_043_002_cam_00_frame.0014,combined_checkpoint,0.058718472719192505,50739073,50739073,126,4.9567185019322695,0.0006958617922208461,1683.7982691675634,1.7652268409729004,0.9996770930363666,0.01185081559509635,0.999987286623215,0.9895164074773405,1.0,1.0,0.3112177550792694
val_00,val,0,ai_043_002_cam_00_frame.0000|ai_043_002_cam_00_frame.0014,combined_paper,0.05925557017326355,50739073,50739073,126,5.009169578035363,0.0007032252726780846,1690.6969473552188,1.7822341918945312,0.9996770930363666,0.0118676652780802,1.0,1.0,0.999987286623215,1.0105689666706803,0.3112177550792694
val_01,val,1,ai_043_002_cam_00_frame.0028|ai_043_002_cam_00_frame.0042,global,0.04519297927618027,50739073,50739073,126,2.5754944802376314,0.0003615674773894077,1219.9685153539517,0.8855186700820923,0.9996770930363666,0.008000523160463069,0.9956760321578472,0.5358763531303623,0.9959205960060317,0.5425295986779052,0.2504000663757324
val_01,val,1,ai_043_002_cam_00_frame.0028|ai_043_002_cam_00_frame.0042,local,0.03509003296494484,50739073,50739073,126,2.0008354809044855,0.0002808924822215532,524.5359355271386,0.7036371827125549,0.9996770930363666,0.008004907903682123,0.9949265851773592,0.41599521254223687,0.9948027769809024,0.4210042390124314,0.2504000663757324
val_01,val,1,ai_043_002_cam_00_frame.0028|ai_043_002_cam_00_frame.0042,edge_paper,0.0024435408413410187,50739073,50739073,126,0.2475075315374938,3.474698722888893e-05,22.41855501311214,0.08320584148168564,0.9996770930363666,0.014219933074586851,0.9305234456983156,0.04812842568163971,0.9287573421041028,0.048621547639673746,0.2504000663757324
val_01,val,1,ai_043_002_cam_00_frame.0028|ai_043_002_cam_00_frame.0042,combined_checkpoint,0.08211567252874374,50739073,50739073,126,4.727830525779878,0.0006637287596023677,1587.245911113947,1.6256959438323975,0.9996770930363666,0.0080828511679063,0.99998851268711,0.9879678864914946,1.0,1.0,0.2504000663757324
val_01,val,1,ai_043_002_cam_00_frame.0028|ai_043_002_cam_00_frame.0042,combined_paper,0.08272655308246613,50739073,50739073,126,4.785354139901022,0.0006718043614752107,1589.6808976485345,1.6434929370880127,0.9996770930363666,0.008120782704502642,1.0,1.0,0.99998851268711,1.0121553940961894,0.2504000663757324
val_02,val,2,ai_043_002_cam_00_frame.0057|ai_043_002_cam_00_frame.0071,global,0.23299486935138702,50739073,50739073,126,2.201592636150392,0.0003090762965325972,1466.4982984428032,0.7947123646736145,0.9996770930363666,0.0013265369207184957,0.9719641570305555,0.49109198759454226,0.9729826698176847,0.4971561311243395,0.18900026381015778
val_02,val,2,ai_043_002_cam_00_frame.0057|ai_043_002_cam_00_frame.0071,local,0.07187019288539886,50739073,50739073,126,2.0718387618914673,0.00029086046211427875,687.089348261542,0.7590126991271973,0.9996770930363666,0.004047024926982907,0.9762235661342048,0.46417407012524187,0.9754510259583223,0.46904245534849515,0.18900026381015778
val_02,val,2,ai_043_002_cam_00_frame.0057|ai_043_002_cam_00_frame.0071,edge_paper,0.0027103256434202194,50739073,50739073,126,0.2248882459243177,3.157152010897803e-05,25.063411933988785,0.08201396465301514,0.9996770930363666,0.011648607681377075,0.8667519259227923,0.04473394578893204,0.8634878961222461,0.045068566236943164,0.18900026381015778
val_02,val,2,ai_043_002_cam_00_frame.0057|ai_043_002_cam_00_frame.0071,combined_checkpoint,0.3068978190422058,50739073,50739073,126,4.308729887587,0.0006048922287200696,1951.1734716701226,1.615235447883606,0.9996770930363666,0.0019709890106351076,0.9999788243225542,0.9888165059995598,1.0,1.0,0.18900026381015778
val_02,val,2,ai_043_002_cam_00_frame.0057|ai_043_002_cam_00_frame.0071,combined_paper,0.30757537484169006,50739073,50739073,126,4.357369260292887,0.0006117205933024887,1953.3512175749916,1.6357389688491821,0.9996770930363666,0.001988847753554208,1.0,1.0,0.9999788243225542,1.0112671491893186,0.18900026381015778
val_03,val,3,ai_043_002_cam_00_frame.0085|ai_043_002_cam_00_frame.0099,global,0.03922433406114578,50739073,50739073,126,1.7835468394897478,0.0002503878523166778,1026.4027951243982,0.6404485702514648,0.9996770930363666,0.006383482557698871,0.9783897275619461,0.4719242354624718,0.9793737843105791,0.4794704155407254,0.2544826567173004
val_03,val,3,ai_043_002_cam_00_frame.0085|ai_043_002_cam_00_frame.0099,local,0.03404954820871353,50739073,50739073,126,1.7613392987547736,0.0002472701890701908,423.474312927741,0.6086788177490234,0.9996770930363666,0.007262069603816725,0.9845270087995384,0.4689715933017158,0.9839364188888812,0.47570627706020224,0.2544826567173004
val_03,val,3,ai_043_002_cam_00_frame.0085|ai_043_002_cam_00_frame.0099,edge_paper,0.0023040398955345154,50739073,50739073,126,0.2441146297981062,3.427066591181613e-05,25.24978096924389,0.0830688625574112,0.9996770733276897,0.014874163411074816,0.8952587480161892,0.05910418842477955,0.8919083706505768,0.05976444195437323,0.2544826567173004
val_03,val,3,ai_043_002_cam_00_frame.0085|ai_043_002_cam_00_frame.0099,combined_checkpoint,0.07500191032886505,50739073,50739073,126,3.643100723360231,0.0005114461508375469,1297.3363244721036,1.2359286546707153,0.9996770930363666,0.006819108321307824,0.9999721459582932,0.9852239463460278,1.0,1.0,0.2544826567173004
val_03,val,3,ai_043_002_cam_00_frame.0085|ai_043_002_cam_00_frame.0099,combined_paper,0.07557792216539383,50739073,50739073,126,3.6976357119534073,0.0005191021867585697,1299.157908120857,1.25626802444458,0.9996770930363666,0.00686843686470465,1.0,1.0,0.9999721459582932,1.014941117094241,0.2544826567173004
test_00,test,0,ai_046_001_cam_00_frame.0000|ai_046_001_cam_00_frame.0014,global,0.08335861563682556,50739073,50739073,126,1.7996213871655404,0.000252644519414165,1030.47144705944,0.7683156728744507,0.9996770930363666,0.003030814721238647,0.9943915721527997,0.5395514679227621,0.9946335086289793,0.5450987079129228,0.21373464167118073
test_00,test,0,ai_046_001_cam_00_frame.0000|ai_046_001_cam_00_frame.0014,local,0.10261442512273788,50739073,50739073,126,1.404953872642815,0.0001972380960152832,458.9877430736368,0.5223336815834045,0.9996770536190127,0.0019221283535854265,0.9930907746646124,0.4206736513357565,0.9929128720373689,0.4248191906091008,0.21373464167118073
test_00,test,0,ai_046_001_cam_00_frame.0000|ai_046_001_cam_00_frame.0014,edge_paper,0.0031547085382044315,50739073,50739073,126,0.14203911166386185,1.994052935815123e-05,22.314746728785032,0.048295143991708755,0.9996770733276897,0.0063208784953239444,0.9287664866577544,0.039774871142288476,0.9272732841429833,0.04010944156439916,0.21373464167118073
test_00,test,0,ai_046_001_cam_00_frame.0000|ai_046_001_cam_00_frame.0014,combined_checkpoint,0.18833908438682556,50739073,50739073,126,3.283742391123318,0.0004609966986400113,1381.1798720891777,1.316987156867981,0.9996770930363666,0.0024476953370612133,0.9999919666958059,0.9900562926883799,1.0,1.0,0.21373464167118073
test_00,test,0,ai_046_001_cam_00_frame.0000|ai_046_001_cam_00_frame.0014,combined_paper,0.18912775814533234,50739073,50739073,126,3.3166962687598853,0.00046562301428490195,1382.0083620927653,1.3257663249969482,0.9996770930363666,0.002461949630509029,1.0,1.0,0.9999919666958059,1.0100273497992809,0.21373464167118073
test_01,test,1,ai_046_001_cam_00_frame.0028|ai_046_001_cam_00_frame.0042,global,0.045807868242263794,50739073,50739073,126,4.195939940411759,0.0005890579192358288,1148.286888428306,1.5150961875915527,0.9996770733276897,0.012859317445651077,0.9986306585397372,0.6063062715126633,0.9987065610082907,0.6117525114724374,0.23481522500514984
test_01,test,1,ai_046_001_cam_00_frame.0028|ai_046_001_cam_00_frame.0042,local,0.03336171805858612,50739073,50739073,126,2.4836221955980964,0.00034866974825272813,524.510448789286,0.842850923538208,0.9996770733276897,0.010451192820478648,0.9972231284947148,0.3583734084122849,0.997147902114831,0.3615377967578816,0.23481522500514984
test_01,test,1,ai_046_001_cam_00_frame.0028|ai_046_001_cam_00_frame.0042,edge_paper,0.002391974674537778,50739073,50739073,126,0.25237136956399814,3.542980975449247e-05,23.698843428561684,0.09279017150402069,0.9996770930363666,0.014811950198151192,0.9672231563816706,0.03532032347361756,0.9666266124416494,0.03561290711413759,0.23481522500514984
test_01,test,1,ai_046_001_cam_00_frame.0028|ai_046_001_cam_00_frame.0042,combined_checkpoint,0.08096356689929962,50739073,50739073,126,6.850013149925196,0.0009616568754883156,1508.2643737562744,2.427539825439453,0.9996770930363666,0.011877649569026516,0.9999972648933139,0.9911699338368963,1.0,1.0,0.23481522500514984
test_01,test,1,ai_046_001_cam_00_frame.0028|ai_046_001_cam_00_frame.0042,combined_paper,0.08156155794858932,50739073,50739073,126,6.911019170942329,0.0009702213640919545,1511.450663052649,2.450737237930298,0.9996770930363666,0.011895571743535279,1.0,1.0,0.9999972648933139,1.008903211907419,0.23481522500514984
test_02,test,2,ai_046_001_cam_00_frame.0057|ai_046_001_cam_00_frame.0071,global,0.11434894800186157,50739073,50739073,126,0.5770593690438313,8.101197729992819e-05,1186.4666891025813,0.2415352612733841,0.9996770930363666,0.0007084628124310276,0.37624823308758976,0.17537887271566704,0.3865721137852891,0.18419132032636004,0.18518708646297455
test_02,test,2,ai_046_001_cam_00_frame.0057|ai_046_001_cam_00_frame.0071,local,0.13407933712005615,50739073,50739073,126,1.0329087353876387,0.00014500757376623591,809.1915656023497,0.3978784680366516,0.9996770930363666,0.0010815057478722058,0.8836305609648947,0.737250348821984,0.8789210198428047,0.7496006313890636,0.18518708646297455
test_02,test,2,ai_046_001_cam_00_frame.0057|ai_046_001_cam_00_frame.0071,edge_paper,0.00392737565562129,50739073,50739073,126,0.13301609788251267,1.8673810148925327e-05,14.913797486139398,0.04315377026796341,0.9996770930363666,0.004754780745813639,0.8131667790462598,0.08737076527462814,0.8037614070415217,0.08827739221927583,0.18518708646297455
test_02,test,2,ai_046_001_cam_00_frame.0057|ai_046_001_cam_00_frame.0071,combined_checkpoint,0.251373827457428,50739073,50739073,126,1.211105168667138,0.00017002414256692453,1511.971234730557,0.3465622365474701,0.9996770930363666,0.0006763796545036869,0.9998722931476571,0.9781572995852272,1.0,1.0,0.18518708646297455
test_02,test,2,ai_046_001_cam_00_frame.0057|ai_046_001_cam_00_frame.0071,combined_paper,0.2523556649684906,50739073,50739073,126,1.237991581468212,0.00017379866141257848,1512.763463249889,0.3562065362930298,0.9996770930363666,0.0006887052106964953,1.0,1.0,0.9998722931476571,1.0220693573807411,0.18518708646297455
test_03,test,3,ai_046_001_cam_00_frame.0085|ai_046_001_cam_00_frame.0099,global,0.10434505343437195,50739073,50739073,126,2.67852895511462,0.00037603223957440675,1222.020522222319,0.9988337159156799,0.9996770930363666,0.0036037380517602883,0.9951438392967786,0.6562223365436369,0.9954640678901143,0.6627775530588351,0.18897990882396698
test_03,test,3,ai_046_001_cam_00_frame.0085|ai_046_001_cam_00_frame.0099,local,0.12469225376844406,50739073,50739073,126,1.2600238643254913,0.00017689172062701768,525.257408358251,0.4394853115081787,0.9996770733276897,0.0014186263803965646,0.9846083113702113,0.3054295642972369,0.9842698911299462,0.3082753703495288,0.18897990882396698
test_03,test,3,ai_046_001_cam_00_frame.0085|ai_046_001_cam_00_frame.0099,edge_paper,0.0034765240270644426,50739073,50739073,126,0.17934057804692155,2.5177192533528833e-05,19.12989908926462,0.061958618462085724,0.9996770733276897,0.007242059119260083,0.8685536568945601,0.03834811516989442,0.8658031318941738,0.03859611352084859,0.18897990882396698
test_03,test,3,ai_046_001_cam_00_frame.0085|ai_046_001_cam_00_frame.0099,combined_checkpoint,0.23164470493793488,50739073,50739073,126,4.023038072599241,0.0005647846417504424,1372.9086594640917,1.4802848100662231,0.9996770930363666,0.00243815045071618,0.9999847469497156,0.990412978707046,1.0,1.0,0.18897990882396698
test_03,test,3,ai_046_001_cam_00_frame.0085|ai_046_001_cam_00_frame.0099,combined_paper,0.23251384496688843,50739073,50739073,126,4.061918407257846,0.0005702429584466872,1375.0773125892588,1.4942734241485596,0.9996770930363666,0.002452511843016891,1.0,1.0,0.9999847469497156,1.0096490207928377,0.18897990882396698
