batch_id,split,pair_index,sample_ids,objective,parameter_group,parameter_numel,active_parameter_numel,active_parameter_tensors,gradient_l2,gradient_rms,gradient_l1,gradient_abs_max,gradient_nonzero_fraction
train_00,train,0,ai_001_001_cam_00_frame.0000|ai_001_001_cam_00_frame.0014,global,bottleneck,28708864,28708864,13,0.08600584368893471,1.6051660163237938e-05,320.8758348181613,0.0003072594990953803,1.0
train_00,train,0,ai_001_001_cam_00_frame.0000|ai_001_001_cam_00_frame.0014,global,decoder,10970880,10970880,56,0.0925826943207779,2.7951755127190107e-05,167.30227578468015,0.0019688387401401997,0.9992532959981333
train_00,train,0,ai_001_001_cam_00_frame.0000|ai_001_001_cam_00_frame.0014,global,encoder,10796800,10796800,52,0.1228393774034931,3.738437103219904e-05,261.45719415913754,0.0014289601240307093,0.9992412566686426
train_00,train,0,ai_001_001_cam_00_frame.0000|ai_001_001_cam_00_frame.0014,global,input_fusion,262496,262496,3,0.025323414472327346,4.9426620646911364e-05,8.817519519765797,0.0008343243389390409,1.0
train_00,train,0,ai_001_001_cam_00_frame.0000|ai_001_001_cam_00_frame.0014,global,output,33,33,2,2.0278171296243634,0.35299765263182065,9.71465696953237,0.7475070953369141,1.0
train_00,train,0,ai_001_001_cam_00_frame.0000|ai_001_001_cam_00_frame.0014,local,bottleneck,28708864,28708864,13,0.04209640854187501,7.85664339798739e-06,156.60517511511796,0.00010168686276301742,1.0
train_00,train,0,ai_001_001_cam_00_frame.0000|ai_001_001_cam_00_frame.0014,local,decoder,10970880,10970880,56,0.04973671243506571,1.5016072031773065e-05,91.06216414411494,0.0011536593083292246,0.9992532959981333
train_00,train,0,ai_001_001_cam_00_frame.0000|ai_001_001_cam_00_frame.0014,local,encoder,10796800,10796800,52,0.05158234878689483,1.56983347402308e-05,124.78911420151952,0.00032926176209002733,0.9992412566686426
train_00,train,0,ai_001_001_cam_00_frame.0000|ai_001_001_cam_00_frame.0014,local,input_fusion,262496,262496,3,0.010830938999493854,2.1139989386613722e-05,3.728607449464036,0.00021798958186991513,1.0
train_00,train,0,ai_001_001_cam_00_frame.0000|ai_001_001_cam_00_frame.0014,local,output,33,33,2,1.453692515808265,0.253055385632244,7.054030525032431,0.4861312806606293,1.0
train_00,train,0,ai_001_001_cam_00_frame.0000|ai_001_001_cam_00_frame.0014,edge_paper,bottleneck,28708864,28708864,13,0.0023512363971189168,4.3882189850367693e-07,8.381432985342736,8.080126463028137e-06,1.0
train_00,train,0,ai_001_001_cam_00_frame.0000|ai_001_001_cam_00_frame.0014,edge_paper,decoder,10970880,10970880,56,0.00633700672591594,1.913213495693293e-06,6.185418622697945,0.00016639233217574656,0.9992532959981333
train_00,train,0,ai_001_001_cam_00_frame.0000|ai_001_001_cam_00_frame.0014,edge_paper,encoder,10796800,10796800,52,0.004214407701490502,1.282593452716391e-06,7.506221134687143,7.789078517816961e-05,0.9992412566686426
train_00,train,0,ai_001_001_cam_00_frame.0000|ai_001_001_cam_00_frame.0014,edge_paper,input_fusion,262496,262496,3,0.0008256330766017178,1.6114830373814491e-06,0.2560603477273129,4.2852028855122626e-05,1.0
train_00,train,0,ai_001_001_cam_00_frame.0000|ai_001_001_cam_00_frame.0014,edge_paper,output,33,33,2,0.28274879036870765,0.04922024665169362,1.360685965162702,0.09053672105073929,1.0
train_00,train,0,ai_001_001_cam_00_frame.0000|ai_001_001_cam_00_frame.0014,combined_checkpoint,bottleneck,28708864,28708864,13,0.1159062104490763,2.163210104264899e-05,434.4588509638336,0.00036901357816532254,1.0
train_00,train,0,ai_001_001_cam_00_frame.0000|ai_001_001_cam_00_frame.0014,combined_checkpoint,decoder,10970880,10970880,56,0.13643634240376276,4.119166396374322e-05,245.09842842166032,0.003130405442789197,0.9992532959981333
train_00,train,0,ai_001_001_cam_00_frame.0000|ai_001_001_cam_00_frame.0014,combined_checkpoint,encoder,10796800,10796800,52,0.15844819366291765,4.82213943646038e-05,349.6643209382124,0.0016695072408765554,0.9992412566686426
train_00,train,0,ai_001_001_cam_00_frame.0000|ai_001_001_cam_00_frame.0014,combined_checkpoint,input_fusion,262496,262496,3,0.034731642242120976,6.778974089064797e-05,12.101384129573347,0.0007395721622742712,1.0
train_00,train,0,ai_001_001_cam_00_frame.0000|ai_001_001_cam_00_frame.0014,combined_checkpoint,output,33,33,2,3.664748686243922,0.6379508609680651,17.62399420607835,1.2850556373596191,1.0
train_00,train,0,ai_001_001_cam_00_frame.0000|ai_001_001_cam_00_frame.0014,combined_paper,bottleneck,28708864,28708864,13,0.11620559100083834,2.1687975791041062e-05,435.5725659366165,0.0003696554631460458,1.0
train_00,train,0,ai_001_001_cam_00_frame.0000|ai_001_001_cam_00_frame.0014,combined_paper,decoder,10970880,10970880,56,0.13687374782243308,4.1323721571740866e-05,245.8442357101727,0.0031330413185060024,0.9992532959981333
train_00,train,0,ai_001_001_cam_00_frame.0000|ai_001_001_cam_00_frame.0014,combined_paper,encoder,10796800,10796800,52,0.15884155674324288,4.8341108674917694e-05,350.5517085398378,0.001672589685767889,0.9992412566686426
train_00,train,0,ai_001_001_cam_00_frame.0000|ai_001_001_cam_00_frame.0014,combined_paper,input_fusion,262496,262496,3,0.03484137647986363,6.800392182374492e-05,12.138374606589041,0.0007393776322714984,1.0
train_00,train,0,ai_001_001_cam_00_frame.0000|ai_001_001_cam_00_frame.0014,combined_paper,output,33,33,2,3.7296881898401546,0.6492553775330239,17.9514962984249,1.3021947145462036,1.0
